,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,50,46,75,105,1.087,0.714,1.522,0.394
1,"(15, 24]","(15, 22]",Male,24,28,258,238,0.857,1.084,0.791,0.235
2,"(15, 24]","(22, 27]",Female,11,8,35,41,1.375,0.854,1.611,0.839
3,"(15, 24]","(22, 27]",Male,7,5,63,54,1.400,1.167,1.200,0.739
4,"(15, 24]","(27, 32]",Female,5,7,15,14,0.714,1.071,0.667,0.464
5,"(15, 24]","(27, 32]",Male,3,2,31,17,1.500,1.824,0.823,0.792
6,"(15, 24]","(32, 37]",Male,3,2,17,14,1.500,1.214,1.235,1.214
7,"(15, 24]","(37, 42]",Female,7,4,8,3,1.750,2.667,0.656,0.606
8,"(15, 24]","(42, 47]",Female,9,2,5,2,4.500,2.500,1.800,2.063
9,"(15, 24]","(42, 47]",Male,9,5,12,5,1.800,2.400,0.750,0.579
10,"(15, 24]","(47, 52]",Male,2,1,15,3,2.000,5.000,0.400,0.552
11,"(15, 24]","(52, 57]",Female,4,1,6,3,4.000,2.000,2.000,2.648
12,"(24, 34]","(15, 22]",Female,8,3,6,8,2.667,0.750,3.556,3.084
13,"(24, 34]","(15, 22]",Male,6,6,22,35,1.000,0.629,1.591,1.019
14,"(24, 34]","(22, 27]",Female,11,9,25,32,1.222,0.781,1.564,0.822
15,"(24, 34]","(22, 27]",Male,11,7,60,56,1.571,1.071,1.467,0.763
16,"(24, 34]","(27, 32]",Female,11,11,44,57,1.000,0.772,1.295,0.614
17,"(24, 34]","(27, 32]",Male,13,7,48,50,1.857,0.960,1.935,0.992
18,"(24, 34]","(32, 37]",Female,1,8,62,40,0.125,1.550,0.081,0.087
19,"(24, 34]","(32, 37]",Male,8,3,28,18,2.667,1.556,1.714,1.274
20,"(24, 34]","(37, 42]",Female,5,3,17,21,1.667,0.810,2.059,1.650
21,"(24, 34]","(37, 42]",Male,4,2,14,9,2.000,1.556,1.286,1.243
22,"(24, 34]","(42, 47]",Female,2,3,9,2,0.667,4.500,0.148,0.178
23,"(24, 34]","(47, 52]",Female,1,1,5,1,1.000,5.000,0.200,0.358
24,"(24, 34]","(47, 52]",Male,1,1,7,4,1.000,1.750,0.571,0.884
25,"(24, 34]","(52, 57]",Female,2,2,1,2,1.000,0.500,2.000,3.164
26,"(24, 34]","(52, 57]",Male,2,1,10,4,2.000,2.500,0.800,1.089
27,"(24, 34]","(57, 62]",Female,1,1,3,3,1.000,1.000,1.000,1.634
28,"(34, 54]","(15, 22]",Female,7,9,8,21,0.778,0.381,2.042,1.337
29,"(34, 54]","(15, 22]",Male,2,10,18,22,0.200,0.818,0.244,0.205
30,"(34, 54]","(22, 27]",Female,1,10,5,10,0.100,0.500,0.200,0.237
31,"(34, 54]","(22, 27]",Male,2,4,15,25,0.500,0.600,0.833,0.772
32,"(34, 54]","(27, 32]",Female,4,8,9,21,0.500,0.429,1.167,0.854
33,"(34, 54]","(27, 32]",Male,8,5,17,21,1.600,0.810,1.976,1.302
34,"(34, 54]","(32, 37]",Female,6,8,33,38,0.750,0.868,0.864,0.512
35,"(34, 54]","(32, 37]",Male,21,19,30,25,1.105,1.200,0.921,0.386
36,"(34, 54]","(37, 42]",Female,14,11,66,85,1.273,0.776,1.639,0.718
37,"(34, 54]","(37, 42]",Male,21,26,33,32,0.808,1.031,0.783,0.303
38,"(34, 54]","(42, 47]",Female,10,4,61,73,2.500,0.836,2.992,1.851
39,"(34, 54]","(42, 47]",Male,19,21,37,16,0.905,2.312,0.391,0.172
40,"(34, 54]","(47, 52]",Female,8,10,72,65,0.800,1.108,0.722,0.366
41,"(34, 54]","(47, 52]",Male,14,11,17,17,1.273,1.000,1.273,0.676
42,"(34, 54]","(52, 57]",Female,7,6,56,58,1.167,0.966,1.208,0.712
43,"(34, 54]","(52, 57]",Male,6,3,8,7,2.000,1.143,1.750,1.536
44,"(34, 54]","(57, 62]",Female,1,4,33,23,0.250,1.435,0.174,0.201
45,"(34, 54]","(57, 62]",Male,5,4,13,6,1.250,2.167,0.577,0.481
46,"(34, 54]","(62, 67]",Female,7,1,17,14,7.000,1.214,5.765,6.511
47,"(34, 54]","(67, 72]",Female,1,1,7,4,1.000,1.750,0.571,0.884
48,"(34, 54]","(67, 72]",Male,2,1,10,2,2.000,5.000,0.400,0.580
49,"(54, 100]","(15, 22]",Female,1,5,1,8,0.200,0.125,1.600,2.441
50,"(54, 100]","(22, 27]",Female,1,3,3,6,0.333,0.500,0.667,0.903
51,"(54, 100]","(27, 32]",Female,2,13,1,13,0.154,0.077,2.000,2.574
52,"(54, 100]","(32, 37]",Female,7,28,5,10,0.250,0.500,0.500,0.347
53,"(54, 100]","(32, 37]",Male,2,3,6,21,0.667,0.286,2.333,2.391
54,"(54, 100]","(37, 42]",Male,2,4,9,21,0.500,0.429,1.167,1.114
55,"(54, 100]","(42, 47]",Female,10,29,2,7,0.345,0.286,1.207,1.066
56,"(54, 100]","(42, 47]",Male,2,4,9,13,0.500,0.692,0.722,0.700
57,"(54, 100]","(47, 52]",Female,5,18,9,19,0.278,0.474,0.586,0.381
58,"(54, 100]","(47, 52]",Male,5,13,11,15,0.385,0.733,0.524,0.347
59,"(54, 100]","(52, 57]",Female,9,20,25,49,0.450,0.510,0.882,0.417
60,"(54, 100]","(52, 57]",Male,11,19,12,15,0.579,0.800,0.724,0.394
61,"(54, 100]","(57, 62]",Female,9,11,70,81,0.818,0.864,0.947,0.455
62,"(54, 100]","(57, 62]",Male,12,28,9,11,0.429,0.818,0.524,0.298
63,"(54, 100]","(62, 67]",Female,3,13,92,116,0.231,0.793,0.291,0.191
64,"(54, 100]","(62, 67]",Male,22,22,16,16,1.000,1.000,1.000,0.467
65,"(54, 100]","(67, 72]",Female,5,6,113,143,0.833,0.790,1.055,0.654
66,"(54, 100]","(67, 72]",Male,21,28,15,10,0.750,1.500,0.500,0.251
67,"(54, 100]","(72, 77]",Female,4,6,95,97,0.667,0.979,0.681,0.452
68,"(54, 100]","(72, 77]",Male,15,16,10,7,0.938,1.429,0.656,0.402
69,"(54, 100]","(77, 82]",Female,3,3,64,62,1.000,1.032,0.969,0.811
70,"(54, 100]","(77, 82]",Male,5,7,9,3,0.714,3.000,0.238,0.212
71,"(54, 100]","(82, 87]",Female,1,1,31,26,1.000,1.192,0.839,1.208
72,"(54, 100]","(82, 87]",Male,4,4,3,2,1.000,1.500,0.667,0.771
