,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,42,34,39,40,1.235,0.975,1.267,0.413
1,"(15, 24]","(0, 5]",Male,39,13,44,33,3.000,1.333,2.250,0.895
2,"(15, 24]","(5, 10]",Female,12,13,12,17,0.923,0.706,1.308,0.722
3,"(15, 24]","(5, 10]",Male,9,5,27,17,1.800,1.588,1.133,0.725
4,"(15, 24]","(10, 15]",Female,82,95,30,32,0.863,0.938,0.921,0.276
5,"(15, 24]","(10, 15]",Male,244,188,423,416,1.298,1.017,1.276,0.165
6,"(15, 24]","(15, 20]",Female,224,252,122,196,0.889,0.622,1.428,0.222
7,"(15, 24]","(15, 20]",Male,867,743,2738,3066,1.167,0.893,1.307,0.099
8,"(15, 24]","(20, 25]",Female,88,94,105,168,0.936,0.625,1.498,0.299
9,"(15, 24]","(20, 25]",Male,380,270,1648,1797,1.407,0.917,1.535,0.153
10,"(15, 24]","(25, 30]",Female,31,34,45,77,0.912,0.584,1.560,0.492
11,"(15, 24]","(25, 30]",Male,102,46,470,482,2.217,0.975,2.274,0.445
12,"(15, 24]","(30, 35]",Female,16,12,29,26,1.333,1.115,1.195,0.562
13,"(15, 24]","(30, 35]",Male,51,34,218,156,1.500,1.397,1.073,0.268
14,"(15, 24]","(35, 40]",Female,12,8,13,11,1.500,1.182,1.269,0.781
15,"(15, 24]","(35, 40]",Male,52,25,130,92,2.080,1.413,1.472,0.417
16,"(15, 24]","(40, 45]",Female,25,9,11,10,2.778,1.100,2.525,1.482
17,"(15, 24]","(40, 45]",Male,26,12,120,63,2.167,1.905,1.137,0.438
18,"(15, 24]","(45, 50]",Female,15,12,9,4,1.250,2.250,0.556,0.398
19,"(15, 24]","(45, 50]",Male,17,9,82,45,1.889,1.822,1.037,0.471
20,"(15, 24]","(50, 55]",Female,10,1,10,7,10.000,1.429,7.000,8.119
21,"(15, 24]","(50, 55]",Male,11,6,54,30,1.833,1.800,1.019,0.569
22,"(15, 24]","(55, 60]",Female,5,3,7,1,1.667,7.000,0.238,0.308
23,"(15, 24]","(55, 60]",Male,7,3,43,12,2.333,3.583,0.651,0.498
24,"(15, 24]","(60, 65]",Female,5,1,5,3,5.000,1.667,3.000,3.953
25,"(15, 24]","(60, 65]",Male,5,1,33,12,5.000,2.750,1.818,2.086
26,"(15, 24]","(65, 70]",Female,3,2,4,1,1.500,4.000,0.375,0.542
27,"(15, 24]","(65, 70]",Male,3,1,26,3,3.000,8.667,0.346,0.452
28,"(15, 24]","(70, 75]",Male,7,2,12,4,3.500,3.000,1.167,1.154
29,"(24, 34]","(0, 5]",Female,46,47,49,45,0.979,1.089,0.899,0.267
30,"(24, 34]","(0, 5]",Male,63,65,102,83,0.969,1.229,0.789,0.186
31,"(24, 34]","(5, 10]",Female,44,49,46,61,0.898,0.754,1.191,0.345
32,"(24, 34]","(5, 10]",Male,54,37,66,76,1.459,0.868,1.681,0.464
33,"(24, 34]","(10, 15]",Female,32,42,20,28,0.762,0.714,1.067,0.404
34,"(24, 34]","(10, 15]",Male,26,25,70,86,1.040,0.814,1.278,0.418
35,"(24, 34]","(15, 20]",Female,23,29,14,26,0.793,0.538,1.473,0.643
