,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,524,555,470,607,0.944,0.774,1.219,0.122
1,"(15, 24]","(15, 22]",Male,319,250,1194,1151,1.276,1.037,1.230,0.131
2,"(15, 24]","(22, 27]",Female,101,93,236,273,1.086,0.864,1.256,0.221
3,"(15, 24]","(22, 27]",Male,57,41,254,245,1.390,1.037,1.341,0.307
4,"(15, 24]","(27, 32]",Female,33,16,67,61,2.062,1.098,1.878,0.668
5,"(15, 24]","(27, 32]",Male,11,7,75,53,1.571,1.415,1.110,0.575
6,"(15, 24]","(32, 37]",Female,26,12,32,23,2.167,1.391,1.557,0.695
7,"(15, 24]","(32, 37]",Male,18,5,50,28,3.600,1.786,2.016,1.129
8,"(15, 24]","(37, 42]",Female,58,27,13,10,2.148,1.300,1.652,0.799
9,"(15, 24]","(37, 42]",Male,29,15,22,15,1.933,1.467,1.318,0.612
10,"(15, 24]","(42, 47]",Female,46,21,16,12,2.190,1.333,1.643,0.767
11,"(15, 24]","(42, 47]",Male,29,14,25,12,2.071,2.083,0.994,0.479
12,"(15, 24]","(47, 52]",Female,31,18,11,7,1.722,1.571,1.096,0.624
13,"(15, 24]","(47, 52]",Male,19,7,23,6,2.714,3.833,0.708,0.452
14,"(15, 24]","(52, 57]",Female,19,4,7,4,4.750,1.750,2.714,2.268
15,"(15, 24]","(52, 57]",Male,9,2,13,7,4.500,1.857,2.423,2.212
16,"(15, 24]","(62, 67]",Female,5,1,5,1,5.000,5.000,1.000,1.550
17,"(15, 24]","(62, 67]",Male,3,2,8,1,1.500,8.000,0.188,0.263
18,"(15, 24]","(67, 72]",Female,3,1,3,2,3.000,1.500,2.000,2.946
19,"(15, 24]","(77, 82]",Female,3,1,2,1,3.000,2.000,1.500,2.526
20,"(24, 34]","(15, 22]",Female,30,45,26,37,0.667,0.703,0.949,0.333
21,"(24, 34]","(15, 22]",Male,54,35,105,110,1.543,0.955,1.616,0.422
22,"(24, 34]","(22, 27]",Female,65,59,130,174,1.102,0.747,1.475,0.324
