,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,73,77,82,86,0.948,0.953,0.994,0.229
1,"(15, 24]","(0, 5]",Male,56,44,63,51,1.273,1.235,1.030,0.289
2,"(15, 24]","(5, 10]",Female,28,38,24,36,0.737,0.667,1.105,0.405
3,"(15, 24]","(5, 10]",Male,26,33,24,27,0.788,0.889,0.886,0.343
4,"(15, 24]","(10, 15]",Female,102,144,52,86,0.708,0.605,1.171,0.262
5,"(15, 24]","(10, 15]",Male,220,312,330,442,0.705,0.747,0.944,0.118
6,"(15, 24]","(15, 20]",Female,239,341,140,287,0.701,0.488,1.437,0.204
7,"(15, 24]","(15, 20]",Male,550,638,1524,2154,0.862,0.708,1.218,0.102
8,"(15, 24]","(20, 25]",Female,60,83,64,109,0.723,0.587,1.231,0.291
9,"(15, 24]","(20, 25]",Male,126,170,588,799,0.741,0.736,1.007,0.140
10,"(15, 24]","(25, 30]",Female,14,16,19,36,0.875,0.528,1.658,0.772
11,"(15, 24]","(25, 30]",Male,37,37,143,168,1.000,0.851,1.175,0.310
12,"(15, 24]","(30, 35]",Female,9,10,10,13,0.900,0.769,1.170,0.731
13,"(15, 24]","(30, 35]",Male,18,15,44,58,1.200,0.759,1.582,0.642
14,"(15, 24]","(35, 40]",Female,7,9,4,2,0.778,2.000,0.389,0.390
15,"(15, 24]","(35, 40]",Male,14,15,20,20,0.933,1.000,0.933,0.458
16,"(15, 24]","(40, 45]",Female,14,12,3,2,1.167,1.500,0.778,0.774
17,"(15, 24]","(40, 45]",Male,21,6,27,21,3.500,1.286,2.722,1.495
18,"(15, 24]","(45, 50]",Female,7,4,9,4,1.750,2.250,0.778,0.676
19,"(15, 24]","(45, 50]",Male,9,10,19,8,0.900,2.375,0.379,0.237
20,"(15, 24]","(50, 55]",Female,8,1,1,2,8.000,0.500,16.000,25.935
21,"(15, 24]","(50, 55]",Male,9,3,11,6,3.000,1.833,1.636,1.373
22,"(15, 24]","(55, 60]",Female,4,4,5,1,1.000,5.000,0.200,0.261
23,"(15, 24]","(55, 60]",Male,7,4,12,2,1.750,6.000,0.292,0.289
24,"(15, 24]","(60, 65]",Male,3,1,4,1,3.000,4.000,0.750,1.206
25,"(15, 24]","(65, 70]",Male,5,2,6,3,2.500,2.000,1.250,1.371
26,"(24, 34]","(0, 5]",Female,100,123,88,118,0.813,0.746,1.090,0.219
27,"(24, 34]","(0, 5]",Male,88,91,98,107,0.967,0.916,1.056,0.222
28,"(24, 34]","(5, 10]",Female,99,137,91,151,0.723,0.603,1.199,0.232
29,"(24, 34]","(5, 10]",Male,56,92,96,119,0.609,0.807,0.755,0.169
30,"(24, 34]","(10, 15]",Female,52,85,36,70,0.612,0.514,1.190,0.327
31,"(24, 34]","(10, 15]",Male,39,56,52,84,0.696,0.619,1.125,0.312
32,"(24, 34]","(15, 20]",Female,21,46,10,41,0.457,0.244,1.872,0.829
33,"(24, 34]","(15, 20]",Male,68,121,151,259,0.562,0.583,0.964,0.183
34,"(24, 34]","(20, 25]",Female,26,46,24,59,0.565,0.407,1.389,0.484
35,"(24, 34]","(20, 25]",Male,77,109,193,342,0.706,0.564,1.252,0.227
36,"(24, 34]","(25, 30]",Female,22,47,21,30,0.468,0.700,0.669,0.259
37,"(24, 34]","(25, 30]",Male,72,77,148,237,0.935,0.624,1.497,0.301
38,"(24, 34]","(30, 35]",Female,11,11,16,19,1.000,0.842,1.188,0.650
