,Age,R,DeltaR
0,2.5,1.8618226472882116,1.588783279296064
1,7.5,0.8264546099024735,0.3383490400901244
2,12.5,1.398206555544591,0.21769737529392547
3,17.5,1.3337035981005958,0.09041199106308116
4,22.5,1.3054746938993518,0.09512065897565415
5,27.5,1.3544975959678174,0.13862831520715357
6,32.5,1.2595975555111627,0.17028051875120526
7,37.5,1.364655863254747,0.28085978484431484
8,42.5,1.5405611044505396,0.4683993539870039
9,47.5,1.220564108320554,0.4554294311343205
10,52.5,0.9723810506574831,0.5367699508599523
11,57.5,1.0,inf
12,62.5,0.5,0.9357483636106451
13,67.5,1.0,inf
14,72.5,1.0,inf
15,77.5,1.0,inf
16,82.5,1.0,inf
17,87.5,1.0,inf
18,92.5,1.0,inf
19,97.5,1.0,inf
