,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.687,0.228,3.000
1,"(5, 10]",1.189,0.337,8.000
2,"(10, 15]",0.881,0.136,13.000
3,"(15, 20]",1.311,0.110,18.000
4,"(20, 25]",1.408,0.122,23.000
5,"(25, 30]",1.405,0.146,28.000
6,"(30, 35]",1.448,0.168,33.000
7,"(35, 40]",1.266,0.146,38.000
8,"(40, 45]",1.291,0.164,43.000
9,"(45, 50]",1.371,0.189,48.000
10,"(50, 55]",0.978,0.166,53.000
11,"(55, 60]",1.036,0.201,58.000
12,"(60, 65]",1.425,0.325,63.000
13,"(65, 70]",0.902,0.253,68.000
14,"(70, 75]",1.127,0.359,73.000
15,"(75, 80]",0.888,0.292,78.000
16,"(80, 85]",1.071,0.546,83.000
17,"(85, 90]",0.929,0.588,88.000
18,"(90, 95]",0.500,0.936,93.000
