,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Male,1,1,1,1,1.000,1.000,1.000,2.001
1,"(15, 24]","(10, 15]",Male,8,6,7,6,1.333,1.167,1.143,0.888
2,"(15, 24]","(15, 20]",Female,1,4,2,1,0.250,2.000,0.125,0.207
3,"(15, 24]","(15, 20]",Male,112,114,43,65,0.982,0.662,1.485,0.360
4,"(15, 24]","(20, 25]",Male,62,68,35,47,0.912,0.745,1.224,0.353
5,"(15, 24]","(25, 30]",Male,13,16,8,10,0.812,0.800,1.016,0.615
6,"(15, 24]","(30, 35]",Male,6,2,1,4,3.000,0.250,12.000,16.624
7,"(15, 24]","(35, 40]",Male,4,3,1,1,1.333,1.000,1.333,2.144
8,"(24, 34]","(10, 15]",Male,3,7,5,7,0.429,0.714,0.600,0.544
9,"(24, 34]","(15, 20]",Male,33,36,6,12,0.917,0.500,1.833,1.022
10,"(24, 34]","(20, 25]",Male,109,119,22,38,0.916,0.579,1.582,0.479
11,"(24, 34]","(25, 30]",Male,123,127,16,26,0.969,0.615,1.574,0.544
12,"(24, 34]","(30, 35]",Male,94,71,10,15,1.324,0.667,1.986,0.874
13,"(24, 34]","(35, 40]",Male,32,31,5,11,1.032,0.455,2.271,1.357
14,"(24, 34]","(40, 45]",Male,26,20,2,3,1.300,0.667,1.950,1.875
15,"(24, 34]","(45, 50]",Male,9,7,1,1,1.286,1.000,1.286,1.931
16,"(34, 54]","(5, 10]",Male,1,3,1,7,0.333,0.143,2.333,3.674
17,"(34, 54]","(10, 15]",Male,6,10,2,15,0.600,0.133,4.500,4.114
18,"(34, 54]","(15, 20]",Male,16,32,7,17,0.500,0.412,1.214,0.663
19,"(34, 54]","(20, 25]",Male,46,75,7,14,0.613,0.500,1.227,0.616
20,"(34, 54]","(25, 30]",Male,77,98,4,5,0.786,0.800,0.982,0.677
21,"(34, 54]","(30, 35]",Female,2,1,1,1,2.000,1.000,2.000,3.743
22,"(34, 54]","(30, 35]",Male,139,148,10,13,0.939,0.769,1.221,0.537
23,"(34, 54]","(35, 40]",Male,241,273,7,17,0.883,0.412,2.144,0.987
24,"(34, 54]","(40, 45]",Female,3,2,3,2,1.500,1.500,1.000,1.292
25,"(34, 54]","(40, 45]",Male,336,312,7,14,1.077,0.500,2.154,1.017
26,"(34, 54]","(45, 50]",Male,251,226,6,10,1.111,0.600,1.851,0.975
27,"(34, 54]","(50, 55]",Male,145,120,6,5,1.208,1.200,1.007,0.624
28,"(54, 100]","(15, 20]",Male,1,5,2,5,0.200,0.400,0.500,0.690
29,"(54, 100]","(25, 30]",Male,3,10,3,4,0.300,0.750,0.400,0.404
30,"(54, 100]","(35, 40]",Male,12,11,1,3,1.091,0.333,3.273,4.022
31,"(54, 100]","(50, 55]",Male,122,124,3,2,0.984,1.500,0.656,0.605
32,"(54, 100]","(55, 60]",Male,95,89,3,1,1.067,3.000,0.356,0.415
