,Age,R,DeltaR
0,2.5,0.9622480164749257,0.15489551085841283
1,7.5,0.9776772643973995,0.12696672440864895
2,12.5,1.1725438281036475,0.09199094595938398
3,17.5,1.2511446232337586,0.04188718207122252
4,22.5,1.2702412612869365,0.056186191477735625
5,27.5,1.2611939193800126,0.07355998592976691
6,32.5,1.183181291730726,0.07834393741799231
7,37.5,1.2487444838037436,0.087086938219998
8,42.5,1.2069114952682207,0.08750142805033266
9,47.5,1.0631646452333372,0.08458203835703398
10,52.5,1.0303932543927927,0.08648622198170317
11,57.5,1.01444256808806,0.09626494416630037
12,62.5,0.7970516823229195,0.08034079174494647
13,67.5,0.8809284255246397,0.09125907807837745
14,72.5,0.8436941808327245,0.07679181507609842
15,77.5,0.7969362097840614,0.07220221813231154
16,82.5,0.86201170933926,0.08847190718175343
17,87.5,0.8227768531576158,0.11631287479941803
18,92.5,0.9511062219138707,0.29895695084771495
19,97.5,0.75,0.9809912079116714
