,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,6,11,10,7,0.545,1.429,0.382,0.271
1,"(15, 24]","(0, 5]",Male,4,2,6,9,2.000,0.667,3.000,3.045
2,"(15, 24]","(5, 10]",Female,1,8,2,2,0.125,1.000,0.125,0.182
3,"(15, 24]","(5, 10]",Male,2,2,8,3,1.000,2.667,0.375,0.453
4,"(15, 24]","(10, 15]",Female,9,24,6,13,0.375,0.462,0.812,0.513
5,"(15, 24]","(10, 15]",Male,36,38,54,59,0.947,0.915,1.035,0.314
6,"(15, 24]","(15, 20]",Female,38,52,34,60,0.731,0.567,1.290,0.396
7,"(15, 24]","(15, 20]",Male,79,98,214,275,0.806,0.778,1.036,0.190
8,"(15, 24]","(20, 25]",Female,14,20,23,25,0.700,0.920,0.761,0.347
9,"(15, 24]","(20, 25]",Male,19,20,88,84,0.950,1.048,0.907,0.325
10,"(15, 24]","(25, 30]",Female,5,1,4,5,5.000,0.800,6.250,8.034
11,"(15, 24]","(25, 30]",Male,7,9,29,36,0.778,0.806,0.966,0.545
12,"(15, 24]","(30, 35]",Female,3,2,6,7,1.500,0.857,1.750,1.873
13,"(15, 24]","(35, 40]",Female,4,1,2,5,4.000,0.400,10.000,13.973
14,"(15, 24]","(35, 40]",Male,2,2,7,5,1.000,1.400,0.714,0.828
15,"(15, 24]","(40, 45]",Male,3,2,6,3,1.500,2.000,0.750,0.867
16,"(15, 24]","(50, 55]",Male,3,1,4,2,3.000,2.000,1.500,2.166
17,"(24, 34]","(0, 5]",Female,9,16,5,13,0.562,0.385,1.462,0.984
18,"(24, 34]","(0, 5]",Male,9,10,9,8,0.900,1.125,0.800,0.536
19,"(24, 34]","(5, 10]",Female,7,14,11,12,0.500,0.917,0.545,0.341
20,"(24, 34]","(5, 10]",Male,6,10,8,15,0.600,0.533,1.125,0.764
21,"(24, 34]","(10, 15]",Female,5,16,3,11,0.312,0.273,1.146,0.951
22,"(24, 34]","(10, 15]",Male,2,10,2,6,0.200,0.333,0.600,0.676
23,"(24, 34]","(15, 20]",Male,7,13,19,37,0.538,0.514,1.049,0.576
24,"(24, 34]","(20, 25]",Female,3,4,6,9,0.750,0.667,1.125,1.045
25,"(24, 34]","(20, 25]",Male,7,18,44,49,0.389,0.898,0.433,0.214
26,"(24, 34]","(25, 30]",Female,1,7,5,8,0.143,0.625,0.229,0.277
27,"(24, 34]","(25, 30]",Male,6,7,14,16,0.857,0.875,0.980,0.654
28,"(24, 34]","(30, 35]",Male,4,5,16,16,0.800,1.000,0.800,0.608
29,"(24, 34]","(35, 40]",Male,3,4,6,6,0.750,1.000,0.750,0.719
30,"(24, 34]","(40, 45]",Male,3,1,5,6,3.000,0.833,3.600,4.697
31,"(24, 34]","(45, 50]",Female,2,2,1,1,1.000,1.000,1.000,1.733
32,"(34, 54]","(0, 5]",Female,4,10,2,14,0.400,0.143,2.800,2.691
33,"(34, 54]","(0, 5]",Male,4,8,7,7,0.500,1.000,0.500,0.407
34,"(34, 54]","(5, 10]",Female,4,4,2,10,1.000,0.200,5.000,5.250
35,"(34, 54]","(5, 10]",Male,12,14,5,10,0.857,0.500,1.714,1.159
36,"(34, 54]","(10, 15]",Female,8,22,7,20,0.364,0.350,1.039,0.628
37,"(34, 54]","(10, 15]",Male,3,12,7,10,0.250,0.700,0.357,0.291
38,"(34, 54]","(15, 20]",Female,5,6,4,6,0.833,0.667,1.250,1.108
39,"(34, 54]","(15, 20]",Male,1,9,2,12,0.111,0.167,0.667,0.868
40,"(34, 54]","(20, 25]",Female,1,6,4,4,0.167,1.000,0.167,0.215
41,"(34, 54]","(20, 25]",Male,3,6,6,12,0.500,0.500,1.000,0.867
42,"(34, 54]","(25, 30]",Male,2,4,7,7,0.500,1.000,0.500,0.509
43,"(34, 54]","(30, 35]",Male,2,7,11,8,0.286,1.375,0.208,0.193
44,"(34, 54]","(35, 40]",Female,2,5,1,5,0.400,0.200,2.000,2.759
45,"(34, 54]","(35, 40]",Male,6,6,12,10,1.000,1.200,0.833,0.600
46,"(34, 54]","(40, 45]",Male,7,5,3,8,1.400,0.375,3.733,3.347
47,"(34, 54]","(45, 50]",Female,1,3,3,1,0.333,3.000,0.111,0.182
48,"(34, 54]","(45, 50]",Male,5,9,7,3,0.556,2.333,0.238,0.212
49,"(34, 54]","(50, 55]",Female,4,3,2,1,1.333,2.000,0.667,0.963
50,"(34, 54]","(50, 55]",Male,1,3,2,6,0.333,0.333,1.000,1.415
51,"(34, 54]","(55, 60]",Male,1,1,1,1,1.000,1.000,1.000,2.001
52,"(54, 100]","(5, 10]",Female,2,3,1,3,0.667,0.333,2.000,2.946
53,"(54, 100]","(5, 10]",Male,1,2,1,4,0.500,0.250,2.000,3.318
54,"(54, 100]","(10, 15]",Male,1,1,1,1,1.000,1.000,1.000,2.001
55,"(54, 100]","(70, 75]",Male,1,1,1,1,1.000,1.000,1.000,2.001
56,"(54, 100]","(75, 80]",Male,3,4,2,1,0.750,2.000,0.375,0.542
