,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,148,132,200,262,1.121,0.763,1.469,0.235
1,"(15, 24]","(15, 22]",Male,87,77,605,547,1.130,1.106,1.022,0.178
2,"(15, 24]","(22, 27]",Female,31,23,101,107,1.348,0.944,1.428,0.446
3,"(15, 24]","(22, 27]",Male,25,11,171,138,2.273,1.239,1.834,0.702
4,"(15, 24]","(27, 32]",Female,18,13,37,34,1.385,1.088,1.272,0.557
5,"(15, 24]","(27, 32]",Male,10,9,75,44,1.111,1.705,0.652,0.326
6,"(15, 24]","(32, 37]",Female,9,5,18,12,1.800,1.500,1.200,0.807
7,"(15, 24]","(32, 37]",Male,14,4,57,39,3.500,1.462,2.395,1.451
8,"(15, 24]","(37, 42]",Female,18,17,19,12,1.059,1.583,0.669,0.336
9,"(15, 24]","(37, 42]",Male,20,4,49,26,5.000,1.885,2.653,1.595
10,"(15, 24]","(42, 47]",Female,32,14,17,14,2.286,1.214,1.882,0.913
11,"(15, 24]","(42, 47]",Male,27,10,49,19,2.700,2.579,1.047,0.483
12,"(15, 24]","(47, 52]",Female,16,3,17,11,5.333,1.545,3.451,2.555
13,"(15, 24]","(47, 52]",Male,19,7,36,16,2.714,2.250,1.206,0.648
14,"(15, 24]","(52, 57]",Female,11,3,15,6,3.667,2.500,1.467,1.192
15,"(15, 24]","(52, 57]",Male,7,5,23,14,1.400,1.643,0.852,0.578
16,"(15, 24]","(57, 62]",Female,5,1,5,3,5.000,1.667,3.000,3.953
17,"(15, 24]","(57, 62]",Male,4,2,14,7,2.000,2.000,1.000,0.983
18,"(15, 24]","(62, 67]",Female,4,1,5,1,4.000,5.000,0.800,1.253
19,"(24, 34]","(15, 22]",Female,11,11,10,23,1.000,0.435,2.300,1.317
20,"(24, 34]","(15, 22]",Male,22,21,67,83,1.048,0.807,1.298,0.454
21,"(24, 34]","(22, 27]",Female,21,20,78,67,1.050,1.164,0.902,0.323
22,"(24, 34]","(22, 27]",Male,48,32,126,122,1.500,1.033,1.452,0.386
23,"(24, 34]","(27, 32]",Female,17,24,128,142,0.708,0.901,0.786,0.270
24,"(24, 34]","(27, 32]",Male,50,27,118,127,1.852,0.929,1.993,0.549
25,"(24, 34]","(32, 37]",Female,21,24,125,98,0.875,1.276,0.686,0.228
26,"(24, 34]","(32, 37]",Male,26,14,81,50,1.857,1.620,1.146,0.436
27,"(24, 34]","(37, 42]",Female,8,3,50,48,2.667,1.042,2.560,1.813
28,"(24, 34]","(37, 42]",Male,14,6,58,26,2.333,2.231,1.046,0.569
29,"(24, 34]","(42, 47]",Female,9,7,24,11,1.286,2.182,0.589,0.368
30,"(24, 34]","(42, 47]",Male,7,9,28,10,0.778,2.800,0.278,0.174
31,"(24, 34]","(47, 52]",Female,10,1,13,3,10.000,4.333,2.308,2.838
32,"(24, 34]","(47, 52]",Male,7,2,24,17,3.500,1.412,2.479,2.141
33,"(24, 34]","(52, 57]",Female,15,9,14,8,1.667,1.750,0.952,0.585
34,"(24, 34]","(52, 57]",Male,10,5,44,15,2.000,2.933,0.682,0.427
35,"(24, 34]","(57, 62]",Female,9,8,14,8,1.125,1.750,0.643,0.424
36,"(24, 34]","(57, 62]",Male,6,1,24,9,6.000,2.667,2.250,2.587
37,"(24, 34]","(62, 67]",Female,3,2,9,3,1.500,3.000,0.500,0.566
38,"(24, 34]","(67, 72]",Male,6,1,11,6,6.000,1.833,3.273,3.909
39,"(34, 54]","(15, 22]",Female,21,43,25,57,0.488,0.439,1.113,0.403
40,"(34, 54]","(15, 22]",Male,16,39,54,93,0.410,0.581,0.707,0.245
41,"(34, 54]","(22, 27]",Female,18,31,15,27,0.581,0.556,1.045,0.460
42,"(34, 54]","(22, 27]",Male,13,22,43,57,0.591,0.754,0.783,0.319
43,"(34, 54]","(27, 32]",Female,12,32,21,52,0.375,0.404,0.929,0.398
44,"(34, 54]","(27, 32]",Male,19,23,48,66,0.826,0.727,1.136,0.417
45,"(34, 54]","(32, 37]",Female,23,27,84,99,0.852,0.848,1.004,0.325
46,"(34, 54]","(32, 37]",Male,57,58,76,80,0.983,0.950,1.034,0.260
47,"(34, 54]","(37, 42]",Female,38,29,164,188,1.310,0.872,1.502,0.411
48,"(34, 54]","(37, 42]",Male,68,67,89,95,1.015,0.937,1.083,0.251
49,"(34, 54]","(42, 47]",Female,39,28,183,205,1.393,0.893,1.560,0.425
50,"(34, 54]","(42, 47]",Male,75,68,94,85,1.103,1.106,0.997,0.229
51,"(34, 54]","(47, 52]",Female,21,25,224,187,0.840,1.198,0.701,0.222
52,"(34, 54]","(47, 52]",Male,55,37,92,76,1.486,1.211,1.228,0.329
53,"(34, 54]","(52, 57]",Female,21,22,175,162,0.955,1.080,0.884,0.290
54,"(34, 54]","(52, 57]",Male,24,15,53,34,1.600,1.559,1.026,0.409
55,"(34, 54]","(57, 62]",Female,21,10,85,70,2.100,1.214,1.729,0.726
56,"(34, 54]","(57, 62]",Male,17,11,56,24,1.545,2.333,0.662,0.305
57,"(34, 54]","(62, 67]",Female,19,10,43,31,1.900,1.387,1.370,0.629
58,"(34, 54]","(62, 67]",Male,11,4,45,14,2.750,3.214,0.856,0.566
59,"(34, 54]","(67, 72]",Female,11,4,28,14,2.750,2.000,1.375,0.923
60,"(34, 54]","(67, 72]",Male,6,2,33,8,3.000,4.125,0.727,0.660
