,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.204,0.118,19.000
1,"(22, 27]",1.186,0.163,25.000
2,"(27, 32]",1.145,0.165,30.000
3,"(32, 37]",1.033,0.140,35.000
4,"(37, 42]",1.229,0.167,40.000
5,"(42, 47]",0.958,0.125,45.000
6,"(47, 52]",0.954,0.137,50.000
7,"(52, 57]",0.895,0.123,55.000
8,"(57, 62]",0.796,0.121,60.000
9,"(62, 67]",0.813,0.132,65.000
10,"(67, 72]",0.921,0.179,70.000
11,"(72, 77]",0.491,0.112,75.000
12,"(77, 82]",0.685,0.188,80.000
13,"(82, 87]",0.906,0.350,85.000
14,"(87, 92]",0.831,0.729,90.000
