,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.045,0.100,3.000
1,"(5, 10]",1.021,0.099,8.000
2,"(10, 15]",0.984,0.075,13.000
3,"(15, 20]",1.219,0.073,18.000
4,"(20, 25]",1.046,0.088,23.000
5,"(25, 30]",1.202,0.140,28.000
6,"(30, 35]",1.214,0.179,33.000
7,"(35, 40]",1.241,0.209,38.000
8,"(40, 45]",1.430,0.268,43.000
9,"(45, 50]",0.848,0.164,48.000
10,"(50, 55]",1.294,0.276,53.000
11,"(55, 60]",0.956,0.223,58.000
12,"(60, 65]",0.945,0.234,63.000
13,"(65, 70]",1.228,0.317,68.000
14,"(70, 75]",0.785,0.230,73.000
15,"(75, 80]",0.887,0.306,78.000
16,"(80, 85]",0.530,0.266,83.000
17,"(85, 90]",0.744,0.570,88.000
18,"(90, 95]",2.500,3.493,93.000
