,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,78,98,67,84,0.796,0.798,0.998,0.228
1,"(15, 24]","(0, 5]",Male,57,45,55,65,1.267,0.846,1.497,0.412
2,"(15, 24]","(5, 10]",Female,33,30,35,33,1.100,1.061,1.037,0.367
3,"(15, 24]","(5, 10]",Male,30,28,31,34,1.071,0.912,1.175,0.429
4,"(15, 24]","(10, 15]",Female,130,167,82,122,0.778,0.672,1.158,0.221
5,"(15, 24]","(10, 15]",Male,285,372,376,560,0.766,0.671,1.141,0.131
6,"(15, 24]","(15, 20]",Female,296,432,220,380,0.685,0.579,1.184,0.147
7,"(15, 24]","(15, 20]",Male,647,763,2070,2974,0.848,0.696,1.218,0.096
8,"(15, 24]","(20, 25]",Female,77,98,114,205,0.786,0.556,1.413,0.280
9,"(15, 24]","(20, 25]",Male,177,205,799,1141,0.863,0.700,1.233,0.152
10,"(15, 24]","(25, 30]",Female,35,31,33,38,1.129,0.868,1.300,0.450
11,"(15, 24]","(25, 30]",Male,62,44,216,238,1.409,0.908,1.553,0.348
12,"(15, 24]","(30, 35]",Female,12,9,15,20,1.333,0.750,1.778,0.996
13,"(15, 24]","(30, 35]",Male,19,21,75,83,0.905,0.904,1.001,0.358
14,"(15, 24]","(35, 40]",Female,8,7,13,11,1.143,1.182,0.967,0.640
15,"(15, 24]","(35, 40]",Male,26,13,45,42,2.000,1.071,1.867,0.756
16,"(15, 24]","(40, 45]",Female,15,14,11,4,1.071,2.750,0.390,0.270
17,"(15, 24]","(40, 45]",Male,24,17,36,23,1.412,1.565,0.902,0.377
18,"(15, 24]","(45, 50]",Female,7,10,5,6,0.700,0.833,0.840,0.657
19,"(15, 24]","(45, 50]",Male,26,17,23,14,1.529,1.643,0.931,0.431
20,"(15, 24]","(50, 55]",Female,9,6,4,3,1.500,1.333,1.125,1.045
21,"(15, 24]","(50, 55]",Male,17,9,16,7,1.889,2.286,0.826,0.508
22,"(15, 24]","(55, 60]",Female,7,5,3,3,1.400,1.000,1.400,1.408
23,"(15, 24]","(55, 60]",Male,16,4,10,6,4.000,1.667,2.400,1.830
24,"(15, 24]","(60, 65]",Female,9,5,3,3,1.800,1.000,1.800,1.782
25,"(15, 24]","(60, 65]",Male,12,3,10,3,4.000,3.333,1.200,1.108
26,"(15, 24]","(65, 70]",Female,9,4,4,3,2.250,1.333,1.688,1.642
27,"(15, 24]","(65, 70]",Male,6,1,9,2,6.000,4.500,1.333,1.779
28,"(15, 24]","(75, 80]",Male,6,1,1,2,6.000,0.500,12.000,19.605
29,"(15, 24]","(80, 85]",Male,5,1,2,1,5.000,2.000,2.500,4.110
30,"(24, 34]","(0, 5]",Female,105,122,100,132,0.861,0.758,1.136,0.221
31,"(24, 34]","(0, 5]",Male,88,120,97,122,0.733,0.795,0.922,0.186
32,"(24, 34]","(5, 10]",Female,111,163,90,160,0.681,0.562,1.211,0.227
33,"(24, 34]","(5, 10]",Male,66,98,69,102,0.673,0.676,0.996,0.227
34,"(24, 34]","(10, 15]",Female,56,100,41,75,0.560,0.547,1.024,0.267
35,"(24, 34]","(10, 15]",Male,34,64,60,81,0.531,0.741,0.717,0.198
36,"(24, 34]","(15, 20]",Female,23,56,16,58,0.411,0.276,1.489,0.564
37,"(24, 34]","(15, 20]",Male,78,124,177,334,0.629,0.530,1.187,0.212
38,"(24, 34]","(20, 25]",Female,34,56,27,47,0.607,0.574,1.057,0.347
39,"(24, 34]","(20, 25]",Male,113,137,309,509,0.825,0.607,1.359,0.210
40,"(24, 34]","(25, 30]",Female,31,45,30,49,0.689,0.612,1.125,0.374
41,"(24, 34]","(25, 30]",Male,86,97,232,340,0.887,0.682,1.299,0.231
42,"(24, 34]","(30, 35]",Female,19,24,29,33,0.792,0.879,0.901,0.362
43,"(24, 34]","(30, 35]",Male,48,54,123,147,0.889,0.837,1.062,0.253
44,"(24, 34]","(35, 40]",Female,14,11,6,17,1.273,0.353,3.606,2.253
45,"(24, 34]","(35, 40]",Male,36,31,51,66,1.161,0.773,1.503,0.469
46,"(24, 34]","(40, 45]",Female,14,18,10,13,0.778,0.769,1.011,0.560
47,"(24, 34]","(40, 45]",Male,13,7,43,45,1.857,0.956,1.944,1.006
48,"(24, 34]","(45, 50]",Female,13,7,11,11,1.857,1.000,1.857,1.181
49,"(24, 34]","(45, 50]",Male,27,17,25,23,1.588,1.087,1.461,0.623
50,"(24, 34]","(50, 55]",Female,7,10,7,5,0.700,1.400,0.500,0.383
51,"(24, 34]","(50, 55]",Male,29,13,27,15,2.231,1.800,1.239,0.578
52,"(24, 34]","(55, 60]",Female,12,5,5,1,2.400,5.000,0.480,0.585
53,"(24, 34]","(55, 60]",Male,24,15,16,14,1.600,1.143,1.400,0.693
54,"(24, 34]","(60, 65]",Male,14,6,13,3,2.333,4.333,0.538,0.434
55,"(24, 34]","(65, 70]",Female,14,5,5,5,2.800,1.000,2.800,2.299
56,"(24, 34]","(65, 70]",Male,10,4,10,3,2.500,3.333,0.750,0.665
57,"(24, 34]","(70, 75]",Female,4,3,3,1,1.333,3.000,0.444,0.616
