,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,Unbelted drivers,16991,54184,71175
1,Car,Unbelted right front passengers,38478,43043,81521
2,Car,Belted drivers,8060,15424,23484
3,Car,Belted right front passengers,19296,11270,30566
4,Car,Unbelted left rear passengers,4395,6298,10693
5,Car,Unbelted right rear passengers,5012,7270,12282
0,Light truck,Unbelted drivers,3994,24873,28867
1,Light truck,Unbelted right front passengers,11015,18889,29904
2,Light truck,Belted drivers,2071,6338,8409
3,Light truck,Belted right front passengers,5148,4166,9314
4,Light truck,Unbelted left rear passengers,696,1092,1788
5,Light truck,Unbelted right rear passengers,790,1153,1943
0,Motorcycle,Helmeted Motorcycle Passenger,3687,1211,4898
1,Motorcycle,Unhelmeted Motorcycle Passenger,4496,1956,6452
