,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,8,4,2,4,2.000,0.500,4.000,4.247
1,"(15, 24]","(10, 15]",Male,9,7,14,15,1.286,0.933,1.378,0.865
2,"(15, 24]","(15, 20]",Female,17,21,9,12,0.810,0.750,1.079,0.595
3,"(15, 24]","(15, 20]",Male,53,37,71,76,1.432,0.934,1.533,0.422
4,"(15, 24]","(20, 25]",Female,4,8,8,14,0.500,0.571,0.875,0.663
5,"(15, 24]","(20, 25]",Male,18,20,40,37,0.900,1.081,0.833,0.333
6,"(15, 24]","(25, 30]",Female,2,3,4,4,0.667,1.000,0.667,0.771
7,"(15, 24]","(25, 30]",Male,4,8,14,13,0.500,1.077,0.464,0.337
8,"(15, 24]","(30, 35]",Male,3,3,6,6,1.000,1.000,1.000,1.001
9,"(15, 24]","(35, 40]",Female,1,1,3,2,1.000,1.500,0.667,1.123
10,"(15, 24]","(35, 40]",Male,4,5,4,5,0.800,0.800,1.000,0.950
11,"(15, 24]","(40, 45]",Female,3,1,4,2,3.000,2.000,1.500,2.166
12,"(15, 24]","(40, 45]",Male,3,2,5,4,1.500,1.250,1.200,1.361
13,"(15, 24]","(45, 50]",Female,4,2,4,2,2.000,2.000,1.000,1.226
14,"(15, 24]","(55, 60]",Female,3,1,2,1,3.000,2.000,1.500,2.526
15,"(15, 24]","(55, 60]",Male,1,1,3,2,1.000,1.500,0.667,1.123
16,"(24, 34]","(5, 10]",Female,4,8,2,5,0.500,0.400,1.250,1.298
17,"(24, 34]","(5, 10]",Male,2,3,4,2,0.667,2.000,0.333,0.420
18,"(24, 34]","(10, 15]",Female,5,4,3,6,1.250,0.500,2.500,2.440
19,"(24, 34]","(15, 20]",Female,2,5,1,7,0.400,0.143,2.800,3.804
20,"(24, 34]","(15, 20]",Male,5,2,4,12,2.500,0.333,7.500,7.633
21,"(24, 34]","(20, 25]",Female,1,2,3,2,0.500,1.500,0.333,0.509
22,"(24, 34]","(20, 25]",Male,13,27,18,26,0.481,0.692,0.695,0.319
23,"(24, 34]","(25, 30]",Female,4,3,10,15,1.333,0.667,2.000,1.735
24,"(24, 34]","(25, 30]",Male,20,28,28,23,0.714,1.217,0.587,0.240
25,"(24, 34]","(30, 35]",Female,4,6,1,14,0.667,0.071,9.333,11.395
26,"(24, 34]","(30, 35]",Male,22,23,11,12,0.957,0.917,1.043,0.538
27,"(24, 34]","(35, 40]",Female,5,3,7,3,1.667,2.333,0.714,0.719
28,"(24, 34]","(35, 40]",Male,8,4,8,7,2.000,1.143,1.750,1.406
29,"(24, 34]","(40, 45]",Female,4,4,1,1,1.000,1.000,1.000,1.582
30,"(24, 34]","(40, 45]",Male,3,2,8,7,1.500,1.143,1.312,1.379
31,"(24, 34]","(45, 50]",Female,1,1,2,4,1.000,0.500,2.000,3.318
32,"(24, 34]","(45, 50]",Male,4,3,7,2,1.333,3.500,0.381,0.422
33,"(24, 34]","(55, 60]",Male,5,1,4,7,5.000,0.571,8.750,11.052
34,"(34, 54]","(5, 10]",Female,3,2,2,7,1.500,0.286,5.250,6.384
35,"(34, 54]","(5, 10]",Male,3,5,6,9,0.600,0.667,0.900,0.812
36,"(34, 54]","(10, 15]",Female,7,20,5,15,0.350,0.333,1.050,0.714
37,"(34, 54]","(10, 15]",Male,4,8,10,16,0.500,0.625,0.800,0.588
38,"(34, 54]","(15, 20]",Female,5,16,6,15,0.312,0.400,0.781,0.552
39,"(34, 54]","(15, 20]",Male,3,8,8,18,0.375,0.444,0.844,0.676
40,"(34, 54]","(20, 25]",Female,4,6,1,8,0.667,0.125,5.333,6.627
41,"(34, 54]","(20, 25]",Male,4,8,13,24,0.500,0.542,0.923,0.650
