,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 20]",Male,40,41,14,24,0.976,0.583,1.672,0.679
1,"(15, 24]","(20, 25]",Male,20,23,16,21,0.870,0.762,1.141,0.518
2,"(15, 24]","(25, 30]",Male,6,6,4,3,1.000,1.333,0.750,0.719
3,"(24, 34]","(15, 20]",Male,10,13,1,3,0.769,0.333,2.308,2.838
4,"(24, 34]","(20, 25]",Male,49,56,6,12,0.875,0.500,1.750,0.944
5,"(24, 34]","(25, 30]",Male,63,65,7,13,0.969,0.538,1.800,0.906
6,"(24, 34]","(30, 35]",Male,38,34,4,7,1.118,0.571,1.956,1.314
7,"(24, 34]","(40, 45]",Male,9,7,2,3,1.286,0.667,1.929,2.013
8,"(34, 54]","(15, 20]",Male,7,10,3,7,0.700,0.429,1.633,1.387
9,"(34, 54]","(20, 25]",Male,18,27,4,3,0.667,1.333,0.500,0.412
10,"(34, 54]","(25, 30]",Male,37,48,1,3,0.771,0.333,2.313,2.720
11,"(34, 54]","(30, 35]",Male,55,54,6,4,1.019,1.500,0.679,0.458
12,"(34, 54]","(35, 40]",Male,90,102,1,3,0.882,0.333,2.647,3.083
13,"(34, 54]","(40, 45]",Male,135,134,2,4,1.007,0.500,2.015,1.765
14,"(34, 54]","(45, 50]",Male,131,107,3,3,1.224,1.000,1.224,1.014
15,"(34, 54]","(50, 55]",Male,81,69,2,2,1.174,1.000,1.174,1.191
16,"(54, 100]","(25, 30]",Male,2,7,2,2,0.286,1.000,0.286,0.366
17,"(54, 100]","(50, 55]",Male,76,77,1,1,0.987,1.000,0.987,1.406
18,"(54, 100]","(55, 60]",Male,61,62,2,1,0.984,2.000,0.492,0.609
