,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,78,78,89,124,1.000,0.718,1.393,0.303
1,"(15, 24]","(15, 22]",Male,43,49,241,202,0.878,1.193,0.736,0.173
2,"(15, 24]","(22, 27]",Female,8,5,46,54,1.600,0.852,1.878,1.139
3,"(15, 24]","(22, 27]",Male,17,16,65,62,1.062,1.048,1.013,0.399
4,"(15, 24]","(27, 32]",Female,3,2,13,10,1.500,1.300,1.154,1.161
5,"(15, 24]","(32, 37]",Female,3,5,6,6,0.600,1.000,0.600,0.559
6,"(15, 24]","(32, 37]",Male,4,2,9,8,2.000,1.125,1.778,1.768
7,"(15, 24]","(37, 42]",Male,3,2,9,4,1.500,2.250,0.667,0.729
8,"(15, 24]","(42, 47]",Male,8,3,5,1,2.667,5.000,0.533,0.687
9,"(15, 24]","(47, 52]",Male,2,1,7,3,2.000,2.333,0.857,1.206
10,"(15, 24]","(52, 57]",Female,6,5,2,1,1.200,2.000,0.600,0.820
11,"(24, 34]","(15, 22]",Female,6,7,5,9,0.857,0.556,1.543,1.218
12,"(24, 34]","(15, 22]",Male,13,8,10,19,1.625,0.526,3.088,1.845
13,"(24, 34]","(22, 27]",Female,9,8,21,27,1.125,0.778,1.446,0.822
14,"(24, 34]","(22, 27]",Male,14,20,36,47,0.700,0.766,0.914,0.380
15,"(24, 34]","(27, 32]",Female,5,7,29,32,0.714,0.906,0.788,0.505
16,"(24, 34]","(27, 32]",Male,18,15,34,32,1.200,1.062,1.129,0.486
17,"(24, 34]","(32, 37]",Female,4,3,22,20,1.333,1.100,1.212,1.000
18,"(24, 34]","(32, 37]",Male,7,2,20,15,3.500,1.333,2.625,2.291
19,"(24, 34]","(37, 42]",Female,4,2,7,6,2.000,1.167,1.714,1.767
20,"(24, 34]","(37, 42]",Male,5,4,8,11,1.250,0.727,1.719,1.405
21,"(24, 34]","(42, 47]",Male,1,2,5,1,0.500,5.000,0.100,0.164
22,"(24, 34]","(47, 52]",Female,3,3,6,1,1.000,6.000,0.167,0.226
23,"(24, 34]","(47, 52]",Male,2,3,6,3,0.667,2.000,0.333,0.385
24,"(24, 34]","(52, 57]",Female,5,3,5,2,1.667,2.500,0.667,0.741
25,"(34, 54]","(15, 22]",Female,8,14,6,13,0.571,0.462,1.238,0.824
26,"(34, 54]","(15, 22]",Male,1,5,5,17,0.200,0.294,0.680,0.822
27,"(34, 54]","(22, 27]",Female,8,3,4,13,2.667,0.308,8.667,7.692
28,"(34, 54]","(22, 27]",Male,5,6,6,12,0.833,0.500,1.667,1.311
29,"(34, 54]","(27, 32]",Female,2,9,4,15,0.222,0.267,0.833,0.804
30,"(34, 54]","(27, 32]",Male,7,8,7,15,0.875,0.467,1.875,1.299
31,"(34, 54]","(32, 37]",Female,3,8,10,13,0.375,0.769,0.487,0.389
32,"(34, 54]","(32, 37]",Male,5,7,15,15,0.714,1.000,0.714,0.494
33,"(34, 54]","(37, 42]",Female,3,7,24,23,0.429,1.043,0.411,0.308
34,"(34, 54]","(37, 42]",Male,15,8,15,15,1.875,1.000,1.875,1.073
35,"(34, 54]","(42, 47]",Female,5,7,20,27,0.714,0.741,0.964,0.634
36,"(34, 54]","(42, 47]",Male,14,11,11,14,1.273,0.786,1.620,0.927
37,"(34, 54]","(47, 52]",Female,6,2,28,24,3.000,1.167,2.571,2.222
38,"(34, 54]","(47, 52]",Male,12,13,16,10,0.923,1.600,0.577,0.329
39,"(34, 54]","(52, 57]",Female,8,2,17,19,4.000,0.895,4.471,3.843
40,"(34, 54]","(52, 57]",Male,5,4,8,13,1.250,0.615,2.031,1.643
41,"(34, 54]","(57, 62]",Female,8,5,18,7,1.600,2.571,0.622,0.451
42,"(34, 54]","(57, 62]",Male,7,2,7,4,3.500,1.750,2.000,2.038
