,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,14,13,8,8,1.077,1.000,1.077,0.682
1,"(15, 24]","(10, 15]",Male,17,11,14,19,1.545,0.737,2.097,1.102
2,"(15, 24]","(15, 20]",Female,54,61,33,26,0.885,1.269,0.697,0.227
3,"(15, 24]","(15, 20]",Male,106,73,145,179,1.452,0.810,1.793,0.350
4,"(15, 24]","(20, 25]",Female,30,22,27,32,1.364,0.844,1.616,0.625
5,"(15, 24]","(20, 25]",Male,56,43,99,108,1.302,0.917,1.421,0.357
6,"(15, 24]","(25, 30]",Female,8,2,10,9,4.000,1.111,3.600,3.297
7,"(15, 24]","(25, 30]",Male,7,5,22,14,1.400,1.571,0.891,0.606
8,"(15, 24]","(30, 35]",Female,1,3,5,6,0.333,0.833,0.400,0.522
9,"(15, 24]","(35, 40]",Female,2,5,2,2,0.400,1.000,0.400,0.522
10,"(15, 24]","(35, 40]",Male,8,6,3,3,1.333,1.000,1.333,1.307
11,"(15, 24]","(40, 45]",Female,5,3,1,1,1.667,1.000,1.667,2.654
12,"(15, 24]","(40, 45]",Male,5,1,8,3,5.000,2.667,1.875,2.416
13,"(15, 24]","(65, 70]",Female,1,1,2,1,1.000,2.000,0.500,0.936
14,"(24, 34]","(5, 10]",Female,5,3,5,3,1.667,1.667,1.000,1.034
15,"(24, 34]","(5, 10]",Male,2,3,2,2,0.667,1.000,0.667,0.903
16,"(24, 34]","(10, 15]",Female,1,6,1,4,0.167,0.250,0.667,1.037
17,"(24, 34]","(10, 15]",Male,5,3,1,3,1.667,0.333,5.000,6.836
18,"(24, 34]","(15, 20]",Female,2,3,2,4,0.667,0.500,1.333,1.679
19,"(24, 34]","(15, 20]",Male,5,8,8,11,0.625,0.727,0.859,0.633
20,"(24, 34]","(20, 25]",Female,5,6,8,6,0.833,1.333,0.625,0.508
21,"(24, 34]","(20, 25]",Male,31,38,42,42,0.816,1.000,0.816,0.269
22,"(24, 34]","(25, 30]",Female,8,11,14,18,0.727,0.778,0.935,0.550
23,"(24, 34]","(25, 30]",Male,44,29,48,46,1.517,1.043,1.454,0.465
24,"(24, 34]","(30, 35]",Female,6,7,16,18,0.857,0.889,0.964,0.632
25,"(24, 34]","(30, 35]",Male,16,22,19,16,0.727,1.188,0.612,0.291
26,"(24, 34]","(35, 40]",Female,5,2,3,1,2.500,3.000,0.833,1.189
27,"(24, 34]","(35, 40]",Male,7,2,8,8,3.500,1.000,3.500,3.312
28,"(24, 34]","(40, 45]",Female,1,1,3,3,1.000,1.000,1.000,1.634
29,"(24, 34]","(40, 45]",Male,9,4,6,3,2.250,2.000,1.125,1.045
30,"(24, 34]","(45, 50]",Female,1,1,1,1,1.000,1.000,1.000,2.001
31,"(24, 34]","(55, 60]",Male,4,2,2,1,2.000,2.000,1.000,1.501
32,"(34, 54]","(5, 10]",Female,3,8,2,5,0.375,0.400,0.938,1.010
33,"(34, 54]","(5, 10]",Male,2,1,4,3,2.000,1.333,1.500,2.166
34,"(34, 54]","(10, 15]",Female,12,8,6,15,1.500,0.400,3.750,2.499
35,"(34, 54]","(10, 15]",Male,6,9,7,11,0.667,0.636,1.048,0.751
36,"(34, 54]","(15, 20]",Female,7,18,5,12,0.389,0.417,0.933,0.649
37,"(34, 54]","(15, 20]",Male,2,8,5,14,0.250,0.357,0.700,0.664
38,"(34, 54]","(20, 25]",Female,9,7,4,5,1.286,0.800,1.607,1.351
39,"(34, 54]","(20, 25]",Male,4,6,10,13,0.667,0.769,0.867,0.669
40,"(34, 54]","(25, 30]",Female,2,5,3,3,0.400,1.000,0.400,0.468
41,"(34, 54]","(25, 30]",Male,6,10,12,17,0.600,0.706,0.850,0.545
42,"(34, 54]","(30, 35]",Female,5,8,6,6,0.625,1.000,0.625,0.508
43,"(34, 54]","(30, 35]",Male,16,22,11,17,0.727,0.647,1.124,0.573
44,"(34, 54]","(35, 40]",Female,4,3,7,14,1.333,0.500,2.667,2.385
45,"(34, 54]","(35, 40]",Male,19,23,11,12,0.826,0.917,0.901,0.471
46,"(34, 54]","(40, 45]",Female,9,2,3,11,4.500,0.273,16.500,16.809
47,"(34, 54]","(40, 45]",Male,29,23,21,19,1.261,1.105,1.141,0.485
48,"(34, 54]","(45, 50]",Female,3,6,16,13,0.500,1.231,0.406,0.325
49,"(34, 54]","(45, 50]",Male,26,22,15,14,1.182,1.071,1.103,0.523
50,"(34, 54]","(50, 55]",Female,8,7,17,11,1.143,1.545,0.739,0.479
51,"(34, 54]","(50, 55]",Male,16,18,8,10,0.889,0.800,1.111,0.653
52,"(34, 54]","(55, 60]",Female,14,2,9,10,7.000,0.900,7.778,6.891
53,"(34, 54]","(55, 60]",Male,5,5,9,6,1.000,1.500,0.667,0.550
54,"(34, 54]","(60, 65]",Female,7,2,4,5,3.500,0.800,4.375,4.579
55,"(34, 54]","(60, 65]",Male,7,4,12,5,1.750,2.400,0.729,0.601
56,"(34, 54]","(65, 70]",Male,4,1,4,1,4.000,4.000,1.000,1.582
57,"(34, 54]","(70, 75]",Female,11,3,3,3,3.667,1.000,3.667,3.834
58,"(34, 54]","(75, 80]",Male,6,1,5,1,6.000,5.000,1.200,1.847
59,"(34, 54]","(80, 85]",Male,5,1,5,1,5.000,5.000,1.000,1.550
60,"(54, 100]","(5, 10]",Female,1,4,1,1,0.250,1.000,0.250,0.451
61,"(54, 100]","(15, 20]",Female,1,6,1,8,0.167,0.125,1.333,2.020
62,"(54, 100]","(15, 20]",Male,2,6,3,13,0.333,0.231,1.444,1.501
63,"(54, 100]","(20, 25]",Male,1,5,2,2,0.200,1.000,0.200,0.297
64,"(54, 100]","(25, 30]",Female,3,5,1,1,0.600,1.000,0.600,0.955
65,"(54, 100]","(25, 30]",Male,1,3,1,6,0.333,0.167,2.000,3.164
66,"(54, 100]","(30, 35]",Male,4,9,2,5,0.444,0.400,1.111,1.146
67,"(54, 100]","(35, 40]",Female,1,7,1,2,0.143,0.500,0.286,0.465
68,"(54, 100]","(35, 40]",Male,3,6,8,8,0.500,1.000,0.500,0.434
69,"(54, 100]","(40, 45]",Female,5,9,4,5,0.556,0.800,0.694,0.607
70,"(54, 100]","(40, 45]",Male,7,12,2,12,0.583,0.167,3.500,3.154
71,"(54, 100]","(45, 50]",Female,1,6,3,5,0.167,0.600,0.278,0.362
72,"(54, 100]","(45, 50]",Male,9,14,1,6,0.643,0.167,3.857,4.484
73,"(54, 100]","(50, 55]",Female,10,7,2,11,1.429,0.182,7.857,7.185
74,"(54, 100]","(50, 55]",Male,13,30,9,9,0.433,1.000,0.433,0.251
75,"(54, 100]","(55, 60]",Female,8,11,12,15,0.727,0.800,0.909,0.552
76,"(54, 100]","(55, 60]",Male,39,53,11,9,0.736,1.222,0.602,0.300
77,"(54, 100]","(60, 65]",Female,7,6,16,11,1.167,1.455,0.802,0.547
78,"(54, 100]","(60, 65]",Male,39,48,5,11,0.812,0.455,1.788,1.042
79,"(54, 100]","(65, 70]",Female,18,12,11,15,1.500,0.733,2.045,1.118
80,"(54, 100]","(65, 70]",Male,63,61,7,7,1.033,1.000,1.033,0.585
81,"(54, 100]","(70, 75]",Female,20,21,22,9,0.952,2.444,0.390,0.197
82,"(54, 100]","(70, 75]",Male,57,74,8,4,0.770,2.000,0.385,0.246
83,"(54, 100]","(75, 80]",Female,19,16,26,14,1.188,1.857,0.639,0.305
84,"(54, 100]","(75, 80]",Male,91,71,7,5,1.282,1.400,0.915,0.557
85,"(54, 100]","(80, 85]",Female,43,29,41,15,1.483,2.733,0.542,0.211
86,"(54, 100]","(80, 85]",Male,78,73,8,13,1.068,0.615,1.736,0.834
87,"(54, 100]","(85, 90]",Female,30,5,36,14,6.000,2.571,2.333,1.351
88,"(54, 100]","(85, 90]",Male,43,31,13,5,1.387,2.600,0.533,0.309
89,"(54, 100]","(90, 95]",Female,17,3,20,4,5.667,5.000,1.133,0.945
90,"(54, 100]","(90, 95]",Male,34,9,3,1,3.778,3.000,1.259,1.530
