,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Male,2,2,3,3,1.000,1.000,1.000,1.292
1,"(15, 24]","(15, 20]",Female,12,10,4,9,1.200,0.444,2.700,1.997
2,"(15, 24]","(15, 20]",Male,18,24,34,43,0.750,0.791,0.949,0.370
3,"(15, 24]","(20, 25]",Female,6,9,8,8,0.667,1.000,0.667,0.485
4,"(15, 24]","(20, 25]",Male,13,16,28,35,0.812,0.800,1.016,0.461
5,"(15, 24]","(25, 30]",Female,2,4,2,3,0.500,0.667,0.750,0.944
6,"(15, 24]","(25, 30]",Male,3,4,8,5,0.750,1.600,0.469,0.447
7,"(15, 24]","(35, 40]",Male,1,1,6,2,1.000,3.000,0.333,0.545
8,"(15, 24]","(50, 55]",Male,3,1,1,1,3.000,1.000,3.000,5.479
9,"(24, 34]","(5, 10]",Female,2,2,1,2,1.000,0.500,2.000,3.164
10,"(24, 34]","(15, 20]",Female,1,2,1,1,0.500,1.000,0.500,0.936
11,"(24, 34]","(15, 20]",Male,2,2,5,5,1.000,1.000,1.000,1.184
12,"(24, 34]","(20, 25]",Female,1,3,1,2,0.333,0.500,0.667,1.123
13,"(24, 34]","(20, 25]",Male,10,16,14,22,0.625,0.636,0.982,0.521
14,"(24, 34]","(25, 30]",Female,1,1,3,4,1.000,0.750,1.333,2.144
15,"(24, 34]","(25, 30]",Male,15,12,21,16,1.250,1.312,0.952,0.488
16,"(24, 34]","(30, 35]",Female,2,3,6,3,0.667,2.000,0.333,0.385
17,"(24, 34]","(30, 35]",Male,13,8,7,7,1.625,1.000,1.625,1.138
18,"(24, 34]","(35, 40]",Male,2,1,4,4,2.000,1.000,2.000,2.830
19,"(24, 34]","(40, 45]",Male,1,1,5,2,1.000,2.500,0.400,0.658
20,"(24, 34]","(45, 50]",Male,1,1,1,2,1.000,0.500,2.000,3.743
21,"(34, 54]","(15, 20]",Female,1,1,1,1,1.000,1.000,1.000,2.001
22,"(34, 54]","(20, 25]",Male,1,3,1,9,0.333,0.111,3.000,4.693
23,"(34, 54]","(30, 35]",Male,4,5,5,8,0.800,0.625,1.280,1.129
24,"(34, 54]","(35, 40]",Female,1,1,2,1,1.000,2.000,0.500,0.936
25,"(34, 54]","(35, 40]",Male,7,3,4,4,2.333,1.000,2.333,2.308
26,"(34, 54]","(40, 45]",Female,3,2,3,4,1.500,0.750,2.000,2.383
27,"(34, 54]","(40, 45]",Male,4,3,7,8,1.333,0.875,1.524,1.408
28,"(34, 54]","(45, 50]",Male,4,4,2,6,1.000,0.333,3.000,3.244
29,"(34, 54]","(50, 55]",Female,2,1,4,3,2.000,1.333,1.500,2.166
30,"(34, 54]","(50, 55]",Male,7,7,1,3,1.000,0.333,3.000,3.820
31,"(54, 100]","(30, 35]",Male,2,2,1,1,1.000,1.000,1.000,1.733
32,"(54, 100]","(45, 50]",Male,1,1,1,3,1.000,0.333,3.000,5.479
33,"(54, 100]","(50, 55]",Male,2,6,2,3,0.333,0.667,0.500,0.613
34,"(54, 100]","(55, 60]",Female,1,4,2,2,0.250,1.000,0.250,0.375
35,"(54, 100]","(55, 60]",Male,2,1,4,1,2.000,4.000,0.500,0.830
36,"(54, 100]","(60, 65]",Male,3,4,1,1,0.750,1.000,0.750,1.206
37,"(54, 100]","(65, 70]",Male,4,3,1,2,1.333,0.500,2.667,3.851
38,"(54, 100]","(70, 75]",Male,1,1,1,2,1.000,0.500,2.000,3.743
