,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.958,0.349,3.000
1,"(5, 10]",1.109,0.337,8.000
2,"(10, 15]",1.283,0.345,13.000
3,"(15, 20]",1.400,0.253,18.000
4,"(20, 25]",1.484,0.373,23.000
5,"(25, 30]",1.624,0.598,28.000
6,"(30, 35]",0.916,0.410,33.000
7,"(35, 40]",1.675,0.779,38.000
8,"(40, 45]",1.057,0.639,43.000
9,"(45, 50]",1.575,0.924,48.000
10,"(50, 55]",0.626,0.513,53.000
11,"(55, 60]",1.186,1.077,58.000
12,"(60, 65]",1.600,1.581,63.000
13,"(65, 70]",2.360,1.955,68.000
14,"(70, 75]",2.400,2.586,73.000
