,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,4,3,1,1,1.333,1.000,1.333,2.144
1,"(15, 24]","(10, 15]",Male,1,2,7,12,0.500,0.583,0.857,1.127
2,"(15, 24]","(15, 20]",Female,13,9,8,11,1.444,0.727,1.986,1.266
3,"(15, 24]","(15, 20]",Male,23,17,25,27,1.353,0.926,1.461,0.623
4,"(15, 24]","(20, 25]",Female,6,4,7,7,1.500,1.000,1.500,1.259
5,"(15, 24]","(20, 25]",Male,7,8,17,18,0.875,0.944,0.926,0.575
6,"(15, 24]","(25, 30]",Male,1,1,6,6,1.000,1.000,1.000,1.528
7,"(15, 24]","(35, 40]",Male,1,1,2,1,1.000,2.000,0.500,0.936
8,"(24, 34]","(0, 5]",Female,5,1,2,2,5.000,1.000,5.000,7.420
9,"(24, 34]","(5, 10]",Female,1,3,3,1,0.333,3.000,0.111,0.182
10,"(24, 34]","(15, 20]",Male,1,1,2,4,1.000,0.500,2.000,3.318
11,"(24, 34]","(20, 25]",Female,1,2,2,2,0.500,1.000,0.500,0.791
12,"(24, 34]","(20, 25]",Male,8,8,8,7,1.000,1.143,0.875,0.631
13,"(24, 34]","(25, 30]",Female,3,1,5,3,3.000,1.667,1.800,2.461
14,"(24, 34]","(25, 30]",Male,10,11,10,7,0.909,1.429,0.636,0.420
15,"(24, 34]","(30, 35]",Male,3,5,1,3,0.600,0.333,1.800,2.461
16,"(24, 34]","(35, 40]",Female,1,2,2,1,0.500,2.000,0.250,0.433
17,"(24, 34]","(35, 40]",Male,5,3,3,4,1.667,0.750,2.222,2.351
18,"(24, 34]","(45, 50]",Female,2,1,1,1,2.000,1.000,2.000,3.743
19,"(24, 34]","(45, 50]",Male,1,1,2,1,1.000,2.000,0.500,0.936
20,"(34, 54]","(10, 15]",Female,3,7,2,7,0.429,0.286,1.500,1.589
21,"(34, 54]","(10, 15]",Male,2,2,3,4,1.000,0.750,1.333,1.679
22,"(34, 54]","(15, 20]",Female,3,6,1,5,0.500,0.200,2.500,3.262
23,"(34, 54]","(25, 30]",Female,3,2,1,1,1.500,1.000,1.500,2.526
24,"(34, 54]","(35, 40]",Female,4,2,2,5,2.000,0.400,5.000,6.026
25,"(34, 54]","(35, 40]",Male,16,11,4,7,1.455,0.571,2.545,1.886
26,"(34, 54]","(40, 45]",Female,2,3,1,4,0.667,0.250,2.667,3.851
27,"(34, 54]","(40, 45]",Male,8,8,5,2,1.000,2.500,0.400,0.390
28,"(34, 54]","(45, 50]",Female,8,2,3,3,4.000,1.000,4.000,4.550
29,"(34, 54]","(45, 50]",Male,13,12,1,2,1.083,0.500,2.167,2.794
30,"(34, 54]","(50, 55]",Female,2,4,5,5,0.500,1.000,0.500,0.537
31,"(34, 54]","(55, 60]",Female,3,3,1,1,1.000,1.000,1.000,1.634
32,"(34, 54]","(55, 60]",Male,3,1,1,1,3.000,1.000,3.000,5.479
33,"(34, 54]","(60, 65]",Female,1,1,1,2,1.000,0.500,2.000,3.743
34,"(34, 54]","(75, 80]",Female,3,1,2,1,3.000,2.000,1.500,2.526
35,"(54, 100]","(10, 15]",Female,1,5,1,2,0.200,0.500,0.400,0.658
36,"(54, 100]","(30, 35]",Female,1,1,1,2,1.000,0.500,2.000,3.743
37,"(54, 100]","(50, 55]",Female,1,1,3,2,1.000,1.500,0.667,1.123
38,"(54, 100]","(50, 55]",Male,10,5,2,4,2.000,0.500,4.000,4.104
39,"(54, 100]","(60, 65]",Female,4,5,3,6,0.800,0.500,1.600,1.562
40,"(54, 100]","(60, 65]",Male,20,18,1,2,1.111,0.500,2.222,2.818
41,"(54, 100]","(65, 70]",Female,7,5,10,4,1.400,2.500,0.560,0.467
42,"(54, 100]","(65, 70]",Male,39,26,1,2,1.500,0.500,3.000,3.755
43,"(54, 100]","(70, 75]",Female,9,4,14,11,2.250,1.273,1.768,1.282
44,"(54, 100]","(75, 80]",Female,9,6,13,4,1.500,3.250,0.462,0.360
45,"(54, 100]","(75, 80]",Male,24,33,4,3,0.727,1.333,0.545,0.442
46,"(54, 100]","(80, 85]",Female,10,9,13,5,1.111,2.600,0.427,0.299
47,"(54, 100]","(80, 85]",Male,19,12,1,2,1.583,0.500,3.167,4.053
48,"(54, 100]","(85, 90]",Male,7,4,4,1,1.750,4.000,0.438,0.561
