,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,74,91,57,72,0.813,0.792,1.027,0.248
1,"(15, 24]","(0, 5]",Male,53,42,46,54,1.262,0.852,1.481,0.433
2,"(15, 24]","(5, 10]",Female,31,30,32,27,1.033,1.185,0.872,0.322
3,"(15, 24]","(5, 10]",Male,26,25,28,29,1.040,0.966,1.077,0.419
4,"(15, 24]","(10, 15]",Female,111,146,72,107,0.760,0.673,1.130,0.230
5,"(15, 24]","(10, 15]",Male,249,325,340,504,0.766,0.675,1.136,0.137
6,"(15, 24]","(15, 20]",Female,264,362,177,315,0.729,0.562,1.298,0.174
7,"(15, 24]","(15, 20]",Male,554,660,1800,2602,0.839,0.692,1.213,0.100
8,"(15, 24]","(20, 25]",Female,61,86,92,179,0.709,0.514,1.380,0.299
9,"(15, 24]","(20, 25]",Male,149,175,679,1000,0.851,0.679,1.254,0.165
10,"(15, 24]","(25, 30]",Female,32,29,26,30,1.103,0.867,1.273,0.476
11,"(15, 24]","(25, 30]",Male,48,33,172,202,1.455,0.851,1.708,0.434
12,"(15, 24]","(30, 35]",Female,9,7,12,14,1.286,0.857,1.500,0.962
13,"(15, 24]","(30, 35]",Male,14,19,61,71,0.737,0.859,0.858,0.340
14,"(15, 24]","(35, 40]",Female,7,7,12,9,1.000,1.333,0.750,0.521
15,"(15, 24]","(35, 40]",Male,22,11,36,34,2.000,1.059,1.889,0.836
16,"(15, 24]","(40, 45]",Female,14,11,9,3,1.273,3.000,0.424,0.331
17,"(15, 24]","(40, 45]",Male,21,16,31,18,1.312,1.722,0.762,0.341
18,"(15, 24]","(45, 50]",Female,5,9,3,6,0.556,0.500,1.111,1.002
19,"(15, 24]","(45, 50]",Male,22,16,18,13,1.375,1.385,0.993,0.489
20,"(15, 24]","(50, 55]",Female,9,4,3,2,2.250,1.500,1.500,1.641
21,"(15, 24]","(50, 55]",Male,16,9,15,7,1.778,2.143,0.830,0.515
22,"(15, 24]","(55, 60]",Female,6,5,3,3,1.200,1.000,1.200,1.221
23,"(15, 24]","(55, 60]",Male,12,4,10,6,3.000,1.667,1.800,1.397
24,"(15, 24]","(60, 65]",Female,8,4,3,3,2.000,1.000,2.000,2.044
25,"(15, 24]","(60, 65]",Male,12,3,10,3,4.000,3.333,1.200,1.108
26,"(15, 24]","(65, 70]",Female,8,4,4,3,2.000,1.333,1.500,1.470
27,"(15, 24]","(65, 70]",Male,5,1,9,2,5.000,4.500,1.111,1.496
28,"(15, 24]","(75, 80]",Male,6,1,1,1,6.000,1.000,6.000,10.681
29,"(15, 24]","(80, 85]",Male,4,1,2,1,4.000,2.000,2.000,3.318
30,"(24, 34]","(0, 5]",Female,99,113,88,120,0.876,0.733,1.195,0.242
31,"(24, 34]","(0, 5]",Male,81,113,89,116,0.717,0.767,0.934,0.195
32,"(24, 34]","(5, 10]",Female,98,145,79,146,0.676,0.541,1.249,0.247
33,"(24, 34]","(5, 10]",Male,62,92,64,97,0.674,0.660,1.021,0.240
34,"(24, 34]","(10, 15]",Female,52,89,39,67,0.584,0.582,1.004,0.272
35,"(24, 34]","(10, 15]",Male,28,51,55,71,0.549,0.775,0.709,0.213
36,"(24, 34]","(15, 20]",Female,18,50,15,48,0.360,0.312,1.152,0.469
37,"(24, 34]","(15, 20]",Male,69,108,151,299,0.639,0.505,1.265,0.241
38,"(24, 34]","(20, 25]",Female,29,49,22,38,0.592,0.579,1.022,0.367
39,"(24, 34]","(20, 25]",Male,102,116,263,445,0.879,0.591,1.488,0.244
40,"(24, 34]","(25, 30]",Female,25,38,24,42,0.658,0.571,1.151,0.422
41,"(24, 34]","(25, 30]",Male,76,85,193,299,0.894,0.645,1.385,0.263
42,"(24, 34]","(30, 35]",Female,17,22,24,28,0.773,0.857,0.902,0.387
43,"(24, 34]","(30, 35]",Male,41,46,98,134,0.891,0.731,1.219,0.314
44,"(24, 34]","(35, 40]",Female,10,9,6,17,1.111,0.353,3.148,2.086
45,"(24, 34]","(35, 40]",Male,29,29,43,58,1.000,0.741,1.349,0.451
46,"(24, 34]","(40, 45]",Female,12,16,9,12,0.750,0.750,1.000,0.585
47,"(24, 34]","(40, 45]",Male,10,5,35,36,2.000,0.972,2.057,1.232
48,"(24, 34]","(45, 50]",Female,10,6,6,10,1.667,0.600,2.778,2.033
49,"(24, 34]","(45, 50]",Male,25,17,19,20,1.471,0.950,1.548,0.699
50,"(24, 34]","(50, 55]",Female,5,9,7,4,0.556,1.750,0.317,0.267
51,"(24, 34]","(50, 55]",Male,27,11,26,14,2.455,1.857,1.322,0.648
52,"(24, 34]","(55, 60]",Male,22,14,15,14,1.571,1.071,1.467,0.744
53,"(24, 34]","(60, 65]",Male,12,6,12,3,2.000,4.000,0.500,0.409
54,"(24, 34]","(65, 70]",Female,14,5,5,5,2.800,1.000,2.800,2.299
55,"(24, 34]","(65, 70]",Male,10,4,9,3,2.500,3.000,0.833,0.744
56,"(24, 34]","(70, 75]",Female,4,3,3,1,1.333,3.000,0.444,0.616
57,"(24, 34]","(70, 75]",Male,9,3,8,3,3.000,2.667,1.125,1.070
58,"(34, 54]","(0, 5]",Female,32,46,25,44,0.696,0.568,1.224,0.421
59,"(34, 54]","(0, 5]",Male,23,49,28,57,0.469,0.491,0.956,0.331
60,"(34, 54]","(5, 10]",Female,43,88,28,80,0.489,0.350,1.396,0.408
61,"(34, 54]","(5, 10]",Male,50,110,55,109,0.455,0.505,0.901,0.219
62,"(34, 54]","(10, 15]",Female,53,148,34,115,0.358,0.296,1.211,0.312
63,"(34, 54]","(10, 15]",Male,58,171,58,163,0.339,0.356,0.953,0.211
64,"(34, 54]","(15, 20]",Female,27,79,22,59,0.342,0.373,0.917,0.310
65,"(34, 54]","(15, 20]",Male,43,120,51,137,0.358,0.372,0.963,0.238
66,"(34, 54]","(20, 25]",Female,12,26,3,34,0.462,0.088,5.231,3.650
67,"(34, 54]","(20, 25]",Male,23,64,38,110,0.359,0.345,1.040,0.324
