,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.199,0.143,19.000
1,"(22, 27]",1.185,0.199,25.000
2,"(27, 32]",1.095,0.198,30.000
3,"(32, 37]",1.164,0.191,35.000
4,"(37, 42]",1.238,0.207,40.000
5,"(42, 47]",1.075,0.165,45.000
6,"(47, 52]",1.035,0.177,50.000
7,"(52, 57]",0.858,0.138,55.000
8,"(57, 62]",0.828,0.148,60.000
9,"(62, 67]",0.812,0.153,65.000
10,"(67, 72]",1.019,0.235,70.000
11,"(72, 77]",0.419,0.112,75.000
12,"(77, 82]",0.824,0.258,80.000
13,"(82, 87]",0.926,0.399,85.000
14,"(87, 92]",0.950,0.845,90.000
