,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,4,7,10,12,0.571,0.833,0.686,0.522
1,"(15, 24]","(0, 5]",Male,4,3,9,11,1.333,0.818,1.630,1.446
2,"(15, 24]","(5, 10]",Male,4,3,3,5,1.333,0.600,2.222,2.351
3,"(15, 24]","(10, 15]",Female,19,21,10,15,0.905,0.667,1.357,0.704
4,"(15, 24]","(10, 15]",Male,36,47,36,56,0.766,0.643,1.191,0.371
5,"(15, 24]","(15, 20]",Female,32,70,43,65,0.457,0.662,0.691,0.203
6,"(15, 24]","(15, 20]",Male,93,103,270,372,0.903,0.726,1.244,0.213
7,"(15, 24]","(20, 25]",Female,16,12,22,26,1.333,0.846,1.576,0.759
8,"(15, 24]","(20, 25]",Male,28,30,120,141,0.933,0.851,1.097,0.323
9,"(15, 24]","(25, 30]",Female,3,2,7,8,1.500,0.875,1.714,1.801
10,"(15, 24]","(25, 30]",Male,14,11,44,36,1.273,1.222,1.041,0.483
11,"(15, 24]","(30, 35]",Female,3,2,3,6,1.500,0.500,3.000,3.467
12,"(15, 24]","(30, 35]",Male,5,2,14,12,2.500,1.167,2.143,1.984
13,"(15, 24]","(35, 40]",Male,4,2,9,8,2.000,1.125,1.778,1.768
14,"(15, 24]","(40, 45]",Female,1,3,2,1,0.333,2.000,0.167,0.281
15,"(15, 24]","(40, 45]",Male,3,1,5,5,3.000,1.000,3.000,3.953
16,"(15, 24]","(45, 50]",Male,4,1,5,1,4.000,5.000,0.800,1.253
17,"(24, 34]","(0, 5]",Female,6,9,12,12,0.667,1.000,0.667,0.446
18,"(24, 34]","(0, 5]",Male,7,7,8,6,1.000,1.333,0.750,0.571
19,"(24, 34]","(5, 10]",Female,13,18,11,14,0.722,0.786,0.919,0.501
20,"(24, 34]","(5, 10]",Male,4,6,5,5,0.667,1.000,0.667,0.603
21,"(24, 34]","(10, 15]",Female,4,11,2,8,0.364,0.250,1.455,1.431
22,"(24, 34]","(10, 15]",Male,6,13,5,10,0.462,0.500,0.923,0.682
23,"(24, 34]","(15, 20]",Female,5,6,1,10,0.833,0.100,8.333,10.101
24,"(24, 34]","(15, 20]",Male,9,16,26,35,0.562,0.743,0.757,0.373
25,"(24, 34]","(20, 25]",Female,5,7,5,9,0.714,0.556,1.286,1.042
26,"(24, 34]","(20, 25]",Male,11,21,46,64,0.524,0.719,0.729,0.308
27,"(24, 34]","(25, 30]",Female,6,7,6,7,0.857,0.857,1.000,0.788
28,"(24, 34]","(25, 30]",Male,10,12,39,41,0.833,0.951,0.876,0.425
