,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,13,7,8,10,1.857,0.800,2.321,1.553
1,"(15, 24]","(0, 5]",Male,4,4,1,6,1.000,0.167,6.000,7.752
2,"(15, 24]","(5, 10]",Female,2,6,2,4,0.333,0.500,0.667,0.794
3,"(15, 24]","(5, 10]",Male,2,7,6,1,0.286,6.000,0.048,0.064
4,"(15, 24]","(10, 15]",Female,14,20,7,12,0.700,0.583,1.200,0.710
5,"(15, 24]","(10, 15]",Male,38,45,52,60,0.844,0.867,0.974,0.287
6,"(15, 24]","(15, 20]",Female,32,46,13,46,0.696,0.283,2.462,0.966
7,"(15, 24]","(15, 20]",Male,82,127,230,342,0.646,0.673,0.960,0.166
8,"(15, 24]","(20, 25]",Female,7,16,18,15,0.438,1.200,0.365,0.209
9,"(15, 24]","(20, 25]",Male,19,31,98,161,0.613,0.609,1.007,0.324
10,"(15, 24]","(25, 30]",Female,2,5,5,9,0.400,0.556,0.720,0.725
11,"(15, 24]","(25, 30]",Male,9,9,26,37,1.000,0.703,1.423,0.767
12,"(15, 24]","(30, 35]",Female,2,2,3,3,1.000,1.000,1.000,1.292
13,"(15, 24]","(30, 35]",Male,5,2,12,13,2.500,0.923,2.708,2.516
14,"(15, 24]","(35, 40]",Female,2,2,1,2,1.000,0.500,2.000,3.164
15,"(15, 24]","(35, 40]",Male,5,4,5,7,1.250,0.714,1.750,1.561
16,"(15, 24]","(40, 45]",Male,3,4,6,5,0.750,1.200,0.625,0.610
17,"(15, 24]","(45, 50]",Male,6,3,4,5,2.000,0.800,2.500,2.440
18,"(24, 34]","(0, 5]",Female,17,23,22,29,0.739,0.759,0.974,0.419
19,"(24, 34]","(0, 5]",Male,7,13,11,15,0.538,0.733,0.734,0.453
20,"(24, 34]","(5, 10]",Female,22,35,15,36,0.629,0.417,1.509,0.624
21,"(24, 34]","(5, 10]",Male,15,22,27,29,0.682,0.931,0.732,0.316
22,"(24, 34]","(10, 15]",Female,9,18,6,15,0.500,0.400,1.250,0.793
23,"(24, 34]","(10, 15]",Male,9,16,16,27,0.562,0.593,0.949,0.498
24,"(24, 34]","(15, 20]",Female,4,9,1,8,0.444,0.125,3.556,4.338
25,"(24, 34]","(15, 20]",Male,17,25,37,63,0.680,0.587,1.158,0.440
26,"(24, 34]","(20, 25]",Female,6,10,6,8,0.600,0.750,0.800,0.599
27,"(24, 34]","(20, 25]",Male,24,24,48,108,1.000,0.444,2.250,0.766
28,"(24, 34]","(25, 30]",Female,3,5,10,12,0.600,0.833,0.720,0.611
29,"(24, 34]","(25, 30]",Male,20,30,50,86,0.667,0.581,1.147,0.393
30,"(24, 34]","(30, 35]",Female,3,5,8,10,0.600,0.800,0.750,0.654
31,"(24, 34]","(30, 35]",Male,11,9,32,31,1.222,1.032,1.184,0.613
32,"(24, 34]","(35, 40]",Male,5,4,8,18,1.250,0.444,2.812,2.238
33,"(24, 34]","(40, 45]",Female,2,2,1,3,1.000,0.333,3.000,4.585
34,"(24, 34]","(40, 45]",Male,4,4,10,9,1.000,1.111,0.900,0.760
35,"(24, 34]","(45, 50]",Female,1,1,1,5,1.000,0.200,5.000,8.948
36,"(24, 34]","(45, 50]",Male,1,2,6,2,0.500,3.000,0.167,0.245
37,"(24, 34]","(50, 55]",Female,1,1,2,2,1.000,1.000,1.000,1.733
38,"(24, 34]","(50, 55]",Male,2,4,1,2,0.500,0.500,1.000,1.501
39,"(24, 34]","(55, 60]",Male,3,1,6,2,3.000,3.000,1.000,1.415
40,"(24, 34]","(60, 65]",Male,2,1,2,2,2.000,1.000,2.000,3.164
41,"(34, 54]","(0, 5]",Female,2,8,5,8,0.250,0.625,0.400,0.390
42,"(34, 54]","(0, 5]",Male,13,14,7,15,0.929,0.467,1.990,1.194
43,"(34, 54]","(5, 10]",Female,13,28,14,27,0.464,0.519,0.895,0.423
44,"(34, 54]","(5, 10]",Male,19,27,15,29,0.704,0.517,1.360,0.598
45,"(34, 54]","(10, 15]",Female,12,42,10,28,0.286,0.357,0.800,0.396
46,"(34, 54]","(10, 15]",Male,20,33,27,75,0.606,0.360,1.684,0.614
47,"(34, 54]","(15, 20]",Female,6,22,6,14,0.273,0.429,0.636,0.428
48,"(34, 54]","(15, 20]",Male,17,30,16,62,0.567,0.258,2.196,0.914
49,"(34, 54]","(20, 25]",Female,6,9,1,10,0.667,0.100,6.667,7.832
50,"(34, 54]","(20, 25]",Male,7,14,11,39,0.500,0.282,1.773,1.023
51,"(34, 54]","(25, 30]",Male,6,10,12,34,0.600,0.353,1.700,1.051
52,"(34, 54]","(30, 35]",Female,5,6,2,3,0.833,0.667,1.250,1.371
53,"(34, 54]","(30, 35]",Male,22,26,14,28,0.846,0.500,1.692,0.745
54,"(34, 54]","(35, 40]",Female,2,3,6,8,0.667,0.750,0.889,0.944
55,"(34, 54]","(35, 40]",Male,7,19,13,23,0.368,0.565,0.652,0.368
56,"(34, 54]","(40, 45]",Female,3,5,4,4,0.600,1.000,0.600,0.611
57,"(34, 54]","(40, 45]",Male,9,14,22,18,0.643,1.222,0.526,0.281
58,"(34, 54]","(45, 50]",Female,6,5,5,4,1.200,1.250,0.960,0.869
59,"(34, 54]","(45, 50]",Male,11,10,10,16,1.100,0.625,1.760,1.050
60,"(34, 54]","(50, 55]",Female,2,2,3,4,1.000,0.750,1.333,1.679
61,"(34, 54]","(50, 55]",Male,6,7,10,12,0.857,0.833,1.029,0.724
62,"(34, 54]","(55, 60]",Male,3,3,8,11,1.000,0.727,1.375,1.294
63,"(34, 54]","(60, 65]",Female,7,2,2,2,3.500,1.000,3.500,4.490
64,"(34, 54]","(60, 65]",Male,4,1,3,1,4.000,3.000,1.333,2.144
65,"(34, 54]","(65, 70]",Female,4,2,1,1,2.000,1.000,2.000,3.318
66,"(34, 54]","(65, 70]",Male,3,2,3,1,1.500,3.000,0.500,0.736
67,"(34, 54]","(70, 75]",Male,2,3,2,2,0.667,1.000,0.667,0.903
68,"(34, 54]","(75, 80]",Male,4,4,2,1,1.000,2.000,0.500,0.708
69,"(54, 100]","(5, 10]",Male,4,11,3,7,0.364,0.429,0.848,0.768
70,"(54, 100]","(10, 15]",Male,3,11,5,13,0.273,0.385,0.709,0.595
71,"(54, 100]","(15, 20]",Male,1,4,2,7,0.250,0.286,0.875,1.205
72,"(54, 100]","(20, 25]",Male,2,7,2,4,0.286,0.500,0.571,0.675
73,"(54, 100]","(25, 30]",Male,1,3,3,6,0.333,0.500,0.667,0.903
74,"(54, 100]","(35, 40]",Male,2,6,4,3,0.333,1.333,0.250,0.280
75,"(54, 100]","(40, 45]",Male,1,8,1,8,0.125,0.125,1.000,1.501
76,"(54, 100]","(45, 50]",Male,2,3,1,5,0.667,0.200,3.333,4.756
77,"(54, 100]","(50, 55]",Male,3,5,4,5,0.600,0.800,0.750,0.745
78,"(54, 100]","(55, 60]",Male,5,9,1,3,0.556,0.333,1.667,2.139
79,"(54, 100]","(60, 65]",Male,8,8,2,2,1.000,1.000,1.000,1.119
80,"(54, 100]","(70, 75]",Male,2,3,4,2,0.667,2.000,0.333,0.420
81,"(54, 100]","(75, 80]",Male,3,6,2,1,0.500,2.000,0.250,0.354
82,"(54, 100]","(80, 85]",Male,3,1,1,1,3.000,1.000,3.000,5.479
