,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,6,10,6,6,0.600,1.000,0.600,0.466
1,"(15, 24]","(0, 5]",Male,5,4,11,11,1.250,1.000,1.250,0.996
2,"(15, 24]","(5, 10]",Female,7,4,4,8,1.750,0.500,3.500,3.072
3,"(15, 24]","(5, 10]",Male,3,3,7,7,1.000,1.000,1.000,0.977
4,"(15, 24]","(10, 15]",Female,21,29,5,8,0.724,0.625,1.159,0.742
5,"(15, 24]","(10, 15]",Male,41,37,47,52,1.108,0.904,1.226,0.377
6,"(15, 24]","(15, 20]",Female,28,53,21,57,0.528,0.368,1.434,0.501
7,"(15, 24]","(15, 20]",Male,119,126,272,398,0.944,0.683,1.382,0.219
8,"(15, 24]","(20, 25]",Female,13,16,19,31,0.812,0.613,1.326,0.631
9,"(15, 24]","(20, 25]",Male,34,35,114,186,0.971,0.613,1.585,0.433
10,"(15, 24]","(25, 30]",Female,2,5,8,9,0.400,0.889,0.450,0.436
11,"(15, 24]","(25, 30]",Male,9,8,37,36,1.125,1.028,1.095,0.593
12,"(15, 24]","(30, 35]",Female,3,2,4,4,1.500,1.000,1.500,1.734
13,"(15, 24]","(30, 35]",Male,8,3,13,11,2.667,1.182,2.256,1.789
14,"(15, 24]","(35, 40]",Female,2,1,3,1,2.000,3.000,0.667,1.123
15,"(15, 24]","(35, 40]",Male,5,8,8,16,0.625,0.500,1.250,0.897
16,"(15, 24]","(40, 45]",Male,3,3,8,6,1.000,1.333,0.750,0.735
17,"(15, 24]","(45, 50]",Female,3,2,1,1,1.500,1.000,1.500,2.526
18,"(15, 24]","(45, 50]",Male,12,4,8,5,3.000,1.600,1.875,1.524
19,"(15, 24]","(50, 55]",Male,2,3,2,1,0.667,2.000,0.333,0.509
20,"(24, 34]","(0, 5]",Female,11,32,11,30,0.344,0.367,0.938,0.468
21,"(24, 34]","(0, 5]",Male,24,15,17,24,1.600,0.708,2.259,1.038
22,"(24, 34]","(5, 10]",Female,17,32,19,33,0.531,0.576,0.923,0.387
23,"(24, 34]","(5, 10]",Male,11,19,14,26,0.579,0.538,1.075,0.544
24,"(24, 34]","(10, 15]",Female,4,18,5,22,0.222,0.227,0.978,0.727
25,"(24, 34]","(10, 15]",Male,7,20,7,22,0.350,0.318,1.100,0.681
26,"(24, 34]","(15, 20]",Female,5,9,2,7,0.556,0.286,1.944,1.902
27,"(24, 34]","(15, 20]",Male,14,31,30,63,0.452,0.476,0.948,0.374
28,"(24, 34]","(20, 25]",Female,7,12,9,11,0.583,0.818,0.713,0.468
29,"(24, 34]","(20, 25]",Male,22,30,56,102,0.733,0.549,1.336,0.441
30,"(24, 34]","(25, 30]",Female,10,13,4,4,0.769,1.000,0.769,0.634
31,"(24, 34]","(25, 30]",Male,19,18,53,89,1.056,0.596,1.773,0.665
32,"(24, 34]","(30, 35]",Female,9,6,3,5,1.500,0.600,2.500,2.255
33,"(24, 34]","(30, 35]",Male,11,10,36,38,1.100,0.947,1.161,0.578
34,"(24, 34]","(35, 40]",Male,5,4,16,21,1.250,0.762,1.641,1.231
35,"(24, 34]","(40, 45]",Female,1,3,1,2,0.333,0.500,0.667,1.123
36,"(24, 34]","(40, 45]",Male,4,6,15,10,0.667,1.500,0.444,0.340
37,"(24, 34]","(45, 50]",Female,4,4,3,4,1.000,0.750,1.333,1.389
38,"(24, 34]","(45, 50]",Male,8,2,8,5,4.000,1.600,2.500,2.440
39,"(24, 34]","(50, 55]",Male,4,2,8,7,2.000,1.143,1.750,1.768
40,"(24, 34]","(60, 65]",Male,1,1,5,2,1.000,2.500,0.400,0.658
41,"(24, 34]","(65, 70]",Male,3,1,4,1,3.000,4.000,0.750,1.206
42,"(34, 54]","(0, 5]",Female,2,9,5,18,0.222,0.278,0.800,0.746
43,"(34, 54]","(0, 5]",Male,9,15,12,12,0.600,1.000,0.600,0.353
44,"(34, 54]","(5, 10]",Female,16,27,7,16,0.593,0.438,1.354,0.751
45,"(34, 54]","(5, 10]",Male,14,27,14,37,0.519,0.378,1.370,0.627
46,"(34, 54]","(10, 15]",Female,14,41,10,30,0.341,0.333,1.024,0.493
47,"(34, 54]","(10, 15]",Male,12,33,16,54,0.364,0.296,1.227,0.545
48,"(34, 54]","(15, 20]",Female,8,21,8,16,0.381,0.500,0.762,0.459
49,"(34, 54]","(15, 20]",Male,10,29,9,61,0.345,0.148,2.337,1.202
50,"(34, 54]","(20, 25]",Female,4,10,2,9,0.400,0.222,1.800,1.767
51,"(34, 54]","(20, 25]",Male,14,21,10,40,0.667,0.250,2.667,1.324
52,"(34, 54]","(25, 30]",Female,2,5,2,9,0.400,0.222,1.800,2.063
53,"(34, 54]","(25, 30]",Male,13,20,11,47,0.650,0.234,2.777,1.365
54,"(34, 54]","(30, 35]",Female,2,2,3,4,1.000,0.750,1.333,1.679
55,"(34, 54]","(30, 35]",Male,10,21,11,26,0.476,0.423,1.126,0.595
56,"(34, 54]","(35, 40]",Female,3,5,3,7,0.600,0.429,1.400,1.408
57,"(34, 54]","(35, 40]",Male,10,21,15,40,0.476,0.375,1.270,0.624
58,"(34, 54]","(40, 45]",Male,13,10,16,21,1.300,0.762,1.706,0.918
59,"(34, 54]","(45, 50]",Female,1,2,3,1,0.500,3.000,0.167,0.281
60,"(34, 54]","(45, 50]",Male,13,17,14,16,0.765,0.875,0.874,0.456
61,"(34, 54]","(50, 55]",Female,6,3,4,3,2.000,1.333,1.500,1.563
62,"(34, 54]","(50, 55]",Male,3,6,8,13,0.500,0.615,0.812,0.682
63,"(34, 54]","(55, 60]",Female,3,4,2,3,0.750,0.667,1.125,1.340
64,"(34, 54]","(55, 60]",Male,10,4,1,6,2.500,0.167,15.000,18.488
65,"(34, 54]","(60, 65]",Male,5,2,4,4,2.500,1.000,2.500,2.741
66,"(34, 54]","(65, 70]",Male,13,3,3,5,4.333,0.600,7.222,7.025
67,"(34, 54]","(80, 85]",Male,2,2,3,2,1.000,1.500,0.667,0.903
68,"(54, 100]","(10, 15]",Male,1,8,5,12,0.125,0.417,0.300,0.356
69,"(54, 100]","(15, 20]",Female,1,2,1,3,0.500,0.333,1.500,2.526
70,"(54, 100]","(20, 25]",Male,1,2,1,6,0.500,0.167,3.000,4.901
71,"(54, 100]","(25, 30]",Female,1,1,1,2,1.000,0.500,2.000,3.743
72,"(54, 100]","(25, 30]",Male,1,2,1,9,0.500,0.111,4.500,7.275
73,"(54, 100]","(35, 40]",Female,1,1,1,1,1.000,1.000,1.000,2.001
74,"(54, 100]","(35, 40]",Male,2,7,1,5,0.286,0.200,1.429,1.941
75,"(54, 100]","(40, 45]",Female,1,2,1,2,0.500,0.500,1.000,1.733
76,"(54, 100]","(45, 50]",Male,6,5,2,6,1.200,0.333,3.600,3.664
77,"(54, 100]","(50, 55]",Male,4,5,3,5,0.800,0.600,1.333,1.324
78,"(54, 100]","(55, 60]",Male,4,11,3,5,0.364,0.600,0.606,0.567
79,"(54, 100]","(60, 65]",Male,8,8,5,5,1.000,1.000,1.000,0.808
80,"(54, 100]","(65, 70]",Male,8,3,4,4,2.667,1.000,2.667,2.614
