,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.275,0.065,19.000
1,"(22, 27]",1.224,0.087,25.000
2,"(27, 32]",1.371,0.117,30.000
3,"(32, 37]",1.356,0.126,35.000
4,"(37, 42]",1.061,0.097,40.000
5,"(42, 47]",1.289,0.127,45.000
6,"(47, 52]",1.123,0.113,50.000
7,"(52, 57]",0.971,0.097,55.000
8,"(57, 62]",0.795,0.077,60.000
9,"(62, 67]",0.773,0.073,65.000
10,"(67, 72]",0.767,0.068,70.000
11,"(72, 77]",0.803,0.067,75.000
12,"(77, 82]",0.785,0.071,80.000
13,"(82, 87]",0.892,0.107,85.000
14,"(87, 92]",0.761,0.163,90.000
15,"(92, 97]",1.830,1.324,95.000
