,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,168,158,243,238,1.063,1.021,1.041,0.158
1,"(15, 24]","(15, 22]",Male,131,92,388,455,1.424,0.853,1.670,0.268
2,"(15, 24]","(22, 27]",Female,30,24,110,111,1.250,0.991,1.261,0.390
3,"(15, 24]","(22, 27]",Male,24,26,132,118,0.923,1.119,0.825,0.259
4,"(15, 24]","(27, 32]",Female,2,3,30,34,0.667,0.882,0.756,0.716
5,"(15, 24]","(27, 32]",Male,9,7,21,21,1.286,1.000,1.286,0.762
6,"(15, 24]","(32, 37]",Female,9,6,10,13,1.500,0.769,1.950,1.319
7,"(15, 24]","(32, 37]",Male,7,5,12,9,1.400,1.333,1.050,0.771
8,"(15, 24]","(37, 42]",Female,18,11,5,4,1.636,1.250,1.309,1.013
9,"(15, 24]","(37, 42]",Male,15,5,10,8,3.000,1.250,2.400,1.687
10,"(15, 24]","(42, 47]",Female,24,6,5,7,4.000,0.714,5.600,4.167
11,"(15, 24]","(42, 47]",Male,17,5,10,6,3.400,1.667,2.040,1.482
12,"(15, 24]","(47, 52]",Female,16,10,7,6,1.600,1.167,1.371,0.945
13,"(15, 24]","(47, 52]",Male,5,5,14,7,1.000,2.000,0.500,0.393
14,"(15, 24]","(52, 57]",Female,17,7,10,4,2.429,2.500,0.971,0.723
15,"(15, 24]","(52, 57]",Male,8,3,3,3,2.667,1.000,2.667,2.832
16,"(15, 24]","(57, 62]",Female,9,4,3,2,2.250,1.500,1.500,1.641
17,"(15, 24]","(57, 62]",Male,5,1,7,1,5.000,7.000,0.714,1.094
18,"(15, 24]","(62, 67]",Female,4,1,2,1,4.000,2.000,2.000,3.318
19,"(24, 34]","(15, 22]",Female,15,11,23,14,1.364,1.643,0.830,0.435
20,"(24, 34]","(15, 22]",Male,24,26,32,41,0.923,0.780,1.183,0.440
21,"(24, 34]","(22, 27]",Female,24,28,59,77,0.857,0.766,1.119,0.371
22,"(24, 34]","(22, 27]",Male,54,48,83,87,1.125,0.954,1.179,0.302
23,"(24, 34]","(27, 32]",Female,26,28,81,89,0.929,0.910,1.020,0.323
24,"(24, 34]","(27, 32]",Male,41,27,64,58,1.519,1.103,1.376,0.428
25,"(24, 34]","(32, 37]",Female,10,5,68,46,2.000,1.478,1.353,0.788
26,"(24, 34]","(32, 37]",Male,17,9,28,21,1.889,1.333,1.417,0.716
27,"(24, 34]","(37, 42]",Female,4,5,22,22,0.800,1.000,0.800,0.590
28,"(24, 34]","(37, 42]",Male,8,8,15,17,1.000,0.882,1.133,0.697
29,"(24, 34]","(42, 47]",Female,3,2,16,12,1.500,1.333,1.125,1.115
30,"(24, 34]","(42, 47]",Male,7,3,10,6,2.333,1.667,1.400,1.209
31,"(24, 34]","(47, 52]",Female,8,8,7,5,1.000,1.400,0.714,0.551
32,"(24, 34]","(47, 52]",Male,8,4,16,7,2.000,2.286,0.875,0.668
33,"(24, 34]","(52, 57]",Female,11,3,8,5,3.667,1.600,2.292,1.987
34,"(24, 34]","(52, 57]",Male,3,3,2,1,1.000,2.000,0.500,0.736
35,"(24, 34]","(57, 62]",Female,5,3,9,1,1.667,9.000,0.185,0.238
36,"(34, 54]","(15, 22]",Female,13,21,13,30,0.619,0.433,1.429,0.696
37,"(34, 54]","(15, 22]",Male,6,8,21,28,0.750,0.750,1.000,0.614
38,"(34, 54]","(22, 27]",Female,12,25,12,20,0.480,0.600,0.800,0.407
39,"(34, 54]","(22, 27]",Male,12,11,21,27,1.091,0.778,1.403,0.717
40,"(34, 54]","(27, 32]",Female,14,16,10,18,0.875,0.556,1.575,0.851
41,"(34, 54]","(27, 32]",Male,25,18,27,37,1.389,0.730,1.903,0.766
42,"(34, 54]","(32, 37]",Female,11,16,26,36,0.688,0.722,0.952,0.449
43,"(34, 54]","(32, 37]",Male,21,15,23,24,1.400,0.958,1.461,0.656
44,"(34, 54]","(37, 42]",Female,14,9,55,52,1.556,1.058,1.471,0.694
45,"(34, 54]","(37, 42]",Male,30,25,24,26,1.200,0.923,1.300,0.513
46,"(34, 54]","(42, 47]",Female,15,14,49,54,1.071,0.907,1.181,0.500
47,"(34, 54]","(42, 47]",Male,28,29,22,21,0.966,1.048,0.922,0.375
48,"(34, 54]","(47, 52]",Female,8,12,80,73,0.667,1.096,0.608,0.296
49,"(34, 54]","(47, 52]",Male,26,20,16,20,1.300,0.800,1.625,0.733
50,"(34, 54]","(52, 57]",Female,19,12,61,50,1.583,1.220,1.298,0.543
51,"(34, 54]","(52, 57]",Male,24,15,16,18,1.600,0.889,1.800,0.861
52,"(34, 54]","(57, 62]",Female,11,4,32,30,2.750,1.067,2.578,1.647
53,"(34, 54]","(57, 62]",Male,8,2,12,10,4.000,1.200,3.333,3.002
54,"(34, 54]","(62, 67]",Female,11,8,18,13,1.375,1.385,0.993,0.588
55,"(34, 54]","(62, 67]",Male,10,3,10,6,3.333,1.667,2.000,1.676
56,"(34, 54]","(67, 72]",Female,7,3,8,8,2.333,1.000,2.333,1.992
57,"(34, 54]","(67, 72]",Male,8,5,9,2,1.600,4.500,0.356,0.344
58,"(34, 54]","(72, 77]",Male,6,2,13,1,3.000,13.000,0.231,0.305
59,"(34, 54]","(82, 87]",Female,1,1,7,3,1.000,2.333,0.429,0.675
60,"(54, 100]","(15, 22]",Female,8,29,1,19,0.276,0.053,5.241,5.777
61,"(54, 100]","(15, 22]",Male,3,8,4,21,0.375,0.190,1.969,1.715
62,"(54, 100]","(22, 27]",Male,1,6,2,4,0.167,0.500,0.333,0.462
63,"(54, 100]","(27, 32]",Female,9,25,4,11,0.360,0.364,0.990,0.696
64,"(54, 100]","(27, 32]",Male,3,11,6,8,0.273,0.750,0.364,0.308
65,"(54, 100]","(32, 37]",Female,8,27,5,18,0.296,0.278,1.067,0.691
66,"(54, 100]","(32, 37]",Male,4,11,5,6,0.364,0.833,0.436,0.368
67,"(54, 100]","(37, 42]",Female,12,29,2,19,0.414,0.105,3.931,3.225
68,"(54, 100]","(37, 42]",Male,4,13,4,7,0.308,0.571,0.538,0.458
69,"(54, 100]","(42, 47]",Female,6,29,9,19,0.207,0.474,0.437,0.265
70,"(54, 100]","(42, 47]",Male,5,10,6,13,0.500,0.462,1.083,0.801
71,"(54, 100]","(47, 52]",Female,9,40,15,44,0.225,0.341,0.660,0.315
72,"(54, 100]","(47, 52]",Male,14,20,9,22,0.700,0.409,1.711,0.906
73,"(54, 100]","(52, 57]",Female,18,64,36,70,0.281,0.514,0.547,0.186
74,"(54, 100]","(52, 57]",Male,33,44,11,26,0.750,0.423,1.773,0.762
75,"(54, 100]","(57, 62]",Female,27,82,76,139,0.329,0.547,0.602,0.162
76,"(54, 100]","(57, 62]",Male,36,45,17,28,0.800,0.607,1.318,0.505
77,"(54, 100]","(62, 67]",Female,44,95,129,163,0.463,0.791,0.585,0.130
78,"(54, 100]","(62, 67]",Male,38,65,14,14,0.585,1.000,0.585,0.253
79,"(54, 100]","(67, 72]",Female,38,80,134,183,0.475,0.732,0.649,0.151
80,"(54, 100]","(67, 72]",Male,43,70,10,34,0.614,0.294,2.089,0.860
81,"(54, 100]","(72, 77]",Female,37,58,154,214,0.638,0.720,0.886,0.213
82,"(54, 100]","(72, 77]",Male,45,87,15,14,0.517,1.071,0.483,0.202
83,"(54, 100]","(77, 82]",Female,35,38,197,272,0.921,0.724,1.272,0.327
84,"(54, 100]","(77, 82]",Male,54,94,20,10,0.574,2.000,0.287,0.122
85,"(54, 100]","(82, 87]",Female,30,37,168,218,0.811,0.771,1.052,0.285
86,"(54, 100]","(82, 87]",Male,25,49,10,12,0.510,0.833,0.612,0.304
87,"(54, 100]","(87, 92]",Female,17,21,96,122,0.810,0.787,1.029,0.367
88,"(54, 100]","(87, 92]",Male,11,14,4,3,0.786,1.333,0.589,0.510
89,"(54, 100]","(92, 97]",Female,4,5,17,22,0.800,0.773,1.035,0.773
