,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,46,37,79,71,1.243,1.113,1.117,0.312
1,"(15, 24]","(15, 22]",Male,50,38,187,180,1.316,1.039,1.267,0.310
2,"(15, 24]","(22, 27]",Female,14,12,39,40,1.167,0.975,1.197,0.546
3,"(15, 24]","(22, 27]",Male,19,12,74,57,1.583,1.298,1.220,0.502
4,"(15, 24]","(27, 32]",Female,4,1,16,14,4.000,1.143,3.500,4.121
5,"(15, 24]","(27, 32]",Male,1,1,20,14,1.000,1.429,0.700,1.020
6,"(15, 24]","(37, 42]",Female,2,2,2,1,1.000,2.000,0.500,0.791
7,"(15, 24]","(37, 42]",Male,4,2,10,3,2.000,3.333,0.600,0.653
8,"(15, 24]","(42, 47]",Female,2,1,6,3,2.000,2.000,1.000,1.415
9,"(24, 34]","(15, 22]",Female,3,1,7,10,3.000,0.700,4.286,5.385
10,"(24, 34]","(15, 22]",Male,9,4,19,23,2.250,0.826,2.724,1.847
11,"(24, 34]","(22, 27]",Female,15,9,25,27,1.667,0.926,1.800,0.913
12,"(24, 34]","(22, 27]",Male,13,17,51,49,0.765,1.041,0.735,0.310
13,"(24, 34]","(27, 32]",Female,6,3,27,30,2.000,0.900,2.222,1.682
14,"(24, 34]","(27, 32]",Male,11,9,38,32,1.222,1.188,1.029,0.527
15,"(24, 34]","(32, 37]",Female,5,4,16,22,1.250,0.727,1.719,1.287
16,"(24, 34]","(32, 37]",Male,4,2,19,15,2.000,1.267,1.579,1.474
17,"(24, 34]","(47, 52]",Female,1,1,1,1,1.000,1.000,1.000,2.001
18,"(24, 34]","(52, 57]",Female,3,2,2,1,1.500,2.000,0.750,1.146
19,"(34, 54]","(15, 22]",Male,2,2,6,6,1.000,1.000,1.000,1.156
20,"(34, 54]","(22, 27]",Female,4,2,3,9,2.000,0.333,6.000,6.564
21,"(34, 54]","(22, 27]",Male,3,5,11,18,0.600,0.611,0.982,0.811
22,"(34, 54]","(27, 32]",Male,7,8,17,17,0.875,1.000,0.875,0.545
23,"(34, 54]","(32, 37]",Female,3,2,5,12,1.500,0.417,3.600,3.808
24,"(34, 54]","(32, 37]",Male,7,10,8,12,0.700,0.667,1.050,0.707
25,"(34, 54]","(37, 42]",Female,5,3,10,11,1.667,0.909,1.833,1.563
26,"(34, 54]","(37, 42]",Male,11,10,14,18,1.100,0.778,1.414,0.801
27,"(34, 54]","(42, 47]",Female,3,3,11,9,1.000,1.222,0.818,0.764
28,"(34, 54]","(42, 47]",Male,3,7,24,20,0.429,1.200,0.357,0.270
29,"(34, 54]","(47, 52]",Male,5,5,17,9,1.000,1.889,0.529,0.401
30,"(34, 54]","(52, 57]",Female,3,3,15,6,1.000,2.500,0.400,0.380
31,"(34, 54]","(52, 57]",Male,4,2,2,5,2.000,0.400,5.000,6.026
32,"(34, 54]","(57, 62]",Male,2,2,7,4,1.000,1.750,0.571,0.675
33,"(34, 54]","(62, 67]",Male,1,1,5,4,1.000,1.250,0.800,1.253
34,"(54, 100]","(42, 47]",Male,2,3,2,3,0.667,0.667,1.000,1.292
35,"(54, 100]","(52, 57]",Female,3,3,3,2,1.000,1.500,0.667,0.817
36,"(54, 100]","(52, 57]",Male,2,1,9,11,2.000,0.818,2.444,3.191
37,"(54, 100]","(57, 62]",Female,1,7,4,3,0.143,1.333,0.107,0.141
38,"(54, 100]","(57, 62]",Male,3,3,2,5,1.000,0.400,2.500,2.925
39,"(54, 100]","(62, 67]",Female,2,2,7,10,1.000,0.700,1.429,1.594
40,"(54, 100]","(62, 67]",Male,3,3,3,5,1.000,0.600,1.667,1.828
41,"(54, 100]","(67, 72]",Female,1,2,7,10,0.500,0.700,0.714,0.944
42,"(54, 100]","(67, 72]",Male,1,1,2,2,1.000,1.000,1.000,1.733
43,"(54, 100]","(72, 77]",Male,2,2,2,2,1.000,1.000,1.000,1.415
44,"(54, 100]","(77, 82]",Female,2,1,7,9,2.000,0.778,2.571,3.408
45,"(54, 100]","(82, 87]",Female,1,3,7,13,0.333,0.538,0.619,0.772
46,"(54, 100]","(82, 87]",Male,2,2,4,1,1.000,4.000,0.250,0.375
