,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,11,9,17,26,1.222,0.654,1.869,1.027
1,"(15, 24]","(15, 22]",Male,14,3,37,41,4.667,0.902,5.171,3.502
2,"(15, 24]","(22, 27]",Female,3,1,8,11,3.000,0.727,4.125,5.138
3,"(15, 24]","(27, 32]",Female,3,2,2,2,1.500,1.000,1.500,2.032
4,"(15, 24]","(27, 32]",Male,1,1,2,1,1.000,2.000,0.500,0.936
5,"(15, 24]","(37, 42]",Male,3,1,3,2,3.000,1.500,2.000,2.946
6,"(15, 24]","(42, 47]",Female,2,2,5,2,1.000,2.500,0.400,0.522
7,"(15, 24]","(47, 52]",Male,6,2,4,2,3.000,2.000,1.500,1.787
8,"(24, 34]","(15, 22]",Male,1,2,6,6,0.500,1.000,0.500,0.677
9,"(24, 34]","(22, 27]",Female,1,1,9,7,1.000,1.286,0.778,1.168
10,"(24, 34]","(22, 27]",Male,4,2,12,8,2.000,1.500,1.333,1.307
11,"(24, 34]","(27, 32]",Male,6,3,6,6,2.000,1.000,2.000,1.828
12,"(24, 34]","(32, 37]",Female,4,1,12,10,4.000,1.200,3.333,3.994
13,"(24, 34]","(32, 37]",Male,3,1,10,5,3.000,2.000,1.500,1.918
14,"(34, 54]","(15, 22]",Female,1,4,2,2,0.250,1.000,0.250,0.375
15,"(34, 54]","(15, 22]",Male,1,5,3,4,0.200,0.750,0.267,0.356
16,"(34, 54]","(22, 27]",Female,4,3,2,4,1.333,0.500,2.667,3.082
17,"(34, 54]","(22, 27]",Male,1,1,5,5,1.000,1.000,1.000,1.550
18,"(34, 54]","(32, 37]",Female,1,3,7,11,0.333,0.636,0.524,0.656
19,"(34, 54]","(32, 37]",Male,1,2,8,7,0.500,1.143,0.438,0.582
20,"(34, 54]","(37, 42]",Female,2,2,11,16,1.000,0.688,1.455,1.564
21,"(34, 54]","(37, 42]",Male,8,3,6,11,2.667,0.545,4.889,4.144
22,"(34, 54]","(42, 47]",Female,5,1,10,10,5.000,1.000,5.000,5.921
23,"(34, 54]","(42, 47]",Male,2,3,7,8,0.667,0.875,0.762,0.800
24,"(34, 54]","(47, 52]",Female,3,3,22,12,1.000,1.833,0.545,0.487
25,"(34, 54]","(47, 52]",Male,5,3,11,9,1.667,1.222,1.364,1.171
26,"(34, 54]","(52, 57]",Male,4,2,7,6,2.000,1.167,1.714,1.767
27,"(34, 54]","(57, 62]",Female,4,1,8,6,4.000,1.333,3.000,3.728
28,"(34, 54]","(57, 62]",Male,3,2,8,9,1.500,0.889,1.688,1.747
29,"(34, 54]","(62, 67]",Female,1,2,3,1,0.500,3.000,0.167,0.281
30,"(34, 54]","(62, 67]",Male,4,2,5,1,2.000,5.000,0.400,0.559
31,"(34, 54]","(72, 77]",Male,4,1,1,1,4.000,1.000,4.000,7.214
32,"(54, 100]","(22, 27]",Female,1,2,1,1,0.500,1.000,0.500,0.936
33,"(54, 100]","(27, 32]",Female,1,1,1,2,1.000,0.500,2.000,3.743
34,"(54, 100]","(32, 37]",Male,1,2,1,8,0.500,0.125,4.000,6.484
35,"(54, 100]","(37, 42]",Female,4,8,2,3,0.500,0.667,0.750,0.825
36,"(54, 100]","(42, 47]",Female,3,7,2,4,0.429,0.500,0.857,0.950
37,"(54, 100]","(42, 47]",Male,1,3,6,7,0.333,0.857,0.389,0.499
38,"(54, 100]","(47, 52]",Female,1,5,3,1,0.200,3.000,0.067,0.106
39,"(54, 100]","(47, 52]",Male,1,5,4,8,0.200,0.500,0.400,0.502
40,"(54, 100]","(52, 57]",Female,4,7,12,13,0.571,0.923,0.619,0.461
41,"(54, 100]","(52, 57]",Male,5,9,7,13,0.556,0.538,1.032,0.754
42,"(54, 100]","(57, 62]",Female,3,6,19,23,0.500,0.826,0.605,0.468
43,"(54, 100]","(57, 62]",Male,2,8,8,15,0.250,0.533,0.469,0.424
44,"(54, 100]","(62, 67]",Female,1,7,23,19,0.143,1.211,0.118,0.131
45,"(54, 100]","(62, 67]",Male,9,11,9,10,0.818,0.900,0.909,0.586
46,"(54, 100]","(67, 72]",Male,13,10,6,5,1.300,1.200,1.083,0.801
47,"(54, 100]","(72, 77]",Female,2,2,23,20,1.000,1.150,0.870,0.910
48,"(54, 100]","(72, 77]",Male,6,10,7,1,0.600,7.000,0.086,0.102
49,"(54, 100]","(77, 82]",Male,4,6,7,3,0.667,2.333,0.286,0.270
50,"(54, 100]","(82, 87]",Female,3,3,14,9,1.000,1.556,0.643,0.593
51,"(54, 100]","(82, 87]",Male,4,4,3,3,1.000,1.000,1.000,1.081
52,"(54, 100]","(87, 92]",Female,1,2,7,6,0.500,1.167,0.429,0.577
