,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,2,2,1,2,1.000,0.500,2.000,3.164
1,"(15, 24]","(15, 20]",Female,12,13,3,6,0.923,0.500,1.846,1.503
2,"(15, 24]","(15, 20]",Male,19,23,31,27,0.826,1.148,0.719,0.295
3,"(15, 24]","(20, 25]",Female,9,11,6,7,0.818,0.857,0.955,0.684
4,"(15, 24]","(20, 25]",Male,11,14,21,19,0.786,1.105,0.711,0.366
5,"(15, 24]","(25, 30]",Male,1,1,5,8,1.000,0.625,1.600,2.441
6,"(15, 24]","(35, 40]",Female,2,2,3,2,1.000,1.500,0.667,0.903
7,"(15, 24]","(40, 45]",Male,3,1,4,3,3.000,1.333,2.250,3.117
8,"(24, 34]","(10, 15]",Female,1,3,1,1,0.333,1.000,0.333,0.609
9,"(24, 34]","(15, 20]",Female,3,1,1,2,3.000,0.500,6.000,10.104
10,"(24, 34]","(15, 20]",Male,2,3,2,5,0.667,0.400,1.667,2.065
11,"(24, 34]","(20, 25]",Female,2,3,4,4,0.667,1.000,0.667,0.771
12,"(24, 34]","(20, 25]",Male,12,10,10,10,1.200,1.000,1.200,0.745
13,"(24, 34]","(25, 30]",Female,4,2,7,13,2.000,0.538,3.714,3.662
14,"(24, 34]","(25, 30]",Male,33,23,13,18,1.435,0.722,1.987,0.908
15,"(24, 34]","(30, 35]",Female,3,3,6,10,1.000,0.600,1.667,1.612
16,"(24, 34]","(30, 35]",Male,8,21,9,8,0.381,1.125,0.339,0.217
17,"(24, 34]","(35, 40]",Female,1,1,4,2,1.000,2.000,0.500,0.830
18,"(24, 34]","(35, 40]",Male,4,4,3,2,1.000,1.500,0.667,0.771
19,"(24, 34]","(40, 45]",Male,2,3,1,1,0.667,1.000,0.667,1.123
20,"(24, 34]","(50, 55]",Male,2,1,4,3,2.000,1.333,1.500,2.166
21,"(24, 34]","(55, 60]",Male,3,2,4,1,1.500,4.000,0.375,0.542
22,"(34, 54]","(5, 10]",Male,2,4,1,3,0.500,0.333,1.500,2.166
23,"(34, 54]","(10, 15]",Female,2,20,4,8,0.100,0.500,0.200,0.193
24,"(34, 54]","(10, 15]",Male,4,9,3,6,0.444,0.500,0.889,0.826
25,"(34, 54]","(15, 20]",Female,6,6,2,7,1.000,0.286,3.500,3.463
26,"(34, 54]","(15, 20]",Male,1,5,4,9,0.200,0.444,0.450,0.563
27,"(34, 54]","(20, 25]",Female,1,9,1,5,0.111,0.200,0.556,0.845
28,"(34, 54]","(20, 25]",Male,3,6,4,10,0.500,0.400,1.250,1.154
29,"(34, 54]","(25, 30]",Male,7,4,8,12,1.750,0.667,2.625,2.040
30,"(34, 54]","(30, 35]",Female,2,2,2,4,1.000,0.500,2.000,2.648
31,"(34, 54]","(30, 35]",Male,17,21,9,11,0.810,0.818,0.989,0.552
32,"(34, 54]","(35, 40]",Female,6,2,4,3,3.000,1.333,2.250,2.518
33,"(34, 54]","(35, 40]",Male,20,19,9,11,1.053,0.818,1.287,0.713
34,"(34, 54]","(40, 45]",Female,3,4,7,10,0.750,0.700,1.071,0.975
35,"(34, 54]","(40, 45]",Male,27,27,8,12,1.000,0.667,1.500,0.801
36,"(34, 54]","(45, 50]",Female,2,2,4,11,1.000,0.364,2.750,3.187
37,"(34, 54]","(45, 50]",Male,33,29,9,5,1.138,1.800,0.632,0.389
38,"(34, 54]","(50, 55]",Female,5,4,3,6,1.250,0.500,2.500,2.440
39,"(34, 54]","(50, 55]",Male,13,14,4,7,0.929,0.571,1.625,1.198
40,"(34, 54]","(55, 60]",Female,3,5,4,6,0.600,0.667,0.900,0.878
41,"(34, 54]","(55, 60]",Male,5,4,5,3,1.250,1.667,0.750,0.745
42,"(34, 54]","(60, 65]",Female,5,1,6,4,5.000,1.500,3.333,4.242
43,"(34, 54]","(60, 65]",Male,3,2,4,1,1.500,4.000,0.375,0.542
44,"(34, 54]","(65, 70]",Male,1,1,3,1,1.000,3.000,0.333,0.609
45,"(34, 54]","(70, 75]",Female,6,6,4,1,1.000,4.000,0.250,0.315
46,"(54, 100]","(10, 15]",Male,2,6,2,5,0.333,0.400,0.833,0.975
47,"(54, 100]","(20, 25]",Male,1,5,3,4,0.200,0.750,0.267,0.356
48,"(54, 100]","(40, 45]",Male,3,2,3,3,1.500,1.000,1.500,1.839
49,"(54, 100]","(45, 50]",Female,1,5,1,4,0.200,0.250,0.800,1.253
50,"(54, 100]","(45, 50]",Male,9,10,6,9,0.900,0.667,1.350,0.946
51,"(54, 100]","(50, 55]",Female,4,7,3,3,0.571,1.000,0.571,0.589
52,"(54, 100]","(50, 55]",Male,17,26,7,7,0.654,1.000,0.654,0.406
53,"(54, 100]","(55, 60]",Female,4,10,3,8,0.400,0.375,1.067,0.960
54,"(54, 100]","(55, 60]",Male,42,61,11,5,0.689,2.200,0.313,0.181
55,"(54, 100]","(60, 65]",Female,9,9,9,9,1.000,1.000,1.000,0.669
56,"(54, 100]","(60, 65]",Male,59,59,9,9,1.000,1.000,1.000,0.509
57,"(54, 100]","(65, 70]",Female,6,7,15,13,0.857,1.154,0.743,0.501
58,"(54, 100]","(65, 70]",Male,57,77,11,8,0.740,1.375,0.538,0.269
59,"(54, 100]","(70, 75]",Female,6,5,20,12,1.200,1.667,0.720,0.510
60,"(54, 100]","(70, 75]",Male,67,74,11,8,0.905,1.375,0.658,0.327
61,"(54, 100]","(75, 80]",Female,10,8,27,11,1.250,2.455,0.509,0.304
62,"(54, 100]","(75, 80]",Male,64,54,7,6,1.185,1.167,1.016,0.598
63,"(54, 100]","(80, 85]",Female,10,2,22,10,5.000,2.200,2.273,1.966
64,"(54, 100]","(80, 85]",Male,60,46,7,8,1.304,0.875,1.491,0.828
65,"(54, 100]","(85, 90]",Female,17,2,10,5,8.500,2.000,4.250,3.944
66,"(54, 100]","(85, 90]",Male,34,16,5,3,2.125,1.667,1.275,1.010
67,"(54, 100]","(90, 95]",Female,11,3,11,5,3.667,2.200,1.667,1.412
68,"(54, 100]","(90, 95]",Male,7,4,5,1,1.750,5.000,0.350,0.442
