,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,4,2,3,2,2.000,1.500,1.333,1.679
1,"(15, 24]","(10, 15]",Male,5,3,7,12,1.667,0.583,2.857,2.494
2,"(15, 24]","(15, 20]",Female,8,14,6,9,0.571,0.667,0.857,0.592
3,"(15, 24]","(15, 20]",Male,29,26,63,79,1.115,0.797,1.399,0.451
4,"(15, 24]","(20, 25]",Female,7,4,5,9,1.750,0.556,3.150,2.648
5,"(15, 24]","(20, 25]",Male,25,20,39,41,1.250,0.951,1.314,0.496
6,"(15, 24]","(25, 30]",Male,7,4,8,10,1.750,0.800,2.188,1.723
7,"(15, 24]","(35, 40]",Male,3,2,4,4,1.500,1.000,1.500,1.734
8,"(24, 34]","(5, 10]",Female,1,2,1,2,0.500,0.500,1.000,1.733
9,"(24, 34]","(10, 15]",Female,3,3,1,5,1.000,0.200,5.000,6.836
10,"(24, 34]","(15, 20]",Male,4,4,6,9,1.000,0.667,1.500,1.325
11,"(24, 34]","(20, 25]",Female,4,2,2,5,2.000,0.400,5.000,6.026
12,"(24, 34]","(20, 25]",Male,17,16,20,31,1.062,0.645,1.647,0.748
13,"(24, 34]","(25, 30]",Female,1,4,5,10,0.250,0.500,0.500,0.623
14,"(24, 34]","(25, 30]",Male,23,22,21,31,1.045,0.677,1.543,0.639
15,"(24, 34]","(30, 35]",Female,1,2,10,8,0.500,1.250,0.400,0.526
16,"(24, 34]","(30, 35]",Male,10,8,18,10,1.250,1.800,0.694,0.430
17,"(24, 34]","(35, 40]",Male,4,7,10,11,0.571,0.909,0.629,0.481
18,"(24, 34]","(40, 45]",Male,2,2,7,4,1.000,1.750,0.571,0.675
19,"(34, 54]","(15, 20]",Male,2,2,1,4,1.000,0.250,4.000,6.003
20,"(34, 54]","(20, 25]",Male,4,5,2,11,0.800,0.182,4.400,4.494
21,"(34, 54]","(25, 30]",Male,7,7,4,21,1.000,0.190,5.250,4.018
22,"(34, 54]","(30, 35]",Male,18,17,9,18,1.059,0.500,2.118,1.128
23,"(34, 54]","(35, 40]",Female,2,1,5,4,2.000,1.250,1.600,2.236
24,"(34, 54]","(35, 40]",Male,20,13,9,11,1.538,0.818,1.880,1.083
25,"(34, 54]","(40, 45]",Female,2,2,5,3,1.000,1.667,0.600,0.744
26,"(34, 54]","(40, 45]",Male,9,13,11,16,0.692,0.688,1.007,0.591
27,"(34, 54]","(45, 50]",Male,14,13,13,17,1.077,0.765,1.408,0.754
28,"(34, 54]","(50, 55]",Male,9,5,12,12,1.800,1.000,1.800,1.247
29,"(34, 54]","(55, 60]",Female,3,4,3,1,0.750,3.000,0.250,0.346
30,"(34, 54]","(55, 60]",Male,3,5,3,7,0.600,0.429,1.400,1.408
31,"(34, 54]","(60, 65]",Male,5,1,2,1,5.000,2.000,2.500,4.110
32,"(54, 100]","(35, 40]",Male,1,4,2,7,0.250,0.286,0.875,1.205
33,"(54, 100]","(45, 50]",Male,4,5,3,8,0.800,0.375,2.133,2.036
34,"(54, 100]","(50, 55]",Male,3,7,5,7,0.429,0.714,0.600,0.544
35,"(54, 100]","(55, 60]",Male,3,4,5,4,0.750,1.250,0.600,0.611
36,"(54, 100]","(60, 65]",Male,11,9,5,8,1.222,0.625,1.956,1.423
37,"(54, 100]","(65, 70]",Male,4,11,1,2,0.364,0.500,0.727,0.987
38,"(54, 100]","(70, 75]",Male,2,2,1,4,1.000,0.250,4.000,6.003
39,"(54, 100]","(75, 80]",Male,3,3,2,1,1.000,2.000,0.500,0.736
