,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,26,28,48,54,0.929,0.889,1.045,0.356
1,"(15, 24]","(15, 22]",Male,13,16,84,74,0.812,1.135,0.716,0.293
2,"(15, 24]","(22, 27]",Male,5,7,24,27,0.714,0.889,0.804,0.523
3,"(15, 24]","(27, 32]",Female,1,1,2,5,1.000,0.400,2.500,4.110
4,"(15, 24]","(32, 37]",Male,1,2,5,4,0.500,1.250,0.400,0.559
5,"(15, 24]","(52, 57]",Female,2,1,1,1,2.000,1.000,2.000,3.743
6,"(24, 34]","(15, 22]",Female,4,3,1,7,1.333,0.143,9.333,12.271
7,"(24, 34]","(15, 22]",Male,6,2,5,8,3.000,0.625,4.800,4.786
8,"(24, 34]","(22, 27]",Female,3,2,11,8,1.500,1.375,1.091,1.119
9,"(24, 34]","(22, 27]",Male,6,12,9,13,0.500,0.692,0.722,0.479
10,"(24, 34]","(27, 32]",Female,4,4,15,14,1.000,1.071,0.933,0.747
11,"(24, 34]","(27, 32]",Male,8,7,17,15,1.143,1.133,1.008,0.634
12,"(24, 34]","(37, 42]",Female,1,1,3,1,1.000,3.000,0.333,0.609
13,"(24, 34]","(37, 42]",Male,1,1,2,1,1.000,2.000,0.500,0.936
14,"(24, 34]","(52, 57]",Female,5,2,2,1,2.500,2.000,1.250,1.855
15,"(34, 54]","(15, 22]",Female,3,5,3,6,0.600,0.500,1.200,1.221
16,"(34, 54]","(15, 22]",Male,1,2,2,7,0.500,0.286,1.750,2.563
17,"(34, 54]","(22, 27]",Female,3,1,2,7,3.000,0.286,10.500,14.770
18,"(34, 54]","(22, 27]",Male,2,2,5,5,1.000,1.000,1.000,1.184
19,"(34, 54]","(27, 32]",Female,1,4,1,2,0.250,0.500,0.500,0.830
20,"(34, 54]","(27, 32]",Male,3,4,2,7,0.750,0.286,2.625,2.910
21,"(34, 54]","(32, 37]",Female,1,2,6,6,0.500,1.000,0.500,0.677
22,"(34, 54]","(32, 37]",Male,2,2,9,5,1.000,1.800,0.556,0.637
23,"(34, 54]","(37, 42]",Male,9,6,8,8,1.500,1.000,1.500,1.092
24,"(34, 54]","(42, 47]",Male,3,2,4,5,1.500,0.800,1.875,2.126
25,"(34, 54]","(47, 52]",Male,6,4,6,5,1.500,1.200,1.250,1.108
26,"(34, 54]","(52, 57]",Female,1,1,8,9,1.000,0.889,1.125,1.683
27,"(34, 54]","(52, 57]",Male,1,1,4,5,1.000,0.800,1.250,1.958
28,"(34, 54]","(57, 62]",Female,4,2,5,2,2.000,2.500,0.800,0.964
29,"(34, 54]","(57, 62]",Male,3,1,3,1,3.000,3.000,1.000,1.634
30,"(34, 54]","(67, 72]",Female,2,2,1,1,1.000,1.000,1.000,1.733
31,"(34, 54]","(67, 72]",Male,2,1,4,1,2.000,4.000,0.500,0.830
32,"(34, 54]","(72, 77]",Male,1,1,2,1,1.000,2.000,0.500,0.936
33,"(54, 100]","(32, 37]",Male,1,1,2,5,1.000,0.400,2.500,4.110
34,"(54, 100]","(42, 47]",Male,1,2,4,7,0.500,0.571,0.875,1.205
35,"(54, 100]","(47, 52]",Female,3,9,3,9,0.333,0.333,1.000,0.944
36,"(54, 100]","(47, 52]",Male,4,4,1,4,1.000,0.250,4.000,5.295
37,"(54, 100]","(52, 57]",Female,1,13,11,12,0.077,0.917,0.084,0.094
38,"(54, 100]","(52, 57]",Male,4,8,2,4,0.500,0.500,1.000,1.062
39,"(54, 100]","(57, 62]",Female,2,11,12,13,0.182,0.923,0.197,0.171
40,"(54, 100]","(57, 62]",Male,5,7,4,4,0.714,1.000,0.714,0.657
41,"(54, 100]","(62, 67]",Female,3,13,15,16,0.231,0.938,0.246,0.181
42,"(54, 100]","(62, 67]",Male,5,12,5,2,0.417,2.500,0.167,0.165
43,"(54, 100]","(67, 72]",Female,5,9,24,24,0.556,1.000,0.556,0.350
44,"(54, 100]","(67, 72]",Male,6,17,3,8,0.353,0.375,0.941,0.780
45,"(54, 100]","(72, 77]",Female,4,8,25,21,0.500,1.190,0.420,0.286
46,"(54, 100]","(72, 77]",Male,7,11,3,3,0.636,1.000,0.636,0.605
47,"(54, 100]","(77, 82]",Female,6,11,22,26,0.545,0.846,0.645,0.378
48,"(54, 100]","(77, 82]",Male,7,12,3,1,0.583,3.000,0.194,0.243
49,"(54, 100]","(82, 87]",Female,5,7,25,24,0.714,1.042,0.686,0.448
50,"(54, 100]","(82, 87]",Male,2,7,1,2,0.286,0.500,0.571,0.837
51,"(54, 100]","(87, 92]",Female,2,1,14,13,2.000,1.077,1.857,2.386
52,"(54, 100]","(87, 92]",Male,2,3,2,1,0.667,2.000,0.333,0.509
