,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,4,7,3,3,0.571,1.000,0.571,0.589
1,"(15, 24]","(10, 15]",Male,6,6,4,4,1.000,1.000,1.000,0.914
2,"(15, 24]","(15, 20]",Female,23,24,12,9,0.958,1.333,0.719,0.382
3,"(15, 24]","(15, 20]",Male,43,39,59,67,1.103,0.881,1.252,0.361
4,"(15, 24]","(20, 25]",Female,7,3,10,11,2.333,0.909,2.567,2.100
5,"(15, 24]","(20, 25]",Male,25,19,33,36,1.316,0.917,1.435,0.562
6,"(15, 24]","(25, 30]",Female,2,1,4,3,2.000,1.333,1.500,2.166
7,"(15, 24]","(30, 35]",Female,1,3,4,3,0.333,1.333,0.250,0.346
8,"(15, 24]","(35, 40]",Male,3,2,1,1,1.500,1.000,1.500,2.526
9,"(24, 34]","(5, 10]",Female,3,1,2,1,3.000,2.000,1.500,2.526
10,"(24, 34]","(10, 15]",Male,4,2,1,1,2.000,1.000,2.000,3.318
11,"(24, 34]","(15, 20]",Male,1,1,3,2,1.000,1.500,0.667,1.123
12,"(24, 34]","(20, 25]",Male,19,14,17,21,1.357,0.810,1.676,0.809
13,"(24, 34]","(25, 30]",Female,3,6,7,7,0.500,1.000,0.500,0.444
14,"(24, 34]","(25, 30]",Male,16,15,21,17,1.067,1.235,0.863,0.421
15,"(24, 34]","(30, 35]",Female,2,2,7,8,1.000,0.875,1.143,1.288
16,"(24, 34]","(30, 35]",Male,4,10,7,7,0.400,1.000,0.400,0.320
17,"(34, 54]","(5, 10]",Male,1,1,2,2,1.000,1.000,1.000,1.733
18,"(34, 54]","(10, 15]",Female,3,3,2,7,1.000,0.286,3.500,4.009
19,"(34, 54]","(10, 15]",Male,1,2,3,3,0.500,1.000,0.500,0.736
20,"(34, 54]","(15, 20]",Female,2,7,3,3,0.286,1.000,0.286,0.327
21,"(34, 54]","(20, 25]",Female,2,3,1,3,0.667,0.333,2.000,2.946
22,"(34, 54]","(20, 25]",Male,2,2,2,5,1.000,0.400,2.500,3.262
23,"(34, 54]","(30, 35]",Female,3,3,1,1,1.000,1.000,1.000,1.634
24,"(34, 54]","(30, 35]",Male,4,12,3,7,0.333,0.429,0.778,0.701
25,"(34, 54]","(40, 45]",Male,9,9,12,13,1.000,0.923,1.083,0.672
26,"(34, 54]","(45, 50]",Male,13,10,7,6,1.300,1.167,1.114,0.779
27,"(34, 54]","(50, 55]",Female,2,1,5,6,2.000,0.833,2.400,3.281
28,"(34, 54]","(50, 55]",Male,7,8,2,2,0.875,1.000,0.875,0.986
29,"(34, 54]","(55, 60]",Male,2,1,6,4,2.000,1.500,1.333,1.847
30,"(34, 54]","(60, 65]",Female,4,1,1,2,4.000,0.500,8.000,13.273
31,"(34, 54]","(60, 65]",Male,5,3,8,2,1.667,4.000,0.417,0.449
32,"(34, 54]","(70, 75]",Female,4,1,1,1,4.000,1.000,4.000,7.214
33,"(34, 54]","(75, 80]",Male,3,1,2,1,3.000,2.000,1.500,2.526
34,"(54, 100]","(15, 20]",Male,1,3,1,5,0.333,0.200,1.667,2.654
35,"(54, 100]","(35, 40]",Male,2,3,3,3,0.667,1.000,0.667,0.817
36,"(54, 100]","(40, 45]",Female,4,7,4,3,0.571,1.333,0.429,0.424
37,"(54, 100]","(40, 45]",Male,2,4,2,6,0.500,0.333,1.500,1.787
38,"(54, 100]","(45, 50]",Male,4,5,1,2,0.800,0.500,1.600,2.236
39,"(54, 100]","(50, 55]",Female,2,1,1,2,2.000,0.500,4.000,6.931
40,"(54, 100]","(50, 55]",Male,6,11,3,3,0.545,1.000,0.545,0.525
41,"(54, 100]","(55, 60]",Female,2,5,4,6,0.400,0.667,0.600,0.635
42,"(54, 100]","(55, 60]",Male,16,21,3,4,0.762,0.750,1.016,0.847
43,"(54, 100]","(60, 65]",Female,2,2,3,4,1.000,0.750,1.333,1.679
44,"(54, 100]","(60, 65]",Male,11,16,1,6,0.688,0.167,4.125,4.744
45,"(54, 100]","(65, 70]",Female,7,3,7,5,2.333,1.400,1.667,1.511
46,"(54, 100]","(65, 70]",Male,31,27,3,3,1.148,1.000,1.148,0.987
47,"(54, 100]","(70, 75]",Female,10,5,13,7,2.000,1.857,1.077,0.778
48,"(54, 100]","(70, 75]",Male,17,25,6,3,0.680,2.000,0.340,0.264
49,"(54, 100]","(75, 80]",Female,10,1,8,4,10.000,2.000,5.000,6.078
50,"(54, 100]","(80, 85]",Female,15,9,14,5,1.667,2.800,0.595,0.400
51,"(54, 100]","(80, 85]",Male,21,26,2,4,0.808,0.500,1.615,1.479
52,"(54, 100]","(85, 90]",Male,13,6,5,2,2.167,2.500,0.867,0.843
53,"(54, 100]","(90, 95]",Female,6,1,6,2,6.000,3.000,2.000,2.710
