,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,"Unbelted drivers, airbag deployed",212,578,790
1,Car,"Unbelted right front passengers, airbag deployed",414,471,885
2,Car,"Belted drivers, airbag deployed",811,1629,2440
3,Car,"Belted right front passengers, airbag deployed",1730,1125,2855
4,Car,"Unbelted left rear passengers, airbag deployed",16,17,33
5,Car,"Unbelted right rear passengers, airbag deployed",15,26,41
6,Car,"Unbelted drivers, airbag not deployed",96,266,362
7,Car,"Unbelted right front passengers, airbag not deployed",161,206,367
8,Car,"Belted drivers, airbag not deployed",209,485,694
9,Car,"Belted right front passengers, airbag not deployed",415,346,761
10,Car,"Unbelted left rear passengers, airbag not deployed",6,8,14
11,Car,"Unbelted right rear passengers, airbag not deployed",9,27,36
0,Light truck,"Unbelted drivers, airbag deployed",94,234,328
1,Light truck,"Unbelted right front passengers, airbag deployed",192,217,409
2,Light truck,"Belted drivers, airbag deployed",321,849,1170
3,Light truck,"Belted right front passengers, airbag deployed",816,463,1279
4,Light truck,"Unbelted left rear passengers, airbag deployed",1,3,4
5,Light truck,"Unbelted right rear passengers, airbag deployed",2,1,3
6,Light truck,"Unbelted drivers, airbag not deployed",139,480,619
7,Light truck,"Unbelted right front passengers, airbag not deployed",287,339,626
8,Light truck,"Belted drivers, airbag not deployed",186,424,610
9,Light truck,"Belted right front passengers, airbag not deployed",331,270,601
10,Light truck,"Unbelted left rear passengers, airbag not deployed",15,24,39
11,Light truck,"Unbelted right rear passengers, airbag not deployed",16,18,34
