,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.215,0.076,19.000
1,"(22, 27]",1.217,0.107,25.000
2,"(27, 32]",1.313,0.135,30.000
3,"(32, 37]",1.344,0.152,35.000
4,"(37, 42]",1.021,0.117,40.000
5,"(42, 47]",1.321,0.170,45.000
6,"(47, 52]",1.155,0.152,50.000
7,"(52, 57]",1.006,0.131,55.000
8,"(57, 62]",0.798,0.095,60.000
9,"(62, 67]",0.808,0.090,65.000
10,"(67, 72]",0.760,0.076,70.000
11,"(72, 77]",0.856,0.084,75.000
12,"(77, 82]",0.805,0.090,80.000
13,"(82, 87]",1.127,0.180,85.000
14,"(87, 92]",0.712,0.241,90.000
15,"(92, 97]",0.632,0.924,95.000
