,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,2453,2325,3813,4646,1.055,0.821,1.286,0.079
1,"(15, 24]","(15, 22]",Male,1696,1220,12948,12753,1.390,1.015,1.369,0.087
2,"(15, 24]","(22, 27]",Female,442,410,1763,1909,1.078,0.924,1.167,0.106
3,"(15, 24]","(22, 27]",Male,371,242,3412,2976,1.533,1.147,1.337,0.133
4,"(15, 24]","(27, 32]",Female,188,123,624,647,1.528,0.964,1.585,0.219
5,"(15, 24]","(27, 32]",Male,146,91,1023,707,1.604,1.447,1.109,0.167
6,"(15, 24]","(32, 37]",Female,136,80,237,182,1.700,1.302,1.305,0.234
7,"(15, 24]","(32, 37]",Male,108,50,433,263,2.160,1.646,1.312,0.255
8,"(15, 24]","(37, 42]",Female,178,80,119,64,2.225,1.859,1.197,0.253
9,"(15, 24]","(37, 42]",Male,92,37,250,135,2.486,1.852,1.343,0.306
10,"(15, 24]","(42, 47]",Female,129,49,73,44,2.633,1.659,1.587,0.411
11,"(15, 24]","(42, 47]",Male,66,25,180,65,2.640,2.769,0.953,0.267
12,"(15, 24]","(47, 52]",Female,80,31,65,29,2.581,2.241,1.151,0.359
13,"(15, 24]","(47, 52]",Male,33,10,144,47,3.300,3.064,1.077,0.432
14,"(15, 24]","(52, 57]",Female,59,20,43,16,2.950,2.688,1.098,0.432
15,"(15, 24]","(52, 57]",Male,22,11,73,20,2.000,3.650,0.548,0.247
16,"(15, 24]","(57, 62]",Female,39,11,29,11,3.545,2.636,1.345,0.665
17,"(15, 24]","(57, 62]",Male,27,5,45,16,5.400,2.812,1.920,1.093
18,"(15, 24]","(62, 67]",Female,22,3,33,8,7.333,4.125,1.778,1.302
19,"(15, 24]","(62, 67]",Male,10,5,43,10,2.000,4.300,0.465,0.303
20,"(15, 24]","(67, 72]",Male,7,3,22,6,2.333,3.667,0.636,0.529
21,"(15, 24]","(72, 77]",Female,3,2,15,2,1.500,7.500,0.200,0.237
22,"(24, 34]","(15, 22]",Female,193,197,258,407,0.980,0.634,1.545,0.214
23,"(24, 34]","(15, 22]",Male,379,317,1252,1382,1.196,0.906,1.320,0.131
24,"(24, 34]","(22, 27]",Female,314,316,749,974,0.994,0.769,1.292,0.137
25,"(24, 34]","(22, 27]",Male,522,425,2004,2051,1.228,0.977,1.257,0.111
26,"(24, 34]","(27, 32]",Female,259,243,1024,1253,1.066,0.817,1.304,0.144
27,"(24, 34]","(27, 32]",Male,396,277,1471,1424,1.430,1.033,1.384,0.139
28,"(24, 34]","(32, 37]",Female,151,134,712,765,1.127,0.931,1.211,0.168
29,"(24, 34]","(32, 37]",Male,189,111,741,590,1.703,1.256,1.356,0.191
30,"(24, 34]","(37, 42]",Female,74,51,314,309,1.451,1.016,1.428,0.293
31,"(24, 34]","(37, 42]",Male,96,51,368,237,1.882,1.553,1.212,0.241
32,"(24, 34]","(42, 47]",Female,52,38,144,106,1.368,1.358,1.007,0.256
33,"(24, 34]","(42, 47]",Male,57,27,184,107,2.111,1.720,1.228,0.329
34,"(24, 34]","(47, 52]",Female,68,36,84,52,1.889,1.615,1.169,0.323
35,"(24, 34]","(47, 52]",Male,35,15,131,60,2.333,2.183,1.069,0.373
36,"(24, 34]","(52, 57]",Female,64,33,74,33,1.939,2.242,0.865,0.263
37,"(24, 34]","(52, 57]",Male,21,7,94,42,3.000,2.238,1.340,0.639
38,"(24, 34]","(57, 62]",Female,37,12,42,20,3.083,2.100,1.468,0.634
39,"(24, 34]","(57, 62]",Male,11,3,57,17,3.667,3.353,1.094,0.776
40,"(24, 34]","(62, 67]",Female,25,13,31,11,1.923,2.818,0.682,0.336
41,"(24, 34]","(62, 67]",Male,13,2,39,15,6.500,2.600,2.500,2.049
42,"(24, 34]","(67, 72]",Female,13,5,22,9,2.600,2.444,1.064,0.702
43,"(24, 34]","(67, 72]",Male,4,2,22,9,2.000,2.444,0.818,0.780
44,"(24, 34]","(72, 77]",Male,5,1,22,13,5.000,1.692,2.955,3.401
45,"(34, 54]","(15, 22]",Female,182,345,125,315,0.528,0.397,1.329,0.197
46,"(34, 54]","(15, 22]",Male,83,108,292,529,0.769,0.552,1.392,0.238
47,"(34, 54]","(22, 27]",Female,126,235,144,263,0.536,0.548,0.979,0.156
48,"(34, 54]","(22, 27]",Male,121,148,363,574,0.818,0.632,1.293,0.192
49,"(34, 54]","(27, 32]",Female,119,173,179,310,0.688,0.577,1.191,0.190
50,"(34, 54]","(27, 32]",Male,188,183,450,512,1.027,0.879,1.169,0.154
51,"(34, 54]","(32, 37]",Female,122,133,374,514,0.917,0.728,1.261,0.191
52,"(34, 54]","(32, 37]",Male,278,221,456,562,1.258,0.811,1.550,0.187
53,"(34, 54]","(37, 42]",Female,145,136,539,611,1.066,0.882,1.209,0.172
54,"(34, 54]","(37, 42]",Male,253,208,448,460,1.216,0.974,1.249,0.156
55,"(34, 54]","(42, 47]",Female,127,109,585,662,1.165,0.884,1.318,0.199
56,"(34, 54]","(42, 47]",Male,210,173,295,261,1.214,1.130,1.074,0.153
57,"(34, 54]","(47, 52]",Female,86,85,642,659,1.012,0.974,1.039,0.177
58,"(34, 54]","(47, 52]",Male,127,127,227,174,1.000,1.305,0.767,0.129
59,"(34, 54]","(52, 57]",Female,75,65,536,538,1.154,0.996,1.158,0.216
60,"(34, 54]","(52, 57]",Male,63,44,188,136,1.432,1.382,1.036,0.240
61,"(34, 54]","(57, 62]",Female,76,39,265,238,1.949,1.113,1.750,0.388
62,"(34, 54]","(57, 62]",Male,29,28,139,84,1.036,1.655,0.626,0.190
63,"(34, 54]","(62, 67]",Female,64,32,155,102,2.000,1.520,1.316,0.337
64,"(34, 54]","(62, 67]",Male,31,17,86,55,1.824,1.564,1.166,0.410
65,"(34, 54]","(67, 72]",Female,37,20,90,53,1.850,1.698,1.089,0.361
66,"(34, 54]","(67, 72]",Male,19,10,53,33,1.900,1.606,1.183,0.535
67,"(34, 54]","(72, 77]",Female,27,12,47,26,2.250,1.808,1.245,0.532
68,"(34, 54]","(72, 77]",Male,10,3,44,17,3.333,2.588,1.288,0.926
69,"(34, 54]","(77, 82]",Female,7,3,36,16,2.333,2.250,1.037,0.782
70,"(34, 54]","(77, 82]",Male,6,3,30,10,2.000,3.000,0.667,0.532
71,"(34, 54]","(82, 87]",Female,2,1,13,5,2.000,2.600,0.769,1.026
72,"(54, 100]","(15, 22]",Female,41,198,24,133,0.207,0.180,1.148,0.327
73,"(54, 100]","(15, 22]",Male,18,54,53,180,0.333,0.294,1.132,0.360
74,"(54, 100]","(22, 27]",Female,52,185,31,114,0.281,0.272,1.034,0.270
75,"(54, 100]","(22, 27]",Male,11,48,58,176,0.229,0.330,0.695,0.258
76,"(54, 100]","(27, 32]",Female,85,225,31,114,0.378,0.272,1.389,0.340
77,"(54, 100]","(27, 32]",Male,25,66,53,136,0.379,0.390,0.972,0.281
78,"(54, 100]","(32, 37]",Female,78,237,53,119,0.329,0.445,0.739,0.160
