,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,74,79,82,87,0.937,0.943,0.994,0.227
1,"(15, 24]","(0, 5]",Male,56,45,63,51,1.244,1.235,1.007,0.281
2,"(15, 24]","(5, 10]",Female,28,38,25,36,0.737,0.694,1.061,0.386
3,"(15, 24]","(5, 10]",Male,26,33,24,27,0.788,0.889,0.886,0.343
4,"(15, 24]","(10, 15]",Female,103,146,55,88,0.705,0.625,1.129,0.249
5,"(15, 24]","(10, 15]",Male,223,319,331,447,0.699,0.740,0.944,0.117
6,"(15, 24]","(15, 20]",Female,241,344,142,292,0.701,0.486,1.441,0.204
7,"(15, 24]","(15, 20]",Male,560,650,1545,2179,0.862,0.709,1.215,0.101
8,"(15, 24]","(20, 25]",Female,60,85,65,109,0.706,0.596,1.184,0.279
9,"(15, 24]","(20, 25]",Male,127,173,595,808,0.734,0.736,0.997,0.138
10,"(15, 24]","(25, 30]",Female,15,16,20,37,0.938,0.541,1.734,0.792
11,"(15, 24]","(25, 30]",Male,37,38,146,170,0.974,0.859,1.134,0.297
12,"(15, 24]","(30, 35]",Female,9,10,10,14,0.900,0.714,1.260,0.782
13,"(15, 24]","(30, 35]",Male,18,15,45,59,1.200,0.763,1.573,0.637
14,"(15, 24]","(35, 40]",Female,8,9,4,2,0.889,2.000,0.444,0.442
15,"(15, 24]","(35, 40]",Male,14,15,21,20,0.933,1.050,0.889,0.434
16,"(15, 24]","(40, 45]",Female,14,12,3,2,1.167,1.500,0.778,0.774
17,"(15, 24]","(40, 45]",Male,21,6,27,21,3.500,1.286,2.722,1.495
18,"(15, 24]","(45, 50]",Female,7,4,9,4,1.750,2.250,0.778,0.676
19,"(15, 24]","(45, 50]",Male,9,11,19,8,0.818,2.375,0.344,0.213
20,"(15, 24]","(50, 55]",Female,8,1,1,2,8.000,0.500,16.000,25.935
21,"(15, 24]","(50, 55]",Male,9,3,11,6,3.000,1.833,1.636,1.373
22,"(15, 24]","(55, 60]",Female,4,4,5,1,1.000,5.000,0.200,0.261
23,"(15, 24]","(55, 60]",Male,7,4,12,2,1.750,6.000,0.292,0.289
24,"(15, 24]","(60, 65]",Male,3,1,4,1,3.000,4.000,0.750,1.206
25,"(15, 24]","(65, 70]",Female,1,2,1,1,0.500,1.000,0.500,0.936
26,"(15, 24]","(65, 70]",Male,5,2,7,3,2.500,2.333,1.071,1.163
27,"(24, 34]","(0, 5]",Female,101,125,89,120,0.808,0.742,1.089,0.218
28,"(24, 34]","(0, 5]",Male,88,91,99,107,0.967,0.925,1.045,0.220
29,"(24, 34]","(5, 10]",Female,100,138,92,151,0.725,0.609,1.189,0.230
30,"(24, 34]","(5, 10]",Male,56,92,96,119,0.609,0.807,0.755,0.169
31,"(24, 34]","(10, 15]",Female,52,85,36,71,0.612,0.507,1.207,0.331
32,"(24, 34]","(10, 15]",Male,39,56,55,87,0.696,0.632,1.102,0.303
33,"(24, 34]","(15, 20]",Female,21,46,10,42,0.457,0.238,1.917,0.848
34,"(24, 34]","(15, 20]",Male,69,121,153,262,0.570,0.584,0.977,0.184
35,"(24, 34]","(20, 25]",Female,26,46,25,60,0.565,0.417,1.357,0.469
36,"(24, 34]","(20, 25]",Male,78,109,196,346,0.716,0.566,1.263,0.228
37,"(24, 34]","(25, 30]",Female,22,47,21,31,0.468,0.677,0.691,0.267
38,"(24, 34]","(25, 30]",Male,72,78,149,237,0.923,0.629,1.468,0.294
39,"(24, 34]","(30, 35]",Female,11,11,17,19,1.000,0.895,1.118,0.608
40,"(24, 34]","(30, 35]",Male,32,32,107,122,1.000,0.877,1.140,0.328
41,"(24, 34]","(35, 40]",Female,9,15,6,11,0.600,0.545,1.100,0.728
42,"(24, 34]","(35, 40]",Male,14,22,39,51,0.636,0.765,0.832,0.338
43,"(24, 34]","(40, 45]",Female,5,7,6,11,0.714,0.545,1.310,1.017
44,"(24, 34]","(40, 45]",Male,6,12,22,25,0.500,0.880,0.568,0.330
45,"(24, 34]","(45, 50]",Female,9,7,3,1,1.286,3.000,0.429,0.540
46,"(24, 34]","(45, 50]",Male,12,11,21,19,1.091,1.105,0.987,0.519
47,"(24, 34]","(50, 55]",Female,9,9,4,1,1.000,4.000,0.250,0.304
48,"(24, 34]","(50, 55]",Male,21,14,14,8,1.500,1.750,0.857,0.483
49,"(24, 34]","(55, 60]",Female,6,3,5,2,2.000,2.500,0.800,0.877
50,"(24, 34]","(55, 60]",Male,17,7,13,9,2.429,1.444,1.681,1.053
51,"(24, 34]","(60, 65]",Female,9,8,3,2,1.125,1.500,0.750,0.777
52,"(24, 34]","(60, 65]",Male,7,3,12,8,2.333,1.500,1.556,1.289
53,"(24, 34]","(65, 70]",Female,10,4,4,3,2.500,1.333,1.875,1.814
54,"(24, 34]","(65, 70]",Male,3,2,8,2,1.500,4.000,0.375,0.453
55,"(34, 54]","(0, 5]",Female,29,43,24,47,0.674,0.511,1.321,0.464
56,"(34, 54]","(0, 5]",Male,29,47,30,48,0.617,0.625,0.987,0.331
57,"(34, 54]","(5, 10]",Female,38,71,31,89,0.535,0.348,1.537,0.452
58,"(34, 54]","(5, 10]",Male,55,111,63,107,0.495,0.589,0.842,0.197
59,"(34, 54]","(10, 15]",Female,54,129,41,102,0.419,0.402,1.041,0.261
60,"(34, 54]","(10, 15]",Male,62,148,97,195,0.419,0.497,0.842,0.170
61,"(34, 54]","(15, 20]",Female,26,80,18,58,0.325,0.310,1.047,0.372
62,"(34, 54]","(15, 20]",Male,41,80,51,137,0.512,0.372,1.377,0.354
63,"(34, 54]","(20, 25]",Female,12,21,7,24,0.571,0.292,1.959,1.105
64,"(34, 54]","(20, 25]",Male,22,52,42,83,0.423,0.506,0.836,0.268
65,"(34, 54]","(25, 30]",Female,10,18,9,22,0.556,0.409,1.358,0.762
66,"(34, 54]","(25, 30]",Male,22,42,35,87,0.524,0.402,1.302,0.435
67,"(34, 54]","(30, 35]",Female,17,23,13,20,0.739,0.650,1.137,0.547
68,"(34, 54]","(30, 35]",Male,34,33,40,58,1.030,0.690,1.494,0.483
69,"(34, 54]","(35, 40]",Female,12,13,9,21,0.923,0.429,2.154,1.221
70,"(34, 54]","(35, 40]",Male,36,42,27,51,0.857,0.529,1.619,0.539
71,"(34, 54]","(40, 45]",Female,8,12,10,18,0.667,0.556,1.200,0.726
72,"(34, 54]","(40, 45]",Male,42,45,35,56,0.933,0.625,1.493,0.460
73,"(34, 54]","(45, 50]",Female,10,11,6,9,0.909,0.667,1.364,0.936
74,"(34, 54]","(45, 50]",Male,38,48,34,39,0.792,0.872,0.908,0.294
75,"(34, 54]","(50, 55]",Female,13,12,8,14,1.083,0.571,1.896,1.136
76,"(34, 54]","(50, 55]",Male,21,22,20,21,0.955,0.952,1.002,0.441
77,"(34, 54]","(55, 60]",Female,10,9,10,10,1.111,1.000,1.111,0.715
78,"(34, 54]","(55, 60]",Male,22,14,22,15,1.571,1.467,1.071,0.516
79,"(34, 54]","(60, 65]",Female,11,12,5,5,0.917,1.000,0.917,0.696
80,"(34, 54]","(60, 65]",Male,22,16,11,10,1.375,1.100,1.250,0.686
81,"(34, 54]","(65, 70]",Female,18,8,6,2,2.250,3.000,0.750,0.691
82,"(34, 54]","(65, 70]",Male,20,9,6,6,2.222,1.000,2.222,1.567
83,"(34, 54]","(70, 75]",Female,19,11,4,3,1.727,1.333,1.295,1.106
84,"(34, 54]","(70, 75]",Male,22,16,4,2,1.375,2.000,0.688,0.638
85,"(34, 54]","(75, 80]",Female,13,5,3,1,2.600,3.000,0.867,1.101
86,"(34, 54]","(75, 80]",Male,12,8,4,2,1.500,2.000,0.750,0.735
87,"(34, 54]","(80, 85]",Male,6,1,3,1,6.000,3.000,2.000,3.164
88,"(54, 100]","(0, 5]",Female,4,19,3,13,0.211,0.231,0.912,0.772
89,"(54, 100]","(0, 5]",Male,3,16,6,23,0.188,0.261,0.719,0.561
90,"(54, 100]","(5, 10]",Female,13,27,3,18,0.481,0.167,2.889,2.054
91,"(54, 100]","(5, 10]",Male,10,32,14,36,0.312,0.389,0.804,0.388
92,"(54, 100]","(10, 15]",Female,7,17,4,11,0.412,0.364,1.132,0.836
93,"(54, 100]","(10, 15]",Male,10,41,12,49,0.244,0.245,0.996,0.478
94,"(54, 100]","(15, 20]",Male,6,22,6,24,0.273,0.250,1.091,0.709
95,"(54, 100]","(20, 25]",Male,9,40,4,20,0.225,0.200,1.125,0.745
96,"(54, 100]","(25, 30]",Female,3,8,1,7,0.375,0.143,2.625,3.324
97,"(54, 100]","(25, 30]",Male,7,26,8,17,0.269,0.471,0.572,0.347
98,"(54, 100]","(30, 35]",Male,5,22,8,16,0.227,0.500,0.455,0.300
99,"(54, 100]","(35, 40]",Female,2,4,1,4,0.500,0.250,2.000,2.830
100,"(54, 100]","(35, 40]",Male,10,15,5,16,0.667,0.312,2.133,1.402
101,"(54, 100]","(40, 45]",Male,6,12,8,16,0.500,0.500,1.000,0.663
102,"(54, 100]","(45, 50]",Female,3,4,2,5,0.750,0.400,1.875,2.126
103,"(54, 100]","(45, 50]",Male,15,24,7,16,0.625,0.438,1.429,0.803
104,"(54, 100]","(50, 55]",Female,9,11,2,3,0.818,0.667,1.227,1.250
105,"(54, 100]","(50, 55]",Male,22,29,9,17,0.759,0.529,1.433,0.720
106,"(54, 100]","(55, 60]",Female,14,18,4,3,0.778,1.333,0.583,0.492
107,"(54, 100]","(55, 60]",Male,43,47,9,11,0.915,0.818,1.118,0.558
108,"(54, 100]","(60, 65]",Female,12,18,6,6,0.667,1.000,0.667,0.459
109,"(54, 100]","(60, 65]",Male,57,66,15,13,0.864,1.154,0.748,0.316
110,"(54, 100]","(65, 70]",Female,24,20,8,10,1.200,0.800,1.500,0.847
111,"(54, 100]","(65, 70]",Male,55,55,13,14,1.000,0.929,1.077,0.466
112,"(54, 100]","(70, 75]",Female,33,33,8,9,1.000,0.889,1.125,0.615
113,"(54, 100]","(70, 75]",Male,50,47,20,12,1.064,1.667,0.638,0.269
114,"(54, 100]","(75, 80]",Female,22,19,6,6,1.158,1.000,1.158,0.763
115,"(54, 100]","(75, 80]",Male,47,42,11,8,1.119,1.375,0.814,0.418
116,"(54, 100]","(80, 85]",Female,20,10,7,3,2.000,2.333,0.857,0.680
117,"(54, 100]","(80, 85]",Male,23,21,12,4,1.095,3.000,0.365,0.239
118,"(54, 100]","(85, 90]",Female,14,4,9,2,3.500,4.500,0.778,0.752
119,"(54, 100]","(85, 90]",Male,15,10,2,1,1.500,2.000,0.750,0.969
120,"(54, 100]","(90, 95]",Male,5,1,4,2,5.000,2.000,2.500,3.493
