,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.970,0.073,3.000
1,"(5, 10]",1.064,0.088,8.000
2,"(10, 15]",1.086,0.058,13.000
3,"(15, 20]",1.282,0.048,18.000
4,"(20, 25]",1.260,0.047,23.000
5,"(25, 30]",1.298,0.057,28.000
6,"(30, 35]",1.330,0.067,33.000
7,"(35, 40]",1.181,0.069,38.000
8,"(40, 45]",1.123,0.074,43.000
9,"(45, 50]",1.225,0.089,48.000
10,"(50, 55]",1.275,0.097,53.000
11,"(55, 60]",1.225,0.101,58.000
12,"(60, 65]",1.000,0.081,63.000
13,"(65, 70]",0.930,0.078,68.000
14,"(70, 75]",1.067,0.090,73.000
15,"(75, 80]",0.922,0.087,78.000
16,"(80, 85]",0.889,0.099,83.000
17,"(85, 90]",0.939,0.154,88.000
18,"(90, 95]",1.383,0.383,93.000
19,"(95, 100]",0.879,0.690,98.000
