,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,22,14,23,26,1.571,0.885,1.776,0.797
1,"(15, 24]","(0, 5]",Male,10,9,6,11,1.111,0.545,2.037,1.398
2,"(15, 24]","(5, 10]",Female,11,10,8,6,1.100,1.333,0.825,0.575
3,"(15, 24]","(5, 10]",Male,3,2,16,14,1.500,1.143,1.312,1.293
4,"(15, 24]","(10, 15]",Female,91,92,31,40,0.989,0.775,1.276,0.365
5,"(15, 24]","(10, 15]",Male,154,122,229,211,1.262,1.085,1.163,0.189
6,"(15, 24]","(15, 20]",Female,448,453,239,328,0.989,0.729,1.357,0.162
7,"(15, 24]","(15, 20]",Male,880,755,1953,1941,1.166,1.006,1.158,0.090
8,"(15, 24]","(20, 25]",Female,160,154,241,280,1.039,0.861,1.207,0.183
9,"(15, 24]","(20, 25]",Male,385,325,1248,1227,1.185,1.017,1.165,0.115
10,"(15, 24]","(25, 30]",Female,40,46,93,85,0.870,1.094,0.795,0.213
11,"(15, 24]","(25, 30]",Male,101,92,305,248,1.098,1.230,0.893,0.156
12,"(15, 24]","(30, 35]",Female,23,20,23,19,1.150,1.211,0.950,0.416
13,"(15, 24]","(30, 35]",Male,49,26,110,93,1.885,1.183,1.593,0.454
14,"(15, 24]","(35, 40]",Female,27,20,11,8,1.350,1.375,0.982,0.543
15,"(15, 24]","(35, 40]",Male,34,12,95,60,2.833,1.583,1.789,0.675
16,"(15, 24]","(40, 45]",Female,23,11,10,7,2.091,1.429,1.464,0.902
17,"(15, 24]","(40, 45]",Male,24,12,58,34,2.000,1.706,1.172,0.489
18,"(15, 24]","(45, 50]",Male,15,7,32,20,2.143,1.600,1.339,0.725
19,"(15, 24]","(50, 55]",Female,14,3,4,4,4.667,1.000,4.667,4.445
20,"(15, 24]","(50, 55]",Male,14,4,13,8,3.500,1.625,2.154,1.562
21,"(15, 24]","(60, 65]",Female,4,1,5,4,4.000,1.250,3.200,4.175
22,"(15, 24]","(60, 65]",Male,4,2,6,2,2.000,3.000,0.667,0.794
23,"(15, 24]","(65, 70]",Female,4,1,1,2,4.000,0.500,8.000,13.273
24,"(15, 24]","(75, 80]",Male,2,1,2,1,2.000,2.000,1.000,1.733
25,"(15, 24]","(80, 85]",Male,2,1,2,2,2.000,1.000,2.000,3.164
26,"(24, 34]","(0, 5]",Female,28,28,30,26,1.000,1.154,0.867,0.331
27,"(24, 34]","(0, 5]",Male,13,10,20,14,1.300,1.429,0.910,0.499
28,"(24, 34]","(5, 10]",Female,29,34,33,35,0.853,0.943,0.905,0.320
29,"(24, 34]","(5, 10]",Male,4,7,13,8,0.571,1.625,0.352,0.272
30,"(24, 34]","(10, 15]",Female,31,39,12,28,0.795,0.429,1.855,0.786
31,"(24, 34]","(10, 15]",Male,7,13,25,26,0.538,0.962,0.560,0.307
32,"(24, 34]","(15, 20]",Female,23,45,16,35,0.511,0.457,1.118,0.446
33,"(24, 34]","(15, 20]",Male,102,119,143,197,0.857,0.726,1.181,0.214
