,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,11,15,15,15,0.733,1.000,0.733,0.397
1,"(15, 24]","(0, 5]",Male,6,4,13,16,1.500,0.812,1.846,1.380
2,"(15, 24]","(5, 10]",Female,6,3,3,10,2.000,0.300,6.667,6.449
3,"(15, 24]","(5, 10]",Male,5,6,10,8,0.833,1.250,0.667,0.514
4,"(15, 24]","(10, 15]",Female,26,34,13,20,0.765,0.650,1.176,0.523
5,"(15, 24]","(10, 15]",Male,62,73,65,90,0.849,0.722,1.176,0.285
6,"(15, 24]","(15, 20]",Female,74,108,81,109,0.685,0.743,0.922,0.199
7,"(15, 24]","(15, 20]",Male,191,200,479,600,0.955,0.798,1.196,0.154
8,"(15, 24]","(20, 25]",Female,32,25,43,48,1.280,0.896,1.429,0.490
9,"(15, 24]","(20, 25]",Male,52,52,242,289,1.000,0.837,1.194,0.263
10,"(15, 24]","(25, 30]",Female,4,4,14,18,1.000,0.778,1.286,1.020
11,"(15, 24]","(25, 30]",Male,20,15,70,65,1.333,1.077,1.238,0.478
12,"(15, 24]","(30, 35]",Female,5,4,7,9,1.250,0.778,1.607,1.351
13,"(15, 24]","(30, 35]",Male,11,6,25,19,1.833,1.316,1.393,0.827
14,"(15, 24]","(35, 40]",Female,2,1,1,3,2.000,0.333,6.000,10.104
15,"(15, 24]","(35, 40]",Male,6,3,13,12,2.000,1.083,1.846,1.503
16,"(15, 24]","(40, 45]",Female,2,4,2,1,0.500,2.000,0.250,0.375
17,"(15, 24]","(40, 45]",Male,6,5,8,8,1.200,1.000,1.200,0.944
18,"(15, 24]","(45, 50]",Female,4,1,2,1,4.000,2.000,2.000,3.318
19,"(15, 24]","(45, 50]",Male,5,1,6,1,5.000,6.000,0.833,1.283
20,"(15, 24]","(50, 55]",Female,2,2,1,1,1.000,1.000,1.000,1.733
21,"(24, 34]","(0, 5]",Female,12,16,17,13,0.750,1.308,0.574,0.306
22,"(24, 34]","(0, 5]",Male,14,8,11,13,1.750,0.846,2.068,1.253
23,"(24, 34]","(5, 10]",Female,18,25,18,28,0.720,0.643,1.120,0.487
24,"(24, 34]","(5, 10]",Male,7,11,8,9,0.636,0.889,0.716,0.492
25,"(24, 34]","(10, 15]",Female,8,15,3,13,0.533,0.231,2.311,1.797
26,"(24, 34]","(10, 15]",Male,8,18,7,16,0.444,0.438,1.016,0.633
27,"(24, 34]","(15, 20]",Female,9,9,5,14,1.000,0.357,2.800,1.972
28,"(24, 34]","(15, 20]",Male,24,25,43,63,0.960,0.683,1.407,0.494
29,"(24, 34]","(20, 25]",Female,14,14,6,15,1.000,0.400,2.500,1.538
30,"(24, 34]","(20, 25]",Male,21,38,77,110,0.553,0.700,0.789,0.248
31,"(24, 34]","(25, 30]",Female,12,10,9,13,1.200,0.692,1.733,1.060
32,"(24, 34]","(25, 30]",Male,28,31,70,70,0.903,1.000,0.903,0.284
33,"(24, 34]","(30, 35]",Female,7,5,12,12,1.400,1.000,1.400,1.002
34,"(24, 34]","(30, 35]",Male,13,15,38,32,0.867,1.188,0.730,0.329
35,"(24, 34]","(35, 40]",Female,5,4,4,3,1.250,1.333,0.938,0.954
36,"(24, 34]","(35, 40]",Male,8,4,17,13,2.000,1.308,1.529,1.096
37,"(24, 34]","(40, 45]",Female,3,3,1,1,1.000,1.000,1.000,1.634
38,"(24, 34]","(40, 45]",Male,6,4,10,13,1.500,0.769,1.950,1.506
39,"(24, 34]","(45, 50]",Female,5,1,5,2,5.000,2.500,2.000,2.759
40,"(24, 34]","(50, 55]",Male,3,2,1,2,1.500,0.500,3.000,4.585
41,"(34, 54]","(0, 5]",Female,7,15,2,2,0.467,1.000,0.467,0.514
42,"(34, 54]","(0, 5]",Male,3,11,3,9,0.273,0.333,0.818,0.764
43,"(34, 54]","(5, 10]",Female,11,22,12,20,0.500,0.600,0.833,0.435
44,"(34, 54]","(5, 10]",Male,10,22,8,13,0.455,0.615,0.739,0.437
45,"(34, 54]","(10, 15]",Female,8,24,14,30,0.333,0.467,0.714,0.374
46,"(34, 54]","(10, 15]",Male,5,19,15,31,0.263,0.484,0.544,0.324
47,"(34, 54]","(15, 20]",Female,11,29,4,14,0.379,0.286,1.328,0.890
48,"(34, 54]","(15, 20]",Male,7,23,9,30,0.304,0.300,1.014,0.586
49,"(34, 54]","(20, 25]",Female,4,7,4,10,0.571,0.400,1.429,1.233
50,"(34, 54]","(20, 25]",Male,9,7,13,30,1.286,0.433,2.967,1.797
51,"(34, 54]","(25, 30]",Male,6,8,15,27,0.750,0.556,1.350,0.852
52,"(34, 54]","(30, 35]",Female,1,5,3,7,0.200,0.429,0.467,0.605
53,"(34, 54]","(30, 35]",Male,8,17,16,22,0.471,0.727,0.647,0.351
54,"(34, 54]","(35, 40]",Female,2,5,3,3,0.400,1.000,0.400,0.468
55,"(34, 54]","(35, 40]",Male,11,12,15,20,0.917,0.750,1.222,0.662
56,"(34, 54]","(40, 45]",Female,3,4,5,6,0.750,0.833,0.900,0.878
57,"(34, 54]","(40, 45]",Male,10,12,14,15,0.833,0.933,0.893,0.508
58,"(34, 54]","(45, 50]",Male,8,7,11,15,1.143,0.733,1.558,1.019
59,"(34, 54]","(50, 55]",Female,2,1,3,4,2.000,0.750,2.667,3.851
60,"(34, 54]","(50, 55]",Male,9,9,9,4,1.000,2.250,0.444,0.340
61,"(34, 54]","(55, 60]",Male,1,2,6,4,0.500,1.500,0.333,0.462
62,"(34, 54]","(60, 65]",Male,2,2,3,2,1.000,1.500,0.667,0.903
63,"(34, 54]","(65, 70]",Male,2,1,3,1,2.000,3.000,0.667,1.123
64,"(34, 54]","(70, 75]",Male,4,2,2,1,2.000,2.000,1.000,1.501
65,"(54, 100]","(0, 5]",Female,1,6,2,1,0.167,2.000,0.083,0.136
66,"(54, 100]","(5, 10]",Male,1,2,2,6,0.500,0.333,1.500,2.209
67,"(54, 100]","(10, 15]",Female,1,8,3,8,0.125,0.375,0.333,0.420
68,"(54, 100]","(15, 20]",Female,2,6,2,8,0.333,0.250,1.333,1.517
69,"(54, 100]","(15, 20]",Male,2,5,3,8,0.400,0.375,1.067,1.149
70,"(54, 100]","(35, 40]",Female,1,1,1,1,1.000,1.000,1.000,2.001
71,"(54, 100]","(35, 40]",Male,3,3,1,3,1.000,0.333,3.000,4.245
72,"(54, 100]","(40, 45]",Male,4,9,3,5,0.444,0.600,0.741,0.702
73,"(54, 100]","(45, 50]",Male,1,2,3,5,0.500,0.600,0.833,1.189
74,"(54, 100]","(50, 55]",Male,5,7,3,4,0.714,0.750,0.952,0.918
75,"(54, 100]","(55, 60]",Female,1,1,1,2,1.000,0.500,2.000,3.743
76,"(54, 100]","(55, 60]",Male,7,10,3,5,0.700,0.600,1.167,1.030
77,"(54, 100]","(60, 65]",Male,9,7,2,3,1.286,0.667,1.929,2.013
78,"(54, 100]","(65, 70]",Female,2,1,2,1,2.000,2.000,1.000,1.733
79,"(54, 100]","(65, 70]",Male,4,5,1,4,0.800,0.250,3.200,4.175
80,"(54, 100]","(70, 75]",Male,4,2,1,2,2.000,0.500,4.000,6.003
81,"(54, 100]","(75, 80]",Male,8,6,3,1,1.333,3.000,0.444,0.567
82,"(54, 100]","(80, 85]",Female,7,1,2,1,7.000,2.000,3.500,5.693
83,"(54, 100]","(85, 90]",Male,5,4,1,1,1.250,1.000,1.250,1.958
