,Age,R,DeltaR
0,2.5,1.0650906041452175,0.12807190092526588
1,7.5,1.0374056058568009,0.09790651241153903
2,12.5,1.1168134149246018,0.06679973085067398
3,17.5,1.2185236355627658,0.031408451242601235
4,22.5,1.2010041064481698,0.03794031952976204
5,27.5,1.1822833770166306,0.048143503334707044
6,32.5,1.1757872420087057,0.0556535018322384
7,37.5,1.1846910465421097,0.06106742975693407
8,42.5,1.1639084116119032,0.06147908334185108
9,47.5,1.0642943557031996,0.06070392885442195
10,52.5,1.0263497568857038,0.06037473151044604
11,57.5,0.9872745541440614,0.06426408114067392
12,62.5,0.8266261644245841,0.056430004663294904
13,67.5,0.9095242190440554,0.06282100358907575
14,72.5,0.8262121773110996,0.05389734552390647
15,77.5,0.8549186845118385,0.05578798233851357
16,82.5,0.9733244184157169,0.07028337950119617
17,87.5,0.8941716046022923,0.08621275586813996
18,92.5,1.3207560736395096,0.2572766736094198
19,97.5,1.3781512605042017,0.9533887823341891
