,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,497,434,1261,1510,1.145,0.835,1.371,0.125
1,"(15, 24]","(15, 22]",Male,486,323,5708,5193,1.505,1.099,1.369,0.123
2,"(15, 24]","(22, 27]",Female,134,110,652,744,1.218,0.876,1.390,0.206
3,"(15, 24]","(22, 27]",Male,138,77,1936,1526,1.792,1.269,1.413,0.218
4,"(15, 24]","(27, 32]",Female,46,31,283,265,1.484,1.068,1.389,0.351
5,"(15, 24]","(27, 32]",Male,44,35,692,469,1.257,1.475,0.852,0.204
6,"(15, 24]","(32, 37]",Female,64,37,125,103,1.730,1.214,1.425,0.357
7,"(15, 24]","(32, 37]",Male,40,29,387,233,1.379,1.661,0.830,0.218
8,"(15, 24]","(37, 42]",Female,65,29,106,62,2.241,1.710,1.311,0.366
9,"(15, 24]","(37, 42]",Male,36,18,260,162,2.000,1.605,1.246,0.386
10,"(15, 24]","(42, 47]",Female,40,20,55,26,2.000,2.115,0.945,0.346
11,"(15, 24]","(42, 47]",Male,42,14,237,107,3.000,2.215,1.354,0.452
12,"(15, 24]","(47, 52]",Female,25,8,52,16,3.125,3.250,0.962,0.480
13,"(15, 24]","(47, 52]",Male,14,3,176,50,4.667,3.520,1.326,0.872
14,"(15, 24]","(52, 57]",Female,7,1,22,17,7.000,1.294,5.409,6.047
15,"(15, 24]","(52, 57]",Male,6,1,102,40,6.000,2.550,2.353,2.582
16,"(15, 24]","(57, 62]",Female,5,2,15,4,2.500,3.750,0.667,0.673
17,"(15, 24]","(57, 62]",Male,8,4,67,15,2.000,4.467,0.448,0.303
18,"(15, 24]","(62, 67]",Female,4,1,18,7,4.000,2.571,1.556,1.874
19,"(24, 34]","(15, 22]",Female,41,47,97,167,0.872,0.581,1.502,0.381
20,"(24, 34]","(15, 22]",Male,146,116,644,739,1.259,0.871,1.444,0.209
21,"(24, 34]","(22, 27]",Female,84,82,340,447,1.024,0.761,1.347,0.240
22,"(24, 34]","(22, 27]",Male,205,134,1332,1265,1.530,1.053,1.453,0.186
23,"(24, 34]","(27, 32]",Female,84,81,521,565,1.037,0.922,1.125,0.196
24,"(24, 34]","(27, 32]",Male,182,107,1142,964,1.701,1.185,1.436,0.199
25,"(24, 34]","(32, 37]",Female,48,34,390,386,1.412,1.010,1.397,0.336
26,"(24, 34]","(32, 37]",Male,107,75,692,490,1.427,1.412,1.010,0.171
27,"(24, 34]","(37, 42]",Female,27,16,176,191,1.688,0.921,1.831,0.615
28,"(24, 34]","(37, 42]",Male,50,27,370,256,1.852,1.445,1.281,0.330
29,"(24, 34]","(42, 47]",Female,20,13,116,104,1.538,1.115,1.379,0.530
30,"(24, 34]","(42, 47]",Male,35,10,226,121,3.500,1.868,1.874,0.711
31,"(24, 34]","(47, 52]",Female,16,13,56,31,1.231,1.806,0.681,0.299
32,"(24, 34]","(47, 52]",Male,29,9,196,81,3.222,2.420,1.332,0.542
33,"(24, 34]","(52, 57]",Female,16,8,39,25,2.000,1.560,1.282,0.648
34,"(24, 34]","(52, 57]",Male,15,5,154,61,3.000,2.525,1.188,0.642
35,"(24, 34]","(57, 62]",Male,6,2,94,37,3.000,2.541,1.181,0.993
36,"(24, 34]","(62, 67]",Female,4,1,21,7,4.000,3.000,1.333,1.602
37,"(24, 34]","(62, 67]",Male,5,1,67,19,5.000,3.526,1.418,1.598
38,"(24, 34]","(72, 77]",Female,2,1,6,5,2.000,1.200,1.667,2.279
39,"(34, 54]","(15, 22]",Female,32,62,67,135,0.516,0.496,1.040,0.279
