,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,14,8,8,10,1.750,0.800,2.188,1.424
1,"(15, 24]","(0, 5]",Male,6,4,1,7,1.500,0.143,10.500,13.123
2,"(15, 24]","(5, 10]",Female,3,7,2,4,0.429,0.500,0.857,0.950
3,"(15, 24]","(5, 10]",Male,4,10,7,3,0.400,2.333,0.171,0.156
4,"(15, 24]","(10, 15]",Female,14,21,9,15,0.667,0.600,1.111,0.608
5,"(15, 24]","(10, 15]",Male,45,52,59,70,0.865,0.843,1.027,0.282
6,"(15, 24]","(15, 20]",Female,37,54,19,55,0.685,0.345,1.983,0.684
7,"(15, 24]","(15, 20]",Male,104,151,263,396,0.689,0.664,1.037,0.164
8,"(15, 24]","(20, 25]",Female,7,17,20,19,0.412,1.053,0.391,0.217
9,"(15, 24]","(20, 25]",Male,25,41,122,185,0.610,0.659,0.925,0.262
10,"(15, 24]","(25, 30]",Female,3,7,6,10,0.429,0.600,0.714,0.617
11,"(15, 24]","(25, 30]",Male,13,15,32,43,0.867,0.744,1.165,0.522
12,"(15, 24]","(30, 35]",Female,2,2,5,4,1.000,1.250,0.800,0.964
13,"(15, 24]","(30, 35]",Male,6,2,16,16,3.000,1.000,3.000,2.673
14,"(15, 24]","(35, 40]",Female,4,2,1,2,2.000,0.500,4.000,6.003
15,"(15, 24]","(35, 40]",Male,5,4,7,9,1.250,0.778,1.607,1.351
16,"(15, 24]","(40, 45]",Male,6,5,6,5,1.200,1.200,1.000,0.858
17,"(15, 24]","(45, 50]",Male,6,3,6,6,2.000,1.000,2.000,1.828
18,"(24, 34]","(0, 5]",Female,20,29,24,33,0.690,0.727,0.948,0.378
19,"(24, 34]","(0, 5]",Male,9,22,14,18,0.409,0.778,0.526,0.281
20,"(24, 34]","(5, 10]",Female,30,44,19,42,0.682,0.452,1.507,0.554
21,"(24, 34]","(5, 10]",Male,17,25,34,33,0.680,1.030,0.660,0.265
22,"(24, 34]","(10, 15]",Female,13,23,8,17,0.565,0.471,1.201,0.665
23,"(24, 34]","(10, 15]",Male,12,20,18,29,0.600,0.621,0.967,0.459
24,"(24, 34]","(15, 20]",Female,5,12,3,10,0.417,0.300,1.389,1.178
25,"(24, 34]","(15, 20]",Male,21,33,42,75,0.636,0.560,1.136,0.390
26,"(24, 34]","(20, 25]",Female,6,10,8,11,0.600,0.727,0.825,0.575
27,"(24, 34]","(20, 25]",Male,30,35,53,120,0.857,0.442,1.941,0.587
28,"(24, 34]","(25, 30]",Female,3,6,10,14,0.500,0.714,0.700,0.575
29,"(24, 34]","(25, 30]",Male,23,35,63,96,0.657,0.656,1.001,0.318
30,"(24, 34]","(30, 35]",Female,6,9,10,12,0.667,0.833,0.800,0.545
31,"(24, 34]","(30, 35]",Male,14,12,36,32,1.167,1.125,1.037,0.482
32,"(24, 34]","(35, 40]",Male,6,6,11,22,1.000,0.500,2.000,1.374
33,"(24, 34]","(40, 45]",Female,2,2,2,4,1.000,0.500,2.000,2.648
34,"(24, 34]","(40, 45]",Male,6,5,13,11,1.200,1.182,1.015,0.744
35,"(24, 34]","(45, 50]",Female,2,1,1,5,2.000,0.200,10.000,16.439
36,"(24, 34]","(45, 50]",Male,2,2,8,3,1.000,2.667,0.375,0.453
37,"(24, 34]","(50, 55]",Female,1,1,2,2,1.000,1.000,1.000,1.733
38,"(24, 34]","(50, 55]",Male,3,5,1,2,0.600,0.500,1.200,1.712
39,"(24, 34]","(55, 60]",Male,5,2,7,2,2.500,3.500,0.714,0.828
40,"(24, 34]","(60, 65]",Male,2,1,3,2,2.000,1.500,1.333,2.038
41,"(34, 54]","(0, 5]",Female,4,12,6,11,0.333,0.545,0.611,0.471
42,"(34, 54]","(0, 5]",Male,14,15,10,18,0.933,0.556,1.680,0.914
43,"(34, 54]","(5, 10]",Female,20,40,15,32,0.500,0.469,1.067,0.447
44,"(34, 54]","(5, 10]",Male,21,32,17,37,0.656,0.459,1.428,0.584
45,"(34, 54]","(10, 15]",Female,15,50,14,35,0.300,0.400,0.750,0.326
46,"(34, 54]","(10, 15]",Male,25,42,30,80,0.595,0.375,1.587,0.532
47,"(34, 54]","(15, 20]",Female,7,30,8,20,0.233,0.400,0.583,0.347
48,"(34, 54]","(15, 20]",Male,18,35,20,74,0.514,0.270,1.903,0.737
49,"(34, 54]","(20, 25]",Female,6,10,1,10,0.600,0.100,6.000,7.021
50,"(34, 54]","(20, 25]",Male,8,16,17,47,0.500,0.362,1.382,0.718
51,"(34, 54]","(25, 30]",Male,10,14,15,42,0.714,0.357,2.000,1.028
52,"(34, 54]","(30, 35]",Female,5,7,3,5,0.714,0.600,1.190,1.116
53,"(34, 54]","(30, 35]",Male,27,32,18,29,0.844,0.621,1.359,0.545
54,"(34, 54]","(35, 40]",Female,3,4,6,9,0.750,0.667,1.125,1.045
55,"(34, 54]","(35, 40]",Male,8,22,19,31,0.364,0.613,0.593,0.301
56,"(34, 54]","(40, 45]",Female,3,6,5,4,0.500,1.250,0.400,0.390
57,"(34, 54]","(40, 45]",Male,13,18,26,23,0.722,1.130,0.639,0.298
58,"(34, 54]","(45, 50]",Female,8,7,6,5,1.143,1.200,0.952,0.760
59,"(34, 54]","(45, 50]",Male,12,12,13,17,1.000,0.765,1.308,0.722
60,"(34, 54]","(50, 55]",Female,3,2,4,6,1.500,0.667,2.250,2.518
61,"(34, 54]","(50, 55]",Male,7,8,13,13,0.875,1.000,0.875,0.570
62,"(34, 54]","(55, 60]",Male,5,4,8,12,1.250,0.667,1.875,1.524
63,"(34, 54]","(60, 65]",Female,7,2,2,2,3.500,1.000,3.500,4.490
64,"(34, 54]","(60, 65]",Male,5,1,3,2,5.000,1.500,3.333,4.756
65,"(34, 54]","(65, 70]",Female,4,2,1,1,2.000,1.000,2.000,3.318
66,"(34, 54]","(65, 70]",Male,4,2,3,1,2.000,3.000,0.667,0.963
67,"(34, 54]","(70, 75]",Male,2,3,2,3,0.667,0.667,1.000,1.292
68,"(34, 54]","(75, 80]",Male,5,4,2,1,1.250,2.000,0.625,0.873
69,"(54, 100]","(0, 5]",Male,1,2,1,7,0.500,0.143,3.500,5.693
70,"(54, 100]","(5, 10]",Female,4,4,1,3,1.000,0.333,3.000,4.065
71,"(54, 100]","(5, 10]",Male,5,16,4,8,0.312,0.500,0.625,0.500
72,"(54, 100]","(10, 15]",Male,3,12,6,16,0.250,0.375,0.667,0.537
73,"(54, 100]","(15, 20]",Male,1,4,2,9,0.250,0.222,1.125,1.536
74,"(54, 100]","(20, 25]",Male,2,8,2,6,0.250,0.333,0.750,0.853
75,"(54, 100]","(25, 30]",Male,1,4,3,8,0.250,0.375,0.667,0.872
76,"(54, 100]","(30, 35]",Male,3,7,1,12,0.429,0.083,5.143,6.428
77,"(54, 100]","(35, 40]",Female,1,1,2,2,1.000,1.000,1.000,1.733
78,"(54, 100]","(35, 40]",Male,2,6,4,5,0.333,0.800,0.417,0.441
79,"(54, 100]","(40, 45]",Male,1,9,1,9,0.111,0.111,1.000,1.492
80,"(54, 100]","(45, 50]",Male,5,6,1,6,0.833,0.167,5.000,6.196
81,"(54, 100]","(50, 55]",Male,6,6,4,7,1.000,0.571,1.750,1.494
82,"(54, 100]","(55, 60]",Female,1,4,1,1,0.250,1.000,0.250,0.451
83,"(54, 100]","(55, 60]",Male,7,11,2,3,0.636,0.667,0.955,0.987
84,"(54, 100]","(60, 65]",Male,8,9,3,4,0.889,0.750,1.185,1.075
85,"(54, 100]","(70, 75]",Male,2,3,6,3,0.667,2.000,0.333,0.385
86,"(54, 100]","(75, 80]",Male,3,6,3,1,0.500,3.000,0.167,0.226
87,"(54, 100]","(80, 85]",Male,5,2,1,1,2.500,1.000,2.500,4.110
