,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,55,48,48,42,1.146,1.143,1.003,0.294
1,"(15, 24]","(0, 5]",Male,45,18,56,40,2.500,1.400,1.786,0.627
2,"(15, 24]","(5, 10]",Female,14,17,16,20,0.824,0.800,1.029,0.510
3,"(15, 24]","(5, 10]",Male,13,7,39,25,1.857,1.560,1.190,0.639
4,"(15, 24]","(10, 15]",Female,126,132,43,47,0.955,0.915,1.043,0.261
5,"(15, 24]","(10, 15]",Male,326,257,573,555,1.268,1.032,1.229,0.140
6,"(15, 24]","(15, 20]",Female,366,418,192,320,0.876,0.600,1.459,0.184
7,"(15, 24]","(15, 20]",Male,1339,1134,3913,4374,1.181,0.895,1.320,0.090
8,"(15, 24]","(20, 25]",Female,137,164,202,299,0.835,0.676,1.237,0.192
9,"(15, 24]","(20, 25]",Male,612,485,2428,2654,1.262,0.915,1.379,0.115
10,"(15, 24]","(25, 30]",Female,47,46,92,130,1.022,0.708,1.444,0.365
11,"(15, 24]","(25, 30]",Male,175,100,670,674,1.750,0.994,1.760,0.256
12,"(15, 24]","(30, 35]",Female,23,18,48,56,1.278,0.857,1.491,0.558
13,"(15, 24]","(30, 35]",Male,82,47,330,228,1.745,1.447,1.205,0.251
14,"(15, 24]","(35, 40]",Female,23,18,18,21,1.278,0.857,1.491,0.674
15,"(15, 24]","(35, 40]",Male,79,38,195,132,2.079,1.477,1.407,0.328
16,"(15, 24]","(40, 45]",Female,36,17,22,22,2.118,1.000,2.118,0.898
17,"(15, 24]","(40, 45]",Male,46,25,182,101,1.840,1.802,1.021,0.288
18,"(15, 24]","(45, 50]",Female,22,14,16,6,1.571,2.667,0.589,0.348
19,"(15, 24]","(45, 50]",Male,30,13,117,68,2.308,1.721,1.341,0.495
20,"(15, 24]","(50, 55]",Female,15,2,14,9,7.500,1.556,4.821,4.180
21,"(15, 24]","(50, 55]",Male,17,10,88,45,1.700,1.956,0.869,0.384
22,"(15, 24]","(55, 60]",Female,10,3,11,1,3.333,11.000,0.303,0.374
23,"(15, 24]","(55, 60]",Male,11,4,53,18,2.750,2.944,0.934,0.604
24,"(15, 24]","(60, 65]",Female,6,1,7,4,6.000,1.750,3.429,4.285
25,"(15, 24]","(60, 65]",Male,10,3,39,15,3.333,2.600,1.282,0.932
26,"(15, 24]","(65, 70]",Female,7,5,5,1,1.400,5.000,0.280,0.348
27,"(15, 24]","(65, 70]",Male,4,1,33,5,4.000,6.600,0.606,0.738
28,"(15, 24]","(70, 75]",Male,9,3,16,5,3.000,3.200,0.938,0.790
29,"(15, 24]","(75, 80]",Male,4,1,9,3,4.000,3.000,1.333,1.737
30,"(24, 34]","(0, 5]",Female,57,70,66,61,0.814,1.082,0.753,0.193
31,"(24, 34]","(0, 5]",Male,68,72,115,99,0.944,1.162,0.813,0.182
32,"(24, 34]","(5, 10]",Female,72,70,62,84,1.029,0.738,1.394,0.338
33,"(24, 34]","(5, 10]",Male,65,51,95,94,1.275,1.011,1.261,0.305
34,"(24, 34]","(10, 15]",Female,55,80,36,55,0.688,0.655,1.050,0.295
35,"(24, 34]","(10, 15]",Male,32,35,98,123,0.914,0.797,1.148,0.326
36,"(24, 34]","(15, 20]",Female,42,64,24,33,0.656,0.727,0.902,0.305
37,"(24, 34]","(15, 20]",Male,217,220,406,605,0.986,0.671,1.470,0.185
38,"(24, 34]","(20, 25]",Female,73,84,74,110,0.869,0.673,1.292,0.291
39,"(24, 34]","(20, 25]",Male,601,593,1085,1481,1.013,0.733,1.383,0.119
40,"(24, 34]","(25, 30]",Female,83,87,114,174,0.954,0.655,1.456,0.293
41,"(24, 34]","(25, 30]",Male,617,557,1170,1357,1.108,0.862,1.285,0.111
42,"(24, 34]","(30, 35]",Female,58,59,124,177,0.983,0.701,1.403,0.315
43,"(24, 34]","(30, 35]",Male,381,319,713,751,1.194,0.949,1.258,0.132
44,"(24, 34]","(35, 40]",Female,26,26,77,97,1.000,0.794,1.260,0.404
45,"(24, 34]","(35, 40]",Male,160,121,403,369,1.322,1.092,1.211,0.180
46,"(24, 34]","(40, 45]",Female,29,18,41,39,1.611,1.051,1.533,0.579
47,"(24, 34]","(40, 45]",Male,83,57,251,189,1.456,1.328,1.096,0.223
48,"(24, 34]","(45, 50]",Female,33,16,34,34,2.062,1.000,2.062,0.810
49,"(24, 34]","(45, 50]",Male,47,29,177,122,1.621,1.451,1.117,0.300
50,"(24, 34]","(50, 55]",Female,30,16,14,12,1.875,1.167,1.607,0.809
51,"(24, 34]","(50, 55]",Male,27,15,142,72,1.800,1.972,0.913,0.325
52,"(24, 34]","(55, 60]",Female,25,10,11,7,2.500,1.571,1.591,0.976
53,"(24, 34]","(55, 60]",Male,20,5,105,46,4.000,2.283,1.752,0.933
54,"(24, 34]","(60, 65]",Female,21,9,8,1,2.333,8.000,0.292,0.331
55,"(24, 34]","(60, 65]",Male,24,9,75,36,2.667,2.083,1.280,0.567
56,"(24, 34]","(65, 70]",Female,10,6,7,2,1.667,3.500,0.476,0.455
57,"(24, 34]","(65, 70]",Male,12,3,45,5,4.000,9.000,0.444,0.356
58,"(24, 34]","(70, 75]",Female,19,5,6,2,3.800,3.000,1.267,1.216
59,"(24, 34]","(70, 75]",Male,9,2,24,3,4.500,8.000,0.562,0.559
