,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,1413,1445,1443,1794,0.978,0.804,1.216,0.087
1,"(15, 24]","(15, 22]",Male,960,774,3318,3344,1.240,0.992,1.250,0.092
2,"(15, 24]","(22, 27]",Female,242,221,651,746,1.095,0.873,1.255,0.149
3,"(15, 24]","(22, 27]",Male,176,151,834,734,1.166,1.136,1.026,0.135
4,"(15, 24]","(27, 32]",Female,60,34,204,196,1.765,1.041,1.696,0.410
5,"(15, 24]","(27, 32]",Male,40,24,207,170,1.667,1.218,1.369,0.387
6,"(15, 24]","(32, 37]",Female,63,38,71,68,1.658,1.044,1.588,0.430
7,"(15, 24]","(32, 37]",Male,47,23,122,78,2.043,1.564,1.306,0.388
8,"(15, 24]","(37, 42]",Female,131,68,41,34,1.926,1.206,1.598,0.448
9,"(15, 24]","(37, 42]",Male,89,35,87,47,2.543,1.851,1.374,0.376
10,"(15, 24]","(42, 47]",Female,147,64,45,32,2.297,1.406,1.633,0.457
11,"(15, 24]","(42, 47]",Male,91,37,76,35,2.459,2.171,1.133,0.325
12,"(15, 24]","(47, 52]",Female,98,52,50,27,1.885,1.852,1.018,0.304
13,"(15, 24]","(47, 52]",Male,45,22,92,36,2.045,2.556,0.800,0.264
14,"(15, 24]","(52, 57]",Female,65,24,37,15,2.708,2.467,1.098,0.430
15,"(15, 24]","(52, 57]",Male,37,11,40,17,3.364,2.353,1.430,0.646
16,"(15, 24]","(57, 62]",Female,33,8,20,3,4.125,6.667,0.619,0.455
17,"(15, 24]","(57, 62]",Male,26,5,33,12,5.200,2.750,1.891,1.126
18,"(15, 24]","(62, 67]",Female,23,4,14,3,5.750,4.667,1.232,1.031
19,"(15, 24]","(62, 67]",Male,10,3,29,5,3.333,5.800,0.575,0.471
20,"(15, 24]","(67, 72]",Female,19,6,8,3,3.167,2.667,1.188,0.979
21,"(15, 24]","(67, 72]",Male,13,2,17,1,6.500,17.000,0.382,0.489
22,"(15, 24]","(72, 77]",Male,4,1,16,2,4.000,8.000,0.500,0.674
23,"(15, 24]","(77, 82]",Female,9,2,11,4,4.500,2.750,1.636,1.599
24,"(15, 24]","(77, 82]",Male,11,2,9,1,5.500,9.000,0.611,0.798
25,"(24, 34]","(15, 22]",Female,87,105,89,122,0.829,0.730,1.136,0.235
26,"(24, 34]","(15, 22]",Male,161,136,264,324,1.184,0.815,1.453,0.220
27,"(24, 34]","(22, 27]",Female,152,166,352,441,0.916,0.798,1.147,0.163
28,"(24, 34]","(22, 27]",Male,271,244,549,617,1.111,0.890,1.248,0.146
29,"(24, 34]","(27, 32]",Female,133,119,506,589,1.118,0.859,1.301,0.193
30,"(24, 34]","(27, 32]",Male,225,180,406,389,1.250,1.044,1.198,0.159
31,"(24, 34]","(32, 37]",Female,88,57,355,362,1.544,0.981,1.574,0.303
32,"(24, 34]","(32, 37]",Male,100,60,192,176,1.667,1.091,1.528,0.306
