,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.201,0.140,3.000
1,"(5, 10]",1.217,0.116,8.000
2,"(10, 15]",1.165,0.077,13.000
3,"(15, 20]",1.244,0.058,18.000
4,"(20, 25]",1.207,0.060,23.000
5,"(25, 30]",1.212,0.074,28.000
6,"(30, 35]",1.099,0.078,33.000
7,"(35, 40]",1.179,0.089,38.000
8,"(40, 45]",1.313,0.103,43.000
9,"(45, 50]",1.167,0.097,48.000
10,"(50, 55]",1.260,0.107,53.000
11,"(55, 60]",1.328,0.120,58.000
12,"(60, 65]",1.100,0.097,63.000
13,"(65, 70]",1.184,0.102,68.000
14,"(70, 75]",0.973,0.079,73.000
15,"(75, 80]",0.921,0.073,78.000
16,"(80, 85]",0.997,0.084,83.000
17,"(85, 90]",1.021,0.110,88.000
18,"(90, 95]",1.147,0.226,93.000
19,"(95, 100]",2.100,1.152,98.000
