,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,2993,2864,4663,5643,1.045,0.826,1.265,0.076
1,"(15, 24]","(15, 22]",Male,2209,1623,15503,15356,1.361,1.010,1.348,0.082
2,"(15, 24]","(22, 27]",Female,543,506,2139,2338,1.073,0.915,1.173,0.100
3,"(15, 24]","(22, 27]",Male,488,314,4194,3679,1.554,1.140,1.363,0.124
4,"(15, 24]","(27, 32]",Female,228,147,772,790,1.551,0.977,1.587,0.202
5,"(15, 24]","(27, 32]",Male,171,102,1277,882,1.676,1.448,1.158,0.164
6,"(15, 24]","(32, 37]",Female,166,93,288,224,1.785,1.286,1.388,0.229
7,"(15, 24]","(32, 37]",Male,132,65,526,326,2.031,1.613,1.259,0.220
8,"(15, 24]","(37, 42]",Female,201,95,149,89,2.116,1.674,1.264,0.240
9,"(15, 24]","(37, 42]",Male,124,54,307,172,2.296,1.785,1.287,0.251
10,"(15, 24]","(42, 47]",Female,157,66,93,56,2.379,1.661,1.432,0.329
11,"(15, 24]","(42, 47]",Male,84,36,237,88,2.333,2.693,0.866,0.208
12,"(15, 24]","(47, 52]",Female,94,36,74,37,2.611,2.000,1.306,0.373
13,"(15, 24]","(47, 52]",Male,43,12,191,58,3.583,3.293,1.088,0.395
14,"(15, 24]","(52, 57]",Female,70,26,49,20,2.692,2.450,1.099,0.390
15,"(15, 24]","(52, 57]",Male,24,12,92,26,2.000,3.538,0.565,0.238
16,"(15, 24]","(57, 62]",Female,41,12,34,13,3.417,2.615,1.306,0.608
17,"(15, 24]","(57, 62]",Male,31,5,59,22,6.200,2.682,2.312,1.260
18,"(15, 24]","(62, 67]",Female,25,5,34,8,5.000,4.250,1.176,0.741
19,"(15, 24]","(62, 67]",Male,17,8,54,12,2.125,4.500,0.472,0.253
20,"(15, 24]","(67, 72]",Male,9,3,24,6,3.000,4.000,0.750,0.607
21,"(15, 24]","(72, 77]",Female,3,2,16,3,1.500,5.333,0.281,0.312
22,"(15, 24]","(77, 82]",Female,4,1,4,1,4.000,4.000,1.000,1.582
23,"(24, 34]","(15, 22]",Female,235,246,328,501,0.955,0.655,1.459,0.184
24,"(24, 34]","(15, 22]",Male,467,422,1529,1707,1.107,0.896,1.235,0.112
25,"(24, 34]","(22, 27]",Female,396,390,943,1224,1.015,0.770,1.318,0.128
26,"(24, 34]","(22, 27]",Male,667,564,2519,2600,1.183,0.969,1.221,0.099
27,"(24, 34]","(27, 32]",Female,310,298,1235,1493,1.040,0.827,1.258,0.129
28,"(24, 34]","(27, 32]",Male,501,357,1834,1772,1.403,1.035,1.356,0.124
29,"(24, 34]","(32, 37]",Female,186,164,857,919,1.134,0.933,1.216,0.155
30,"(24, 34]","(32, 37]",Male,251,157,897,741,1.599,1.211,1.321,0.163
31,"(24, 34]","(37, 42]",Female,98,65,387,381,1.508,1.016,1.484,0.271
32,"(24, 34]","(37, 42]",Male,124,66,439,295,1.879,1.488,1.263,0.224
33,"(24, 34]","(42, 47]",Female,60,50,182,128,1.200,1.422,0.844,0.193
34,"(24, 34]","(42, 47]",Male,74,35,243,141,2.114,1.723,1.227,0.290
35,"(24, 34]","(47, 52]",Female,86,44,106,63,1.955,1.683,1.162,0.290
36,"(24, 34]","(47, 52]",Male,47,23,173,83,2.043,2.084,0.980,0.286
37,"(24, 34]","(52, 57]",Female,73,38,89,39,1.921,2.282,0.842,0.237
38,"(24, 34]","(52, 57]",Male,27,8,115,48,3.375,2.396,1.409,0.621
39,"(24, 34]","(57, 62]",Female,46,15,54,25,3.067,2.160,1.420,0.549
40,"(24, 34]","(57, 62]",Male,20,6,73,26,3.333,2.808,1.187,0.618
