,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,84,95,101,101,0.884,1.000,0.884,0.187
1,"(15, 24]","(0, 5]",Male,62,47,72,63,1.319,1.143,1.154,0.305
2,"(15, 24]","(5, 10]",Female,30,48,30,41,0.625,0.732,0.854,0.289
3,"(15, 24]","(5, 10]",Male,29,38,34,34,0.763,1.000,0.763,0.267
4,"(15, 24]","(10, 15]",Female,126,180,71,106,0.700,0.670,1.045,0.208
5,"(15, 24]","(10, 15]",Male,279,379,410,527,0.736,0.778,0.946,0.108
6,"(15, 24]","(15, 20]",Female,307,431,201,394,0.712,0.510,1.396,0.174
7,"(15, 24]","(15, 20]",Male,714,827,1927,2657,0.863,0.725,1.190,0.092
8,"(15, 24]","(20, 25]",Female,83,114,105,149,0.728,0.705,1.033,0.205
9,"(15, 24]","(20, 25]",Male,171,216,780,1013,0.792,0.770,1.028,0.127
10,"(15, 24]","(25, 30]",Female,20,19,28,48,1.053,0.583,1.805,0.726
11,"(15, 24]","(25, 30]",Male,48,49,186,235,0.980,0.791,1.238,0.286
12,"(15, 24]","(30, 35]",Female,12,12,16,22,1.000,0.727,1.375,0.724
13,"(15, 24]","(30, 35]",Male,27,18,66,78,1.500,0.846,1.773,0.622
14,"(15, 24]","(35, 40]",Female,12,10,7,8,1.200,0.875,1.371,0.924
15,"(15, 24]","(35, 40]",Male,16,18,32,27,0.889,1.185,0.750,0.326
16,"(15, 24]","(40, 45]",Female,15,13,5,2,1.154,2.500,0.462,0.425
17,"(15, 24]","(40, 45]",Male,25,8,41,28,3.125,1.464,2.134,1.018
18,"(15, 24]","(45, 50]",Female,12,4,9,4,3.000,2.250,1.333,1.113
19,"(15, 24]","(45, 50]",Male,11,12,27,12,0.917,2.250,0.407,0.222
20,"(15, 24]","(50, 55]",Female,10,2,2,2,5.000,1.000,5.000,6.329
21,"(15, 24]","(50, 55]",Male,14,5,16,9,2.800,1.778,1.575,1.054
22,"(15, 24]","(55, 60]",Female,4,4,5,1,1.000,5.000,0.200,0.261
23,"(15, 24]","(55, 60]",Male,9,5,14,2,1.800,7.000,0.257,0.242
24,"(15, 24]","(60, 65]",Male,3,1,5,1,3.000,5.000,0.600,0.955
25,"(15, 24]","(65, 70]",Female,2,3,1,1,0.667,1.000,0.667,1.123
26,"(15, 24]","(65, 70]",Male,6,2,7,3,3.000,2.333,1.286,1.376
27,"(24, 34]","(0, 5]",Female,114,147,101,134,0.776,0.754,1.029,0.194
28,"(24, 34]","(0, 5]",Male,104,103,110,117,1.010,0.940,1.074,0.213
29,"(24, 34]","(5, 10]",Female,114,160,109,176,0.713,0.619,1.150,0.207
30,"(24, 34]","(5, 10]",Male,63,111,107,138,0.568,0.775,0.732,0.154
31,"(24, 34]","(10, 15]",Female,63,108,43,87,0.583,0.494,1.180,0.295
32,"(24, 34]","(10, 15]",Male,42,67,67,104,0.627,0.644,0.973,0.250
33,"(24, 34]","(15, 20]",Female,28,59,13,50,0.475,0.260,1.825,0.712
34,"(24, 34]","(15, 20]",Male,84,144,193,330,0.583,0.585,0.997,0.171
35,"(24, 34]","(20, 25]",Female,36,57,33,74,0.632,0.446,1.416,0.429
36,"(24, 34]","(20, 25]",Male,101,139,273,431,0.727,0.633,1.147,0.183
