,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,Unbelted drivers,18643,59143,77786
1,Car,Unbelted right front passengers,41845,47305,89150
2,Car,Belted drivers,12747,24179,36926
3,Car,Belted right front passengers,29660,17591,47251
4,Car,Unbelted left rear passengers,4813,7017,11830
5,Car,Unbelted right rear passengers,5563,8110,13673
0,Light truck,Unbelted drivers,4620,27486,32106
1,Light truck,Unbelted right front passengers,12459,20902,33361
2,Light truck,Belted drivers,3610,10397,14007
3,Light truck,Belted right front passengers,8933,6566,15499
4,Light truck,Unbelted left rear passengers,872,1314,2186
5,Light truck,Unbelted right rear passengers,988,1449,2437
0,Motorcycle,Helmeted Motorcycle Passenger,3687,1211,4898
1,Motorcycle,Unhelmeted Motorcycle Passenger,4496,1956,6452
