,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.214,0.097,19.000
1,"(22, 27]",1.110,0.121,25.000
2,"(27, 32]",1.238,0.166,30.000
3,"(32, 37]",1.125,0.183,35.000
4,"(37, 42]",1.216,0.207,40.000
5,"(42, 47]",1.085,0.184,45.000
6,"(47, 52]",0.928,0.147,50.000
7,"(52, 57]",1.030,0.155,55.000
8,"(57, 62]",0.776,0.121,60.000
9,"(62, 67]",0.656,0.099,65.000
10,"(67, 72]",0.800,0.126,70.000
11,"(72, 77]",0.736,0.118,75.000
12,"(77, 82]",0.847,0.139,80.000
13,"(82, 87]",0.894,0.167,85.000
14,"(87, 92]",0.990,0.261,90.000
15,"(92, 97]",1.556,1.026,95.000
