,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,3,3,1,2,1.000,0.500,2.000,2.946
1,"(15, 24]","(10, 15]",Female,41,47,27,31,0.872,0.871,1.002,0.343
2,"(15, 24]","(10, 15]",Male,44,39,68,69,1.128,0.986,1.145,0.324
3,"(15, 24]","(15, 20]",Female,195,218,100,129,0.894,0.775,1.154,0.200
4,"(15, 24]","(15, 20]",Male,336,307,516,526,1.094,0.981,1.116,0.125
5,"(15, 24]","(20, 25]",Female,86,78,107,103,1.103,1.039,1.061,0.228
6,"(15, 24]","(20, 25]",Male,173,152,352,322,1.138,1.093,1.041,0.150
7,"(15, 24]","(25, 30]",Female,24,14,35,34,1.714,1.029,1.665,0.694
8,"(15, 24]","(25, 30]",Male,21,28,68,53,0.750,1.283,0.585,0.202
9,"(15, 24]","(30, 35]",Female,7,11,14,19,0.636,0.737,0.864,0.518
10,"(15, 24]","(30, 35]",Male,13,11,25,17,1.182,1.471,0.804,0.417
11,"(15, 24]","(35, 40]",Female,5,10,6,5,0.500,1.200,0.417,0.341
12,"(15, 24]","(35, 40]",Male,21,14,16,13,1.500,1.231,1.219,0.623
13,"(15, 24]","(40, 45]",Female,13,10,8,5,1.300,1.600,0.812,0.577
14,"(15, 24]","(40, 45]",Male,17,7,19,10,2.429,1.900,1.278,0.764
15,"(15, 24]","(45, 50]",Female,17,6,3,4,2.833,0.750,3.778,3.403
16,"(15, 24]","(45, 50]",Male,13,9,11,5,1.444,2.200,0.657,0.456
17,"(15, 24]","(50, 55]",Female,19,11,7,2,1.727,3.500,0.494,0.438
18,"(15, 24]","(50, 55]",Male,12,2,17,4,6.000,4.250,1.412,1.335
19,"(15, 24]","(55, 60]",Female,9,4,2,4,2.250,0.500,4.500,4.749
20,"(15, 24]","(55, 60]",Male,7,1,11,2,7.000,5.500,1.273,1.677
21,"(15, 24]","(60, 65]",Male,7,1,8,4,7.000,2.000,3.500,4.316
22,"(15, 24]","(65, 70]",Female,8,3,4,1,2.667,4.000,0.667,0.872
23,"(15, 24]","(70, 75]",Female,10,1,2,1,10.000,2.000,5.000,8.066
24,"(24, 34]","(0, 5]",Female,4,2,1,7,2.000,0.143,14.000,19.274
25,"(24, 34]","(0, 5]",Male,1,1,1,3,1.000,0.333,3.000,5.479
26,"(24, 34]","(5, 10]",Female,18,17,11,12,1.059,0.917,1.155,0.623
27,"(24, 34]","(5, 10]",Male,7,8,8,7,0.875,1.143,0.766,0.562
28,"(24, 34]","(10, 15]",Female,15,17,7,16,0.882,0.438,2.017,1.164
29,"(24, 34]","(10, 15]",Male,7,5,7,16,1.400,0.438,3.200,2.375
30,"(24, 34]","(15, 20]",Female,8,10,8,9,0.800,0.889,0.900,0.613
31,"(24, 34]","(15, 20]",Male,30,38,27,31,0.789,0.871,0.906,0.329
32,"(24, 34]","(20, 25]",Female,22,27,28,33,0.815,0.848,0.960,0.373
33,"(24, 34]","(20, 25]",Male,139,141,126,138,0.986,0.913,1.080,0.193
34,"(24, 34]","(25, 30]",Female,45,40,60,85,1.125,0.706,1.594,0.446
35,"(24, 34]","(25, 30]",Male,176,139,133,127,1.266,1.047,1.209,0.212
36,"(24, 34]","(30, 35]",Female,26,26,41,51,1.000,0.804,1.244,0.437
37,"(24, 34]","(30, 35]",Male,78,72,63,59,1.083,1.068,1.015,0.253
38,"(24, 34]","(35, 40]",Female,19,8,15,21,2.375,0.714,3.325,1.804
39,"(24, 34]","(35, 40]",Male,33,17,30,33,1.941,0.909,2.135,0.841
40,"(24, 34]","(40, 45]",Female,5,4,9,14,1.250,0.643,1.944,1.550
41,"(24, 34]","(40, 45]",Male,16,9,19,18,1.778,1.056,1.684,0.898
42,"(24, 34]","(45, 50]",Female,11,7,7,9,1.571,0.778,2.020,1.415
43,"(24, 34]","(45, 50]",Male,14,6,21,13,2.333,1.615,1.444,0.873
44,"(24, 34]","(50, 55]",Female,21,12,2,3,1.750,0.667,2.625,2.581
45,"(24, 34]","(50, 55]",Male,10,1,15,11,10.000,1.364,7.333,8.232
46,"(24, 34]","(55, 60]",Female,24,6,11,4,4.000,2.750,1.455,1.080
47,"(24, 34]","(55, 60]",Male,13,6,10,4,2.167,2.500,0.867,0.669
48,"(24, 34]","(60, 65]",Female,9,3,4,1,3.000,4.000,0.750,0.977
49,"(24, 34]","(65, 70]",Male,9,2,1,1,4.500,1.000,4.500,7.275
50,"(34, 54]","(0, 5]",Female,3,4,4,1,0.750,4.000,0.188,0.254
51,"(34, 54]","(5, 10]",Female,15,22,7,15,0.682,0.467,1.461,0.832
52,"(34, 54]","(5, 10]",Male,4,11,10,13,0.364,0.769,0.473,0.341
53,"(34, 54]","(10, 15]",Female,37,57,19,56,0.649,0.339,1.913,0.656
54,"(34, 54]","(10, 15]",Male,10,19,22,48,0.526,0.458,1.148,0.540
55,"(34, 54]","(15, 20]",Female,32,73,18,54,0.438,0.333,1.315,0.458
56,"(34, 54]","(15, 20]",Male,11,27,22,39,0.407,0.564,0.722,0.324
57,"(34, 54]","(20, 25]",Female,24,27,16,16,0.889,1.000,0.889,0.404
58,"(34, 54]","(20, 25]",Male,23,29,27,35,0.793,0.771,1.028,0.393
59,"(34, 54]","(25, 30]",Female,11,17,11,23,0.647,0.478,1.353,0.724
60,"(34, 54]","(25, 30]",Male,37,59,39,46,0.627,0.848,0.740,0.227
61,"(34, 54]","(30, 35]",Female,16,29,21,21,0.552,1.000,0.552,0.243
62,"(34, 54]","(30, 35]",Male,56,71,38,59,0.789,0.644,1.225,0.341
63,"(34, 54]","(35, 40]",Female,17,17,33,36,1.000,0.917,1.091,0.461
64,"(34, 54]","(35, 40]",Male,78,90,39,34,0.867,1.147,0.756,0.216
65,"(34, 54]","(40, 45]",Female,27,19,30,42,1.421,0.714,1.989,0.769
66,"(34, 54]","(40, 45]",Male,99,99,43,46,1.000,0.935,1.070,0.278
67,"(34, 54]","(45, 50]",Female,16,21,36,51,0.762,0.706,1.079,0.432
68,"(34, 54]","(45, 50]",Male,97,89,34,35,1.090,0.971,1.122,0.321
69,"(34, 54]","(50, 55]",Female,27,18,50,41,1.500,1.220,1.230,0.459
70,"(34, 54]","(50, 55]",Male,65,64,27,28,1.016,0.964,1.053,0.343
71,"(34, 54]","(55, 60]",Female,40,16,30,24,2.500,1.250,2.000,0.812
72,"(34, 54]","(55, 60]",Male,34,22,22,13,1.545,1.692,0.913,0.408
73,"(34, 54]","(60, 65]",Female,28,10,17,12,2.800,1.417,1.976,1.047
74,"(34, 54]","(60, 65]",Male,28,12,23,13,2.333,1.769,1.319,0.649
75,"(34, 54]","(65, 70]",Female,32,11,11,7,2.909,1.571,1.851,1.108
76,"(34, 54]","(65, 70]",Male,26,3,16,6,8.667,2.667,3.250,2.525
77,"(34, 54]","(70, 75]",Female,36,7,5,5,5.143,1.000,5.143,3.893
78,"(34, 54]","(70, 75]",Male,31,6,5,2,5.167,2.500,2.067,1.962
79,"(34, 54]","(75, 80]",Female,26,7,13,2,3.714,6.500,0.571,0.498
80,"(34, 54]","(75, 80]",Male,24,6,15,4,4.000,3.750,1.067,0.775
81,"(34, 54]","(80, 85]",Male,17,4,8,4,4.250,2.000,2.125,1.760
82,"(34, 54]","(85, 90]",Male,10,1,4,1,10.000,4.000,2.500,3.834
83,"(34, 54]","(90, 95]",Male,8,1,2,1,8.000,2.000,4.000,6.484
84,"(54, 100]","(5, 10]",Female,4,17,2,13,0.235,0.154,1.529,1.441
85,"(54, 100]","(10, 15]",Female,5,31,10,35,0.161,0.286,0.565,0.340
86,"(54, 100]","(10, 15]",Male,4,16,4,26,0.250,0.154,1.625,1.262
87,"(54, 100]","(15, 20]",Female,7,31,4,24,0.226,0.167,1.355,0.928
88,"(54, 100]","(15, 20]",Male,5,21,8,32,0.238,0.250,0.952,0.607
89,"(54, 100]","(20, 25]",Female,12,21,3,12,0.571,0.250,2.286,1.695
90,"(54, 100]","(20, 25]",Male,6,17,5,16,0.353,0.312,1.129,0.791
91,"(54, 100]","(25, 30]",Female,6,13,4,7,0.462,0.571,0.808,0.646
92,"(54, 100]","(25, 30]",Male,4,19,5,22,0.211,0.227,0.926,0.687
93,"(54, 100]","(30, 35]",Female,8,16,1,4,0.500,0.250,2.000,2.400
94,"(54, 100]","(30, 35]",Male,5,22,5,20,0.227,0.250,0.909,0.642
95,"(54, 100]","(35, 40]",Female,3,13,6,11,0.231,0.545,0.423,0.346
96,"(54, 100]","(35, 40]",Male,5,24,15,20,0.208,0.750,0.278,0.167
97,"(54, 100]","(40, 45]",Female,12,21,12,19,0.571,0.632,0.905,0.470
98,"(54, 100]","(40, 45]",Male,18,23,11,34,0.783,0.324,2.419,1.139
99,"(54, 100]","(45, 50]",Female,8,26,9,19,0.308,0.474,0.650,0.373
100,"(54, 100]","(45, 50]",Male,40,48,7,19,0.833,0.368,2.262,1.117
101,"(54, 100]","(50, 55]",Female,25,39,13,31,0.641,0.419,1.529,0.644
102,"(54, 100]","(50, 55]",Male,79,114,23,31,0.693,0.742,0.934,0.295
103,"(54, 100]","(55, 60]",Female,31,49,31,55,0.633,0.564,1.122,0.365
104,"(54, 100]","(55, 60]",Male,164,167,30,27,0.982,1.111,0.884,0.258
105,"(54, 100]","(60, 65]",Female,31,30,61,54,1.033,1.130,0.915,0.294
106,"(54, 100]","(60, 65]",Male,192,174,28,34,1.103,0.824,1.340,0.376
107,"(54, 100]","(65, 70]",Female,52,41,58,53,1.268,1.094,1.159,0.332
108,"(54, 100]","(65, 70]",Male,250,222,28,28,1.126,1.000,1.126,0.323
109,"(54, 100]","(70, 75]",Female,59,60,80,49,0.983,1.633,0.602,0.158
110,"(54, 100]","(70, 75]",Male,290,276,24,17,1.051,1.412,0.744,0.247
