,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.085,0.665,3.000
1,"(5, 10]",1.647,0.778,8.000
2,"(10, 15]",1.573,0.499,13.000
3,"(15, 20]",1.164,0.128,18.000
4,"(20, 25]",1.265,0.130,23.000
5,"(25, 30]",1.194,0.156,28.000
6,"(30, 35]",1.149,0.184,33.000
7,"(35, 40]",1.492,0.318,38.000
8,"(40, 45]",1.218,0.289,43.000
9,"(45, 50]",1.274,0.333,48.000
10,"(50, 55]",1.034,0.269,53.000
11,"(55, 60]",0.989,0.381,58.000
12,"(60, 65]",1.051,0.658,63.000
13,"(65, 70]",1.234,0.588,68.000
14,"(70, 75]",0.824,0.489,73.000
15,"(75, 80]",0.686,0.422,78.000
16,"(80, 85]",1.737,1.078,83.000
17,"(85, 90]",2.061,1.298,88.000
18,"(90, 95]",6.000,8.837,93.000
