,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,8,5,4,4,1.600,1.000,1.600,1.455
1,"(15, 24]","(10, 15]",Male,3,2,2,3,1.500,0.667,2.250,2.907
2,"(15, 24]","(15, 20]",Female,1,2,2,5,0.500,0.400,1.250,1.855
3,"(15, 24]","(15, 20]",Male,3,6,13,7,0.500,1.857,0.269,0.229
4,"(24, 34]","(0, 5]",Female,12,10,15,23,1.200,0.652,1.840,1.001
5,"(24, 34]","(0, 5]",Male,6,9,8,10,0.667,0.800,0.833,0.592
6,"(24, 34]","(5, 10]",Female,5,6,6,5,0.833,1.200,0.694,0.596
7,"(24, 34]","(5, 10]",Male,1,1,3,4,1.000,0.750,1.333,2.144
8,"(24, 34]","(30, 35]",Female,1,1,1,1,1.000,1.000,1.000,2.001
9,"(24, 34]","(30, 35]",Male,1,1,3,2,1.000,1.500,0.667,1.123
10,"(34, 54]","(0, 5]",Female,9,8,8,10,1.125,0.800,1.406,0.958
11,"(34, 54]","(0, 5]",Male,6,7,4,6,0.857,0.667,1.286,1.098
12,"(34, 54]","(5, 10]",Female,2,6,3,11,0.333,0.273,1.222,1.278
13,"(34, 54]","(5, 10]",Male,2,8,10,10,0.250,1.000,0.250,0.227
14,"(34, 54]","(10, 15]",Female,4,7,5,7,0.571,0.714,0.800,0.687
15,"(34, 54]","(10, 15]",Male,4,14,4,7,0.286,0.571,0.500,0.423
16,"(34, 54]","(15, 20]",Female,1,3,2,5,0.333,0.400,0.833,1.189
17,"(34, 54]","(15, 20]",Male,1,5,5,5,0.200,1.000,0.200,0.253
18,"(34, 54]","(20, 25]",Male,2,1,2,2,2.000,1.000,2.000,3.164
19,"(34, 54]","(30, 35]",Male,3,1,1,2,3.000,0.500,6.000,10.104
20,"(34, 54]","(35, 40]",Male,5,3,4,3,1.667,1.333,1.250,1.322
21,"(34, 54]","(50, 55]",Male,2,3,1,2,0.667,0.500,1.333,2.038
22,"(34, 54]","(60, 65]",Female,1,1,1,1,1.000,1.000,1.000,2.001
23,"(54, 100]","(5, 10]",Female,3,3,2,5,1.000,0.400,2.500,2.925
24,"(54, 100]","(60, 65]",Male,3,5,2,1,0.600,2.000,0.300,0.428
25,"(54, 100]","(65, 70]",Male,1,2,1,1,0.500,1.000,0.500,0.936
