,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.600,0.955,3.000
1,"(5, 10]",0.588,0.481,8.000
2,"(10, 15]",1.154,0.386,13.000
3,"(15, 20]",1.357,0.227,18.000
4,"(20, 25]",1.475,0.227,23.000
5,"(25, 30]",1.388,0.265,28.000
6,"(30, 35]",1.079,0.264,33.000
7,"(35, 40]",1.304,0.312,38.000
8,"(40, 45]",1.047,0.279,43.000
9,"(45, 50]",1.252,0.349,48.000
10,"(50, 55]",1.077,0.359,53.000
11,"(55, 60]",0.497,0.204,58.000
12,"(60, 65]",0.924,0.389,63.000
13,"(65, 70]",0.417,0.311,68.000
14,"(70, 75]",2.308,2.123,73.000
15,"(75, 80]",0.582,0.484,78.000
16,"(80, 85]",0.648,0.567,83.000
