,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,8,6,1,3,1.333,0.333,4.000,5.103
1,"(15, 24]","(0, 5]",Male,2,2,3,1,1.000,3.000,0.333,0.509
2,"(15, 24]","(10, 15]",Male,2,1,3,2,2.000,1.500,1.333,2.038
3,"(15, 24]","(15, 20]",Female,8,6,2,3,1.333,0.667,2.000,2.124
4,"(15, 24]","(15, 20]",Male,3,3,11,15,1.000,0.733,1.364,1.240
5,"(15, 24]","(20, 25]",Female,6,2,2,2,3.000,1.000,3.000,3.876
6,"(15, 24]","(20, 25]",Male,1,4,6,9,0.250,0.667,0.375,0.464
7,"(24, 34]","(0, 5]",Female,9,11,11,15,0.818,0.733,1.116,0.671
8,"(24, 34]","(0, 5]",Male,5,3,4,1,1.667,4.000,0.417,0.557
9,"(24, 34]","(5, 10]",Female,6,5,7,4,1.200,1.750,0.686,0.599
10,"(24, 34]","(20, 25]",Male,3,3,3,2,1.000,1.500,0.667,0.817
11,"(24, 34]","(25, 30]",Male,2,1,3,5,2.000,0.600,3.333,4.756
12,"(24, 34]","(30, 35]",Female,3,2,1,1,1.500,1.000,1.500,2.526
13,"(34, 54]","(0, 5]",Female,7,6,4,6,1.167,0.667,1.750,1.494
14,"(34, 54]","(5, 10]",Female,3,10,5,5,0.300,1.000,0.300,0.274
15,"(34, 54]","(5, 10]",Male,4,2,3,4,2.000,0.750,2.667,3.082
16,"(34, 54]","(10, 15]",Male,3,5,1,2,0.600,0.500,1.200,1.712
17,"(34, 54]","(15, 20]",Male,1,3,3,5,0.333,0.600,0.556,0.760
18,"(54, 100]","(10, 15]",Male,1,3,1,2,0.333,0.500,0.667,1.123
19,"(54, 100]","(15, 20]",Male,3,3,1,2,1.000,0.500,2.000,2.946
20,"(54, 100]","(35, 40]",Female,1,1,1,1,1.000,1.000,1.000,2.001
21,"(54, 100]","(65, 70]",Female,1,1,2,1,1.000,2.000,0.500,0.936
