,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,25,31,17,22,0.806,0.773,1.044,0.442
1,"(15, 24]","(10, 15]",Male,22,23,48,43,0.957,1.116,0.857,0.315
2,"(15, 24]","(15, 20]",Female,123,139,59,93,0.885,0.634,1.395,0.298
3,"(15, 24]","(15, 20]",Male,204,210,327,304,0.971,1.076,0.903,0.123
4,"(15, 24]","(20, 25]",Female,52,50,66,66,1.040,1.000,1.040,0.279
5,"(15, 24]","(20, 25]",Male,103,97,233,191,1.062,1.220,0.870,0.156
6,"(15, 24]","(25, 30]",Female,13,9,19,20,1.444,0.950,1.520,0.823
7,"(15, 24]","(25, 30]",Male,10,18,39,34,0.556,1.147,0.484,0.224
8,"(15, 24]","(30, 35]",Female,5,7,8,11,0.714,0.727,0.982,0.736
9,"(15, 24]","(30, 35]",Male,8,9,17,14,0.889,1.214,0.732,0.445
10,"(15, 24]","(35, 40]",Male,10,6,12,10,1.667,1.200,1.389,0.934
11,"(15, 24]","(40, 45]",Female,5,6,6,4,0.833,1.500,0.556,0.492
12,"(15, 24]","(40, 45]",Male,10,5,11,7,2.000,1.571,1.273,0.932
13,"(15, 24]","(45, 50]",Female,11,5,2,3,2.200,0.667,3.300,3.503
14,"(15, 24]","(45, 50]",Male,6,5,6,5,1.200,1.200,1.000,0.858
15,"(15, 24]","(50, 55]",Female,17,10,3,2,1.700,1.500,1.133,1.130
16,"(15, 24]","(50, 55]",Male,10,1,9,2,10.000,4.500,2.222,2.909
17,"(15, 24]","(55, 60]",Male,6,1,5,1,6.000,5.000,1.200,1.847
18,"(15, 24]","(70, 75]",Female,8,1,1,1,8.000,1.000,8.000,14.148
19,"(24, 34]","(5, 10]",Female,9,12,4,6,0.750,0.667,1.125,0.881
20,"(24, 34]","(5, 10]",Male,4,4,6,5,1.000,1.200,0.833,0.777
21,"(24, 34]","(10, 15]",Female,11,11,6,10,1.000,0.600,1.667,1.119
22,"(24, 34]","(10, 15]",Male,2,2,6,11,1.000,0.545,1.833,2.058
23,"(24, 34]","(15, 20]",Female,5,7,4,3,0.714,1.333,0.536,0.516
24,"(24, 34]","(15, 20]",Male,23,28,17,19,0.821,0.895,0.918,0.403
25,"(24, 34]","(20, 25]",Female,13,19,18,25,0.684,0.720,0.950,0.453
26,"(24, 34]","(20, 25]",Male,90,93,67,75,0.968,0.893,1.083,0.249
27,"(24, 34]","(25, 30]",Female,34,28,41,58,1.214,0.707,1.718,0.568
28,"(24, 34]","(25, 30]",Male,117,94,72,69,1.245,1.043,1.193,0.267
29,"(24, 34]","(30, 35]",Female,18,19,21,25,0.947,0.840,1.128,0.502
30,"(24, 34]","(30, 35]",Male,53,43,33,37,1.233,0.892,1.382,0.441
31,"(24, 34]","(35, 40]",Female,14,5,12,20,2.800,0.600,4.667,2.978
32,"(24, 34]","(35, 40]",Male,21,10,22,23,2.100,0.957,2.195,1.073
33,"(24, 34]","(40, 45]",Female,3,3,6,11,1.000,0.545,1.833,1.765
34,"(24, 34]","(40, 45]",Male,5,4,13,14,1.250,0.929,1.346,1.043
35,"(24, 34]","(45, 50]",Female,9,5,6,6,1.800,1.000,1.800,1.448
36,"(24, 34]","(45, 50]",Male,6,5,13,8,1.200,1.625,0.738,0.558
37,"(24, 34]","(50, 55]",Female,14,9,1,3,1.556,0.333,4.667,5.750
38,"(24, 34]","(50, 55]",Male,7,1,10,9,7.000,1.111,6.300,7.337
39,"(24, 34]","(55, 60]",Female,20,6,7,2,3.333,3.500,0.952,0.884
40,"(24, 34]","(55, 60]",Male,8,2,7,2,4.000,3.500,1.143,1.288
41,"(24, 34]","(60, 65]",Female,6,2,4,1,3.000,4.000,0.750,1.039
42,"(34, 54]","(0, 5]",Female,2,2,3,1,1.000,3.000,0.333,0.509
43,"(34, 54]","(5, 10]",Female,11,13,2,7,0.846,0.286,2.962,2.671
44,"(34, 54]","(5, 10]",Male,2,10,5,10,0.200,0.500,0.400,0.380
45,"(34, 54]","(10, 15]",Female,22,39,11,36,0.564,0.306,1.846,0.810
46,"(34, 54]","(10, 15]",Male,3,7,12,34,0.429,0.353,1.214,0.934
47,"(34, 54]","(15, 20]",Female,24,53,10,35,0.453,0.286,1.585,0.694
48,"(34, 54]","(15, 20]",Male,9,15,15,22,0.600,0.682,0.880,0.476
49,"(34, 54]","(20, 25]",Female,12,18,11,11,0.667,1.000,0.667,0.379
50,"(34, 54]","(20, 25]",Male,19,17,14,21,1.118,0.667,1.676,0.809
51,"(34, 54]","(25, 30]",Female,7,8,8,18,0.875,0.444,1.969,1.322
52,"(34, 54]","(25, 30]",Male,25,41,23,26,0.610,0.885,0.689,0.266
53,"(34, 54]","(30, 35]",Female,11,19,13,13,0.579,1.000,0.579,0.317
54,"(34, 54]","(30, 35]",Male,35,45,22,36,0.778,0.611,1.273,0.453
55,"(34, 54]","(35, 40]",Female,11,11,25,21,1.000,1.190,0.840,0.438
56,"(34, 54]","(35, 40]",Male,52,55,26,20,0.945,1.300,0.727,0.261
57,"(34, 54]","(40, 45]",Female,18,16,25,28,1.125,0.893,1.260,0.558
58,"(34, 54]","(40, 45]",Male,63,67,21,25,0.940,0.840,1.119,0.389
59,"(34, 54]","(45, 50]",Female,8,11,17,33,0.727,0.515,1.412,0.783
60,"(34, 54]","(45, 50]",Male,62,62,18,18,1.000,1.000,1.000,0.382
61,"(34, 54]","(50, 55]",Female,15,8,29,28,1.875,1.036,1.810,0.931
62,"(34, 54]","(50, 55]",Male,42,39,18,15,1.077,1.200,0.897,0.375
63,"(34, 54]","(55, 60]",Female,26,13,17,12,2.000,1.417,1.412,0.720
64,"(34, 54]","(55, 60]",Male,22,16,13,5,1.375,2.600,0.529,0.329
65,"(34, 54]","(60, 65]",Female,18,7,13,7,2.571,1.857,1.385,0.898
66,"(34, 54]","(60, 65]",Male,17,8,10,7,2.125,1.429,1.488,0.974
67,"(34, 54]","(65, 70]",Female,17,7,8,7,2.429,1.143,2.125,1.460
68,"(34, 54]","(65, 70]",Male,18,2,9,4,9.000,2.250,4.000,3.835
69,"(34, 54]","(70, 75]",Female,24,3,2,2,8.000,1.000,8.000,9.389
70,"(34, 54]","(70, 75]",Male,18,3,4,2,6.000,2.000,3.000,3.205
71,"(34, 54]","(75, 80]",Female,20,5,7,1,4.000,7.000,0.571,0.675
72,"(34, 54]","(75, 80]",Male,16,2,7,2,8.000,3.500,2.286,2.512
73,"(34, 54]","(80, 85]",Male,11,3,3,2,3.667,1.500,2.444,2.744
74,"(34, 54]","(85, 90]",Male,6,1,3,1,6.000,3.000,2.000,3.164
