,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,4,1,2,0.500,0.500,1.000,1.501
1,"(15, 24]","(0, 5]",Male,3,3,2,2,1.000,1.000,1.000,1.292
2,"(15, 24]","(10, 15]",Male,3,2,2,4,1.500,0.500,3.000,3.778
3,"(15, 24]","(15, 20]",Female,4,7,2,2,0.571,1.000,0.571,0.675
4,"(15, 24]","(15, 20]",Male,5,9,24,19,0.556,1.263,0.440,0.281
5,"(15, 24]","(20, 25]",Female,3,2,1,2,1.500,0.500,3.000,4.585
6,"(15, 24]","(20, 25]",Male,4,7,6,12,0.571,0.500,1.143,0.918
7,"(24, 34]","(0, 5]",Female,10,8,13,11,1.250,1.182,1.058,0.665
8,"(24, 34]","(0, 5]",Male,8,3,3,2,2.667,1.500,1.778,2.022
9,"(24, 34]","(5, 10]",Female,8,8,2,7,1.000,0.286,3.500,3.312
10,"(24, 34]","(5, 10]",Male,2,3,7,5,0.667,1.400,0.476,0.517
11,"(24, 34]","(15, 20]",Male,1,2,1,2,0.500,0.500,1.000,1.733
12,"(24, 34]","(20, 25]",Male,5,4,4,1,1.250,4.000,0.312,0.408
13,"(24, 34]","(25, 30]",Male,5,1,5,8,5.000,0.625,8.000,9.887
14,"(24, 34]","(30, 35]",Female,2,2,1,1,1.000,1.000,1.000,1.733
15,"(34, 54]","(0, 5]",Female,12,7,5,10,1.714,0.500,3.429,2.493
16,"(34, 54]","(0, 5]",Male,1,3,2,4,0.333,0.500,0.667,0.963
17,"(34, 54]","(5, 10]",Female,7,8,5,4,0.875,1.250,0.700,0.594
18,"(34, 54]","(5, 10]",Male,2,8,5,5,0.250,1.000,0.250,0.253
19,"(34, 54]","(10, 15]",Female,9,6,1,5,1.500,0.200,7.500,9.125
20,"(34, 54]","(10, 15]",Male,7,7,3,11,1.000,0.273,3.667,3.095
21,"(34, 54]","(25, 30]",Male,1,1,1,1,1.000,1.000,1.000,2.001
22,"(34, 54]","(55, 60]",Female,3,1,1,1,3.000,1.000,3.000,5.479
23,"(34, 54]","(60, 65]",Male,2,1,1,1,2.000,1.000,2.000,3.743
24,"(54, 100]","(5, 10]",Female,1,2,3,5,0.500,0.600,0.833,1.189
25,"(54, 100]","(5, 10]",Male,2,1,2,2,2.000,1.000,2.000,3.164
26,"(54, 100]","(10, 15]",Male,1,4,2,7,0.250,0.286,0.875,1.205
27,"(54, 100]","(60, 65]",Male,5,2,1,1,2.500,1.000,2.500,4.110
28,"(54, 100]","(65, 70]",Female,1,1,1,2,1.000,0.500,2.000,3.743
29,"(54, 100]","(85, 90]",Female,2,1,2,1,2.000,2.000,1.000,1.733
