,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,16,12,12,8,1.333,1.500,0.889,0.531
1,"(15, 24]","(0, 5]",Male,7,6,4,4,1.167,1.000,1.167,1.051
2,"(15, 24]","(10, 15]",Female,5,5,3,5,1.000,0.600,1.667,1.612
3,"(15, 24]","(10, 15]",Male,3,2,4,6,1.500,0.667,2.250,2.518
4,"(15, 24]","(15, 20]",Female,9,12,4,4,0.750,1.000,0.750,0.626
5,"(15, 24]","(15, 20]",Male,14,14,26,21,1.000,1.238,0.808,0.389
6,"(15, 24]","(20, 25]",Female,1,4,3,5,0.250,0.600,0.417,0.557
7,"(15, 24]","(20, 25]",Male,4,2,11,14,2.000,0.786,2.545,2.435
8,"(24, 34]","(0, 5]",Female,22,18,9,15,1.222,0.600,2.037,1.080
9,"(24, 34]","(0, 5]",Male,6,9,11,13,0.667,0.846,0.788,0.527
10,"(24, 34]","(5, 10]",Female,4,6,2,2,0.667,1.000,0.667,0.794
11,"(24, 34]","(5, 10]",Male,4,7,5,4,0.571,1.250,0.457,0.420
12,"(24, 34]","(20, 25]",Female,1,2,1,3,0.500,0.333,1.500,2.526
13,"(34, 54]","(0, 5]",Female,4,5,1,4,0.800,0.250,3.200,4.175
14,"(34, 54]","(0, 5]",Male,1,4,3,5,0.250,0.600,0.417,0.557
15,"(34, 54]","(5, 10]",Female,6,7,4,2,0.857,2.000,0.429,0.442
16,"(34, 54]","(5, 10]",Male,2,3,7,4,0.667,1.750,0.381,0.422
17,"(34, 54]","(10, 15]",Female,3,3,7,10,1.000,0.700,1.429,1.364
18,"(34, 54]","(10, 15]",Male,1,3,3,2,0.333,1.500,0.222,0.327
19,"(34, 54]","(15, 20]",Female,4,2,1,2,2.000,0.500,4.000,6.003
20,"(34, 54]","(20, 25]",Male,3,3,1,1,1.000,1.000,1.000,1.634
21,"(34, 54]","(30, 35]",Male,1,1,3,2,1.000,1.500,0.667,1.123
22,"(34, 54]","(35, 40]",Male,1,2,2,3,0.500,0.667,0.750,1.146
23,"(34, 54]","(40, 45]",Male,3,2,1,2,1.500,0.500,3.000,4.585
24,"(34, 54]","(50, 55]",Male,1,1,3,2,1.000,1.500,0.667,1.123
25,"(54, 100]","(0, 5]",Female,2,4,1,5,0.500,0.200,2.500,3.493
26,"(54, 100]","(0, 5]",Male,2,1,1,2,2.000,0.500,4.000,6.931
27,"(54, 100]","(5, 10]",Female,1,7,2,8,0.143,0.250,0.571,0.760
28,"(54, 100]","(5, 10]",Male,1,2,2,4,0.500,0.500,1.000,1.501
29,"(54, 100]","(10, 15]",Male,1,3,1,3,0.333,0.333,1.000,1.634
30,"(54, 100]","(60, 65]",Male,2,5,1,1,0.400,1.000,0.400,0.658
