,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Male,4,4,9,8,1.000,1.125,0.889,0.764
1,"(15, 24]","(15, 20]",Female,8,8,4,6,1.000,0.667,1.500,1.227
2,"(15, 24]","(15, 20]",Male,20,14,27,35,1.429,0.771,1.852,0.806
3,"(15, 24]","(20, 25]",Female,2,7,3,2,0.286,1.500,0.190,0.232
4,"(15, 24]","(20, 25]",Male,6,4,18,15,1.500,1.200,1.250,0.920
5,"(15, 24]","(25, 30]",Male,2,2,4,6,1.000,0.667,1.500,1.787
6,"(24, 34]","(5, 10]",Female,1,2,3,3,0.500,1.000,0.500,0.736
7,"(24, 34]","(15, 20]",Male,3,2,3,6,1.500,0.500,3.000,3.467
8,"(24, 34]","(20, 25]",Male,1,1,5,5,1.000,1.000,1.000,1.550
9,"(34, 54]","(10, 15]",Male,1,1,3,1,1.000,3.000,0.333,0.609
10,"(34, 54]","(25, 30]",Male,1,2,2,2,0.500,1.000,0.500,0.791
11,"(34, 54]","(35, 40]",Male,2,2,6,2,1.000,3.000,0.333,0.431
12,"(34, 54]","(40, 45]",Male,2,1,1,2,2.000,0.500,4.000,6.931
