,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,12,16,17,24,0.750,0.708,1.059,0.528
1,"(15, 24]","(15, 22]",Male,15,13,38,36,1.154,1.056,1.093,0.489
2,"(15, 24]","(22, 27]",Female,2,2,9,7,1.000,1.286,0.778,0.872
3,"(15, 24]","(22, 27]",Male,3,3,10,9,1.000,1.111,0.900,0.844
4,"(15, 24]","(37, 42]",Male,2,1,1,2,2.000,0.500,4.000,6.931
5,"(24, 34]","(15, 22]",Female,1,1,1,3,1.000,0.333,3.000,5.479
6,"(24, 34]","(15, 22]",Male,2,1,3,5,2.000,0.600,3.333,4.756
7,"(24, 34]","(22, 27]",Female,3,4,9,6,0.750,1.500,0.500,0.465
8,"(24, 34]","(22, 27]",Male,5,5,9,8,1.000,1.125,0.889,0.710
9,"(24, 34]","(27, 32]",Female,1,1,11,8,1.000,1.375,0.727,1.083
10,"(24, 34]","(27, 32]",Male,3,3,8,5,1.000,1.600,0.625,0.623
11,"(24, 34]","(32, 37]",Male,3,4,1,5,0.750,0.200,3.750,5.011
12,"(24, 34]","(62, 67]",Female,1,1,1,1,1.000,1.000,1.000,2.001
13,"(34, 54]","(15, 22]",Female,3,6,3,2,0.500,1.500,0.333,0.385
14,"(34, 54]","(22, 27]",Female,2,3,1,1,0.667,1.000,0.667,1.123
15,"(34, 54]","(22, 27]",Male,1,1,2,3,1.000,0.667,1.500,2.526
16,"(34, 54]","(27, 32]",Female,2,4,2,3,0.500,0.667,0.750,0.944
17,"(34, 54]","(27, 32]",Male,3,4,3,4,0.750,0.750,1.000,1.081
18,"(34, 54]","(32, 37]",Male,2,2,4,5,1.000,0.800,1.250,1.506
19,"(34, 54]","(37, 42]",Female,1,2,9,10,0.500,0.900,0.556,0.727
20,"(34, 54]","(37, 42]",Male,5,3,2,6,1.667,0.333,5.000,5.483
21,"(34, 54]","(42, 47]",Female,3,3,7,14,1.000,0.500,2.000,1.880
22,"(34, 54]","(47, 52]",Female,5,6,14,10,0.833,1.400,0.595,0.438
23,"(34, 54]","(52, 57]",Female,2,2,12,11,1.000,1.091,0.917,0.994
24,"(34, 54]","(52, 57]",Male,3,2,2,1,1.500,2.000,0.750,1.146
25,"(34, 54]","(62, 67]",Female,1,2,2,1,0.500,2.000,0.250,0.433
26,"(34, 54]","(67, 72]",Male,3,2,1,1,1.500,1.000,1.500,2.526
27,"(54, 100]","(32, 37]",Female,2,2,1,1,1.000,1.000,1.000,1.733
28,"(54, 100]","(47, 52]",Female,6,8,2,1,0.750,2.000,0.375,0.502
29,"(54, 100]","(47, 52]",Male,2,4,1,2,0.500,0.500,1.000,1.501
30,"(54, 100]","(52, 57]",Female,3,5,3,8,0.600,0.375,1.600,1.595
31,"(54, 100]","(52, 57]",Male,1,2,1,3,0.500,0.333,1.500,2.526
32,"(54, 100]","(57, 62]",Female,3,9,12,15,0.333,0.800,0.417,0.322
33,"(54, 100]","(62, 67]",Female,8,12,20,27,0.667,0.741,0.900,0.491
34,"(54, 100]","(62, 67]",Male,7,11,1,2,0.636,0.500,1.273,1.677
35,"(54, 100]","(67, 72]",Female,9,11,22,38,0.818,0.579,1.413,0.743
36,"(54, 100]","(67, 72]",Male,11,16,2,3,0.688,0.667,1.031,1.026
37,"(54, 100]","(72, 77]",Female,8,11,49,45,0.727,1.089,0.668,0.341
38,"(54, 100]","(72, 77]",Male,5,13,2,3,0.385,0.667,0.577,0.609
39,"(54, 100]","(77, 82]",Female,3,4,31,28,0.750,1.107,0.677,0.548
40,"(54, 100]","(77, 82]",Male,5,12,2,1,0.417,2.000,0.208,0.278
