,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,0.5,0.9357483636106451
2,12.5,1.0,inf
3,17.5,1.0895603761045662,0.6984129352246843
4,22.5,1.0,inf
5,27.5,0.7352627042331116,0.7333261039801032
6,32.5,1.0,inf
7,37.5,0.3333333333333333,0.6088087944076925
8,42.5,1.0,inf
9,47.5,0.25,0.4508672199217859
10,52.5,0.375,0.5415905395222482
11,57.5,1.0,inf
12,62.5,2.0,3.1638584039112745
13,67.5,1.0,inf
14,72.5,10.000000000000002,16.4392822227736
15,77.5,1.0,inf
16,82.5,1.0,inf
17,87.5,1.0,inf
18,92.5,1.0,inf
19,97.5,1.0,inf
