,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,70,74,99,89,0.946,1.112,0.850,0.193
1,"(15, 24]","(15, 22]",Male,40,35,190,211,1.143,0.900,1.269,0.326
2,"(15, 24]","(22, 27]",Female,21,17,49,41,1.235,1.195,1.034,0.405
3,"(15, 24]","(22, 27]",Male,13,7,65,52,1.857,1.250,1.486,0.753
4,"(15, 24]","(27, 32]",Female,3,4,12,12,0.750,1.000,0.750,0.651
5,"(15, 24]","(32, 37]",Female,9,11,10,8,0.818,1.250,0.655,0.429
6,"(15, 24]","(32, 37]",Male,3,1,21,13,3.000,1.615,1.857,2.244
7,"(15, 24]","(37, 42]",Female,10,10,5,1,1.000,5.000,0.200,0.237
8,"(15, 24]","(37, 42]",Male,9,5,19,5,1.800,3.800,0.474,0.356
9,"(15, 24]","(42, 47]",Female,12,8,6,4,1.500,1.500,1.000,0.792
10,"(15, 24]","(42, 47]",Male,12,4,15,6,3.000,2.500,1.200,0.905
11,"(15, 24]","(47, 52]",Female,9,4,13,6,2.250,2.167,1.038,0.809
12,"(15, 24]","(52, 57]",Female,8,4,8,7,2.000,1.143,1.750,1.406
13,"(15, 24]","(52, 57]",Male,7,1,10,6,7.000,1.667,4.200,4.991
14,"(15, 24]","(57, 62]",Female,5,1,4,1,5.000,4.000,1.250,1.958
15,"(15, 24]","(72, 77]",Male,1,1,5,2,1.000,2.500,0.400,0.658
16,"(24, 34]","(15, 22]",Female,7,3,3,7,2.333,0.429,5.444,5.320
17,"(24, 34]","(15, 22]",Male,16,6,21,21,2.667,1.000,2.667,1.525
18,"(24, 34]","(22, 27]",Female,10,6,30,37,1.667,0.811,2.056,1.180
19,"(24, 34]","(22, 27]",Male,29,20,48,47,1.450,1.021,1.420,0.510
20,"(24, 34]","(27, 32]",Female,11,11,67,68,1.000,0.985,1.015,0.469
21,"(24, 34]","(27, 32]",Male,28,16,41,48,1.750,0.854,2.049,0.783
22,"(24, 34]","(32, 37]",Female,13,11,51,43,1.182,1.186,0.996,0.460
23,"(24, 34]","(32, 37]",Male,5,3,38,27,1.667,1.407,1.184,0.917
24,"(24, 34]","(37, 42]",Female,6,4,25,27,1.500,0.926,1.620,1.141
25,"(24, 34]","(37, 42]",Male,5,4,21,9,1.250,2.333,0.536,0.419
26,"(24, 34]","(42, 47]",Female,5,6,11,6,0.833,1.833,0.455,0.360
