,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,11,20,4,7,0.550,0.571,0.963,0.705
1,"(15, 24]","(10, 15]",Male,7,11,24,32,0.636,0.750,0.848,0.472
2,"(15, 24]","(15, 20]",Female,55,53,23,26,1.038,0.885,1.173,0.409
3,"(15, 24]","(15, 20]",Male,75,83,160,153,0.904,1.046,0.864,0.174
4,"(15, 24]","(20, 25]",Female,31,29,21,29,1.069,0.724,1.476,0.574
5,"(15, 24]","(20, 25]",Male,40,48,102,87,0.833,1.172,0.711,0.188
6,"(15, 24]","(25, 30]",Female,2,5,7,14,0.400,0.500,0.800,0.766
7,"(15, 24]","(25, 30]",Male,8,3,18,24,2.667,0.750,3.556,2.656
8,"(15, 24]","(30, 35]",Female,1,2,3,4,0.500,0.750,0.667,0.963
9,"(15, 24]","(30, 35]",Male,4,1,11,7,4.000,1.571,2.545,3.103
10,"(15, 24]","(35, 40]",Female,5,2,3,2,2.500,1.500,1.667,2.065
11,"(15, 24]","(35, 40]",Male,8,3,14,6,2.667,2.333,1.143,0.955
12,"(15, 24]","(40, 45]",Female,8,2,2,3,4.000,0.667,6.000,7.252
13,"(15, 24]","(40, 45]",Male,11,3,11,4,3.667,2.750,1.333,1.168
14,"(15, 24]","(45, 50]",Female,6,3,5,1,2.000,5.000,0.400,0.522
15,"(15, 24]","(45, 50]",Male,4,4,6,4,1.000,1.500,0.667,0.639
16,"(15, 24]","(50, 55]",Female,16,7,3,4,2.286,0.750,3.048,2.711
17,"(15, 24]","(50, 55]",Male,8,3,8,5,2.667,1.600,1.667,1.477
18,"(15, 24]","(55, 60]",Female,1,1,2,1,1.000,2.000,0.500,0.936
19,"(15, 24]","(60, 65]",Male,4,1,2,1,4.000,2.000,2.000,3.318
20,"(24, 34]","(0, 5]",Female,2,3,3,2,0.667,1.500,0.444,0.574
21,"(24, 34]","(0, 5]",Male,3,2,3,3,1.500,1.000,1.500,1.839
22,"(24, 34]","(5, 10]",Female,11,17,4,8,0.647,0.500,1.294,0.940
23,"(24, 34]","(5, 10]",Male,3,1,5,2,3.000,2.500,1.200,1.712
24,"(24, 34]","(10, 15]",Female,6,12,7,6,0.500,1.167,0.429,0.321
25,"(24, 34]","(10, 15]",Male,3,10,4,10,0.300,0.400,0.750,0.665
26,"(24, 34]","(15, 20]",Female,10,8,1,3,1.250,0.333,3.750,4.685
27,"(24, 34]","(15, 20]",Male,7,9,12,26,0.778,0.462,1.685,1.036
28,"(24, 34]","(20, 25]",Female,7,11,5,9,0.636,0.556,1.145,0.847
29,"(24, 34]","(20, 25]",Male,43,33,36,48,1.303,0.750,1.737,0.562
30,"(24, 34]","(25, 30]",Female,6,12,16,29,0.500,0.552,0.906,0.536
31,"(24, 34]","(25, 30]",Male,78,74,51,51,1.054,1.000,1.054,0.275
32,"(24, 34]","(30, 35]",Female,14,12,15,27,1.167,0.556,2.100,1.073
33,"(24, 34]","(30, 35]",Male,31,45,33,34,0.689,0.971,0.710,0.242
34,"(24, 34]","(35, 40]",Female,4,5,9,9,0.800,1.000,0.800,0.657
35,"(24, 34]","(35, 40]",Male,10,14,15,13,0.714,1.154,0.619,0.349
36,"(24, 34]","(40, 45]",Female,2,5,5,4,0.400,1.250,0.320,0.344
37,"(24, 34]","(40, 45]",Male,4,4,5,13,1.000,0.385,2.600,2.295
38,"(24, 34]","(45, 50]",Female,12,6,2,3,2.000,0.667,3.000,3.126
39,"(24, 34]","(45, 50]",Male,3,2,12,8,1.500,1.500,1.000,1.022
40,"(24, 34]","(50, 55]",Female,8,3,4,1,2.667,4.000,0.667,0.872
41,"(24, 34]","(50, 55]",Male,9,5,12,9,1.800,1.333,1.350,0.962
42,"(24, 34]","(55, 60]",Female,11,3,4,1,3.667,4.000,0.917,1.187
43,"(24, 34]","(55, 60]",Male,7,2,9,5,3.500,1.800,1.944,1.902
44,"(24, 34]","(60, 65]",Male,2,2,8,4,1.000,2.000,0.500,0.587
45,"(24, 34]","(65, 70]",Female,6,3,1,1,2.000,1.000,2.000,3.164
46,"(24, 34]","(65, 70]",Male,4,1,2,1,4.000,2.000,2.000,3.318
47,"(34, 54]","(0, 5]",Male,1,1,2,1,1.000,2.000,0.500,0.936
48,"(34, 54]","(5, 10]",Female,10,12,11,15,0.833,0.733,1.136,0.666
49,"(34, 54]","(5, 10]",Male,7,13,7,16,0.538,0.438,1.231,0.805
50,"(34, 54]","(10, 15]",Female,20,57,19,36,0.351,0.528,0.665,0.258
51,"(34, 54]","(10, 15]",Male,14,39,16,37,0.359,0.432,0.830,0.361
52,"(34, 54]","(15, 20]",Female,25,30,5,24,0.833,0.208,4.000,2.254
53,"(34, 54]","(15, 20]",Male,11,18,13,35,0.611,0.371,1.645,0.830
54,"(34, 54]","(20, 25]",Female,6,16,6,13,0.375,0.462,0.812,0.560
55,"(34, 54]","(20, 25]",Male,9,18,21,46,0.500,0.457,1.095,0.535
56,"(34, 54]","(25, 30]",Female,8,11,2,5,0.727,0.400,1.818,1.742
57,"(34, 54]","(25, 30]",Male,15,13,20,36,1.154,0.556,2.077,0.983
58,"(34, 54]","(30, 35]",Female,10,15,8,14,0.667,0.571,1.167,0.705
59,"(34, 54]","(30, 35]",Male,51,70,23,37,0.729,0.622,1.172,0.383
